name,fam,seed,lambda2,k_mean,k_harm,inv_deg,hcont,hcog,hcog_snap
BA m=2,BA,42,0.5866010728580364,3.96,2.6758815302474406,0.3737086222600929,3.854084531009658,0.7165990856377029,0.7225734617567772
BA m=2,BA,123,0.5655380442466442,3.96,2.7732823459655207,0.3605835523580089,3.867870205136627,0.72645567197062,0.7343153333277819
BA m=2,BA,777,0.5639661404909625,3.96,2.7086132762642734,0.36919260817446875,3.8283111012678233,0.7080693735274192,0.7414827399312737
BA m=2,BA,17,0.5472362424614511,3.96,2.74750714706889,0.3639662961629873,4.238070137391174,0.7093938777430794,0.6690158350565576
BA m=2,BA,256,0.5468891571332096,3.96,2.747449335981494,0.3639739546435573,4.036088078342165,0.7294216323007846,0.7683385162937512
BA m=3,BA,42,1.2787617049747482,5.91,4.203490202693523,0.23789754508270713,3.3025114799445507,0.6951489328010484,0.6343095546405662
BA m=3,BA,123,1.355972856741621,5.91,4.275806913055665,0.23387398456806352,3.8682113669210656,0.6406957158119193,0.5292601068228608
BA m=3,BA,777,1.3218000335175768,5.91,4.235392521622719,0.23610562536878327,3.4553391609935806,0.6884463579903346,0.7118146702143195
BA m=3,BA,17,1.2743380432046527,5.91,4.201052295365046,0.23803559910532035,3.328980446808166,0.6821265266469324,0.6784631055588911
BA m=3,BA,256,1.2922364279949397,5.91,4.275477509616608,0.23389200334950944,3.4384053295435817,0.7055236176880653,0.6982759652992883
BA m=4,BA,42,2.1228657276350447,7.84,5.792036901545638,0.17265083372192336,3.765775015217219,0.6017772291890039,0.41955649623854696
BA m=4,BA,123,2.151984727411101,7.84,5.722847110787671,0.17473819947329744,3.4965539401728347,0.05978394062802577,-0.0
BA m=4,BA,777,2.141131895517664,7.84,5.8616575894989325,0.17060020731874279,3.891022887802665,0.2839400486535572,-0.0
BA m=4,BA,17,2.176573368982349,7.84,5.7471976799929765,0.17399784306727067,4.062215591929973,0.4582386014823237,0.08079313589591118
BA m=4,BA,256,2.1843806851387253,7.84,5.743270701040275,0.1741168146260058,3.5364456279035186,0.6599923586026021,0.4689955935892812
BA m=5,BA,42,3.009886275132639,9.75,7.191613921337744,0.13905084601843942,3.184537506266101,0.036839555639831614,-0.0
BA m=5,BA,123,3.034111086187929,9.75,7.3095096269519955,0.1368080830364802,2.95476934632357,0.0,-0.0
BA m=5,BA,777,3.0082523312201075,9.75,7.336876679808434,0.13629777951046468,3.0038840814042413,0.0044809163102676845,-0.0
BA m=5,BA,17,2.7782727004949166,9.75,7.147467650285952,0.1399096923453711,3.230343890051016,0.035732117866932867,-0.0
BA m=5,BA,256,3.1215731995291707,9.75,7.295025904925327,0.13707970513508905,3.0467196178276548,0.0145140311988496,-0.0
BA m=6,BA,42,3.939154752555831,11.64,8.835484442448175,0.11317998537756642,2.8906468018808775,0.0,-0.0
BA m=6,BA,123,3.881855270025396,11.64,8.832263374048084,0.11322126137432774,2.8649046346586657,0.0,-0.0
BA m=6,BA,777,3.394120239226204,11.64,8.839017710436288,0.11313474333457815,2.889298111896186,0.0,-0.0
BA m=6,BA,17,3.826496071908334,11.64,8.740863680129324,0.11440517054090524,2.8483342906005595,0.0,-0.0
BA m=6,BA,256,0.9886977215403374,11.64,8.475051737667837,0.11799337997612977,2.9017103895767042,0.013200537238356147,0.0454146923337941
ER p=0.03,ER,42,1.043609643147647e-14,5.69,4.7261694584086005,0.2115878427128427,3.66933291401378,0.6238816971629909,0.5293608652873644
ER p=0.03,ER,123,4.188991223311216e-15,6.32,5.126316413900119,0.1950718448218448,4.091919450484426,0.4594656848275062,0.11236071009937675
ER p=0.03,ER,777,4.197706478023404e-15,5.83,4.536867144425115,0.2204164169164169,3.7320693725764214,0.6544976986881822,0.6461380758647463
ER p=0.03,ER,17,-4.662936703427437e-15,5.88,4.425988224753883,0.2259382423132423,3.872400790041954,0.6867679569568242,0.6461380758647463
ER p=0.03,ER,256,1.0941644106720318e-15,5.94,4.771219836707927,0.20959000721500723,3.795219999543751,0.6996637799714143,0.6462113373725784
ER p=0.05,ER,42,2.931100791635249,9.42,8.578125277151877,0.11657558821897057,3.0409041387383247,0.0,-0.0
ER p=0.05,ER,123,-3.579231888014374e-15,10.15,8.839674379815683,0.11312633893883894,3.0783703725740765,0.011141737852557485,-0.0
ER p=0.05,ER,777,1.6375850929559128,9.7,8.525293763051492,0.11729801081271668,3.0473470899426793,0.0,-0.0
ER p=0.05,ER,17,0.8147790782723,9.79,8.325653649933288,0.12011068944815075,3.1306607725758755,0.01507767785481964,-0.0
ER p=0.05,ER,256,2.6599274053556137,10.54,9.532467442556692,0.10490463314205574,2.9560598360129418,0.0,-0.0
ER p=0.08,ER,42,5.400462361441957,15.3,14.355355184799224,0.06966041502469353,2.6503945096242174,0.0,-0.0
ER p=0.08,ER,123,3.5826781677999477,15.94,14.754278877468252,0.06777694852488746,2.6273479983244967,0.0,-0.0
ER p=0.08,ER,777,4.275605241303172,15.38,14.361080882898301,0.06963264173178194,2.641932084226907,0.0,-0.0
ER p=0.08,ER,17,5.235479053158355,15.55,14.536416457773372,0.06879274564710537,2.654757221178296,0.0,-0.0
ER p=0.08,ER,256,7.020592334622069,16.56,15.645740944995596,0.06391515771069041,2.4919332441226802,0.0,-0.0
rr k=4,rr,42,0.5675970874749574,4.0,4.0,0.25,3.411668325075785,0.695550917414272,0.7343153333277819
rr k=4,rr,123,0.635429805150601,4.0,4.0,0.25,4.204152954486093,0.4895741630907396,0.30726835986075973
rr k=4,rr,777,0.5857593731844514,4.0,4.0,0.25,3.6982779399748504,0.6684278050665785,0.6577047787442195
rr k=4,rr,17,0.646192410267438,4.0,4.0,0.25,3.3353759635323015,0.6829620072503799,0.6784631055588911
rr k=4,rr,256,0.5283978231199511,4.0,4.0,0.25,3.288817789472471,0.7236356667863941,0.7792074863105535
rr k=6,rr,42,1.7231401582017671,6.0,6.000000000000002,0.16666666666666663,3.8450952575220314,0.22181900766086904,-0.0
rr k=6,rr,123,1.6660594915364388,6.0,6.000000000000002,0.16666666666666663,3.2034834294478864,0.00452173216631772,-0.0
rr k=6,rr,777,1.6324218767102505,6.0,6.000000000000002,0.16666666666666663,3.2446416900299107,0.01570877576193624,-0.0
rr k=6,rr,17,1.715409057994854,6.0,6.000000000000002,0.16666666666666663,3.6335617731028433,0.13312896744131225,-0.0
rr k=6,rr,256,1.5909095150968215,6.0,6.000000000000002,0.16666666666666663,3.9383839490421013,0.4360096409191642,-0.0
rr k=8,rr,42,2.90747311238928,8.0,8.0,0.125,2.8515922809061025,0.0,-0.0
rr k=8,rr,123,2.9875260531496277,8.0,8.0,0.125,2.8726458351220416,0.0,-0.0
rr k=8,rr,777,3.0049134160539177,8.0,8.0,0.125,2.8866316226137365,0.0,-0.0
rr k=8,rr,17,2.93952566999691,8.0,8.0,0.125,2.857578203055306,0.0,-0.0
rr k=8,rr,256,2.8945014555324833,8.0,8.0,0.125,2.9264295894781336,0.0,-0.0
ring k=4,ring,42,0.004933422411993581,4.0,4.0,0.25,3.316419631635708,0.703014089490582,0.6784631055588911
ring k=4,ring,123,0.004933422411993581,4.0,4.0,0.25,4.187955407829033,0.5423266726146584,0.23958627378939243
ring k=4,ring,777,0.004933422411993581,4.0,4.0,0.25,3.7148585129874707,0.6415588107482503,0.6222126380063133
ring k=4,ring,17,0.004933422411993581,4.0,4.0,0.25,3.605821606394585,0.6620656230038587,0.5738509668348982
ring k=4,ring,256,0.004933422411993581,4.0,4.0,0.25,3.6774792323351395,0.636236199773634,0.6098403047164004
ring k=6,ring,42,0.013809493205834984,6.0,6.000000000000002,0.16666666666666663,3.4661705937904688,0.05970492885043115,-0.0
ring k=6,ring,123,0.013809493205834984,6.0,6.000000000000002,0.16666666666666663,3.173642671331705,0.0,-0.0
ring k=6,ring,777,0.013809493205834984,6.0,6.000000000000002,0.16666666666666663,3.221553782809297,0.012544811289310705,-0.0
ring k=6,ring,17,0.013809493205834984,6.0,6.000000000000002,0.16666666666666663,3.4672405070200707,0.057019142983314605,-0.0
ring k=6,ring,256,0.013809493205834984,6.0,6.000000000000002,0.16666666666666663,3.5631147649583643,0.08992353564518543,-0.0
ring k=8,ring,42,0.029580090576877587,8.0,8.0,0.125,2.836037510134723,0.0,-0.0
ring k=8,ring,123,0.029580090576877587,8.0,8.0,0.125,2.8244378508482617,0.0,-0.0
ring k=8,ring,777,0.029580090576877587,8.0,8.0,0.125,2.8599254339931623,0.0,-0.0
ring k=8,ring,17,0.029580090576877587,8.0,8.0,0.125,2.837730655436867,0.0,-0.0
ring k=8,ring,256,0.029580090576877587,8.0,8.0,0.125,2.8166718628775174,0.0,-0.0
