name,fam,seed,lambda2,k_mean,k_med,inv_deg,dead
BA m=2,BA,42,0.5866010728580364,3.96,2.0,0.3737086222600929,0
BA m=2,BA,123,0.5655380442466442,3.96,3.0,0.3605835523580089,0
BA m=2,BA,777,0.5639661404909625,3.96,3.0,0.36919260817446875,0
BA m=2,BA,17,0.5472362424614511,3.96,2.0,0.3639662961629873,0
BA m=2,BA,256,0.5468891571332096,3.96,2.0,0.3639739546435573,0
BA m=3,BA,42,1.2787617049747482,5.91,4.0,0.23789754508270713,0
BA m=3,BA,123,1.355972856741621,5.91,4.0,0.23387398456806352,0
BA m=3,BA,777,1.3218000335175768,5.91,4.0,0.23610562536878327,0
BA m=3,BA,17,1.2743380432046527,5.91,4.0,0.23803559910532035,0
BA m=3,BA,256,1.2922364279949397,5.91,4.0,0.23389200334950944,0
BA m=4,BA,42,2.1228657276350447,7.84,6.0,0.17265083372192336,0
BA m=4,BA,123,2.151984727411101,7.84,5.0,0.17473819947329744,1
BA m=4,BA,777,2.141131895517664,7.84,6.0,0.17060020731874279,1
BA m=4,BA,17,2.176573368982349,7.84,6.0,0.17399784306727067,1
BA m=4,BA,256,2.1843806851387253,7.84,5.0,0.1741168146260058,0
BA m=5,BA,42,3.009886275132639,9.75,7.0,0.13905084601843942,1
BA m=5,BA,123,3.034111086187929,9.75,7.0,0.1368080830364802,1
BA m=5,BA,777,3.0082523312201075,9.75,7.0,0.13629777951046468,1
BA m=5,BA,17,2.7782727004949166,9.75,7.0,0.1399096923453711,1
BA m=5,BA,256,3.1215731995291707,9.75,7.0,0.13707970513508905,1
BA m=6,BA,42,3.939154752555831,11.64,8.0,0.11317998537756642,1
BA m=6,BA,123,3.881855270025396,11.64,8.0,0.11322126137432774,1
BA m=6,BA,777,3.394120239226204,11.64,9.0,0.11313474333457815,1
BA m=6,BA,17,3.826496071908334,11.64,8.0,0.11440517054090524,1
BA m=6,BA,256,0.9886977215403374,11.64,8.0,0.11799337997612977,1
ER p=0.03,ER,42,1.043609643147647e-14,5.69,6.0,0.2115878427128427,0
ER p=0.03,ER,123,4.188991223311216e-15,6.32,6.0,0.1950718448218448,0
ER p=0.03,ER,777,4.197706478023404e-15,5.83,6.0,0.2204164169164169,0
ER p=0.03,ER,17,-4.662936703427437e-15,5.88,6.0,0.2259382423132423,0
ER p=0.03,ER,256,1.0941644106720318e-15,5.94,5.5,0.20959000721500723,0
ER p=0.05,ER,42,2.931100791635249,9.42,9.0,0.11657558821897057,1
ER p=0.05,ER,123,-3.579231888014374e-15,10.15,10.0,0.11312633893883894,1
ER p=0.05,ER,777,1.6375850929559128,9.7,9.0,0.11729801081271668,1
ER p=0.05,ER,17,0.8147790782723,9.79,10.0,0.12011068944815075,1
ER p=0.05,ER,256,2.6599274053556137,10.54,10.0,0.10490463314205574,1
ER p=0.08,ER,42,5.400462361441957,15.3,15.0,0.06966041502469353,1
ER p=0.08,ER,123,3.5826781677999477,15.94,15.5,0.06777694852488746,1
ER p=0.08,ER,777,4.275605241303172,15.38,15.5,0.06963264173178194,1
ER p=0.08,ER,17,5.235479053158355,15.55,15.0,0.06879274564710537,1
ER p=0.08,ER,256,7.020592334622069,16.56,16.0,0.06391515771069041,1
rr k=4,rr,42,0.5675970874749574,4.0,4.0,0.25,0
rr k=4,rr,123,0.635429805150601,4.0,4.0,0.25,0
rr k=4,rr,777,0.5857593731844514,4.0,4.0,0.25,0
rr k=4,rr,17,0.646192410267438,4.0,4.0,0.25,0
rr k=4,rr,256,0.5283978231199511,4.0,4.0,0.25,0
rr k=6,rr,42,1.7231401582017671,6.0,6.0,0.16666666666666663,1
rr k=6,rr,123,1.6660594915364388,6.0,6.0,0.16666666666666663,1
rr k=6,rr,777,1.6324218767102505,6.0,6.0,0.16666666666666663,1
rr k=6,rr,17,1.715409057994854,6.0,6.0,0.16666666666666663,1
rr k=6,rr,256,1.5909095150968215,6.0,6.0,0.16666666666666663,1
rr k=8,rr,42,2.90747311238928,8.0,8.0,0.125,1
rr k=8,rr,123,2.9875260531496277,8.0,8.0,0.125,1
rr k=8,rr,777,3.0049134160539177,8.0,8.0,0.125,1
rr k=8,rr,17,2.93952566999691,8.0,8.0,0.125,1
rr k=8,rr,256,2.8945014555324833,8.0,8.0,0.125,1
ring k=4,ring,42,0.004933422411993581,4.0,4.0,0.25,0
ring k=4,ring,123,0.004933422411993581,4.0,4.0,0.25,0
ring k=4,ring,777,0.004933422411993581,4.0,4.0,0.25,0
ring k=4,ring,17,0.004933422411993581,4.0,4.0,0.25,0
ring k=4,ring,256,0.004933422411993581,4.0,4.0,0.25,0
ring k=6,ring,42,0.013809493205834984,6.0,6.0,0.16666666666666663,1
ring k=6,ring,123,0.013809493205834984,6.0,6.0,0.16666666666666663,1
ring k=6,ring,777,0.013809493205834984,6.0,6.0,0.16666666666666663,1
ring k=6,ring,17,0.013809493205834984,6.0,6.0,0.16666666666666663,1
ring k=6,ring,256,0.013809493205834984,6.0,6.0,0.16666666666666663,1
ring k=8,ring,42,0.029580090576877587,8.0,8.0,0.125,1
ring k=8,ring,123,0.029580090576877587,8.0,8.0,0.125,1
ring k=8,ring,777,0.029580090576877587,8.0,8.0,0.125,1
ring k=8,ring,17,0.029580090576877587,8.0,8.0,0.125,1
ring k=8,ring,256,0.029580090576877587,8.0,8.0,0.125,1
