k,model,N,seed,lambda2,dead
4,ring,100,42,0.019717140514497793,0
4,ring,100,123,0.019717140514497793,0
4,ring,100,777,0.019717140514497793,0
4,ring,100,17,0.019717140514497793,0
4,ring,100,256,0.019717140514497793,0
4,ring,100,1337,0.019717140514497793,0
4,ring,200,42,0.004933422411993581,0
4,ring,200,123,0.004933422411993581,0
4,ring,200,777,0.004933422411993581,0
4,ring,200,17,0.004933422411993581,0
4,ring,200,256,0.004933422411993581,0
4,ring,200,1337,0.004933422411993581,0
4,ring,400,42,0.0012336143052124361,0
4,ring,400,123,0.0012336143052124361,0
4,ring,400,777,0.0012336143052124361,0
4,ring,400,17,0.0012336143052124361,0
4,ring,400,256,0.0012336143052124361,0
4,ring,400,1337,0.0012336143052124361,0
4,rr,100,42,0.6781266805312735,0
4,rr,100,123,0.7166256743969969,0
4,rr,100,777,0.6622272866899052,0
4,rr,100,17,0.6450853042000303,0
4,rr,100,256,0.639144771188009,0
4,rr,100,1337,0.6453838238385255,0
4,rr,200,42,0.5675970874749574,0
4,rr,200,123,0.635429805150601,0
4,rr,200,777,0.5857593731844514,0
4,rr,200,17,0.646192410267438,0
4,rr,200,256,0.5283978231199511,0
4,rr,200,1337,0.5727471506882783,0
4,rr,400,42,0.5462505846232582,1
4,rr,400,123,0.5573544925976642,0
4,rr,400,777,0.5867029241175996,0
4,rr,400,17,0.5627234527579765,0
4,rr,400,256,0.5706046879633478,0
4,rr,400,1337,0.5742409989033376,0
8,ring,100,42,0.11797631679985775,1
8,ring,100,123,0.11797631679985775,1
8,ring,100,777,0.11797631679985775,1
8,ring,100,17,0.11797631679985775,1
8,ring,100,256,0.11797631679985775,1
8,ring,100,1337,0.11797631679985775,1
8,ring,200,42,0.029580090576877587,1
8,ring,200,123,0.029580090576877587,1
8,ring,200,777,0.029580090576877587,1
8,ring,200,17,0.029580090576877587,1
8,ring,200,256,0.029580090576877587,1
8,ring,200,1337,0.029580090576877587,1
8,ring,400,42,0.007400407524732478,1
8,ring,400,123,0.007400407524732478,1
8,ring,400,777,0.007400407524732478,1
8,ring,400,17,0.007400407524732478,1
8,ring,400,256,0.007400407524732478,1
8,ring,400,1337,0.007400407524732478,1
8,rr,100,42,2.974107316357616,1
8,rr,100,123,3.20097746776978,1
8,rr,100,777,3.099788969924301,1
8,rr,100,17,3.0139428657692555,1
8,rr,100,256,3.179458248849615,1
8,rr,100,1337,2.955332174122837,1
8,rr,200,42,2.90747311238928,1
8,rr,200,123,2.9875260531496277,1
8,rr,200,777,3.0049134160539177,1
8,rr,200,17,2.93952566999691,1
8,rr,200,256,2.8945014555324833,1
8,rr,200,1337,3.0830544428733164,1
8,rr,400,42,2.8039098273566765,1
8,rr,400,123,2.8382149722127035,1
8,rr,400,777,2.810644956181478,1
8,rr,400,17,2.78714483387764,1
8,rr,400,256,2.758715489092669,1
8,rr,400,1337,2.773587182708102,1
