k,model,p,seed,lambda2,best_h_cog,dead
6,WS,0.0,42,0.05514263905711896,-0.0,1
6,WS,0.0,123,0.05514263905711896,-0.0,1
6,WS,0.0,777,0.05514263905711896,-0.0,1
6,WS,0.0,17,0.05514263905711896,0.499915958164528,0
6,WS,0.0,256,0.05514263905711896,-0.0,1
6,WS,0.2,42,0.6352709379484945,0.6800770457282799,0
6,WS,0.2,123,0.7310716355240346,-0.0,1
6,WS,0.2,777,0.5618290066702725,-0.0,1
6,WS,0.2,17,0.5857796022525248,0.557438185027989,0
6,WS,0.2,256,0.5679861581686428,-0.0,1
6,WS,0.5,42,1.1868826176523397,0.7219280948873623,0
6,WS,0.5,123,1.350453213336203,-0.0,1
6,WS,0.5,777,1.3980515750891576,-0.0,1
6,WS,0.5,17,1.2541095014768806,0.584238811642856,0
6,WS,0.5,256,1.2542121191075892,-0.0,1
6,WS,1.0,42,1.5684776486229492,0.557438185027989,0
6,WS,1.0,123,1.496569547650702,-0.0,1
6,WS,1.0,777,1.5581805519383551,-0.0,1
6,WS,1.0,17,1.5319193451527375,0.6098403047164004,0
6,WS,1.0,256,1.5808706518599709,-0.0,1
6,rr,-1,42,1.7547262792624052,0.5293608652873644,0
6,rr,-1,123,1.688720041218402,-0.0,1
6,rr,-1,777,1.6962740529765152,-0.0,1
6,rr,-1,17,1.827068451880983,0.6343095546405662,0
6,rr,-1,256,1.8198622088629426,-0.0,1
8,WS,0.0,42,0.11797631679985775,-0.0,1
8,WS,0.0,123,0.11797631679985775,-0.0,1
8,WS,0.0,777,0.11797631679985775,-0.0,1
8,WS,0.0,17,0.11797631679985775,-0.0,1
8,WS,0.0,256,0.11797631679985775,-0.0,1
8,WS,0.2,42,1.0861317685886858,-0.0,1
8,WS,0.2,123,1.3458432352088476,-0.0,1
8,WS,0.2,777,1.0322227023050543,-0.0,1
8,WS,0.2,17,1.0924914874232172,-0.0,1
8,WS,0.2,256,1.048722703770267,-0.0,1
8,WS,0.5,42,2.258462675825756,-0.0,1
8,WS,0.5,123,2.3312481946091976,-0.0,1
8,WS,0.5,777,2.3352832912867263,-0.0,1
8,WS,0.5,17,2.0959451211803244,-0.0,1
8,WS,0.5,256,2.4329486477267492,-0.0,1
8,WS,1.0,42,2.753508517314992,0.1943918578315762,0
8,WS,1.0,123,2.775083987008705,-0.0,1
8,WS,1.0,777,2.7337721885856743,-0.0,1
8,WS,1.0,17,2.533190678737928,0.08079313589591118,1
8,WS,1.0,256,2.7743397581748264,-0.0,1
8,rr,-1,42,2.974107316357616,-0.0,1
8,rr,-1,123,3.20097746776978,-0.0,1
8,rr,-1,777,3.099788969924301,-0.0,1
8,rr,-1,17,3.0139428657692555,-0.0,1
8,rr,-1,256,3.179458248849615,-0.0,1
10,WS,0.0,42,0.21586328420954992,-0.0,1
10,WS,0.0,123,0.21586328420954992,-0.0,1
10,WS,0.0,777,0.21586328420954992,-0.0,1
10,WS,0.0,17,0.21586328420954992,-0.0,1
10,WS,0.0,256,0.21586328420954992,-0.0,1
10,WS,0.2,42,1.7005797277987558,-0.0,1
10,WS,0.2,123,1.8578634250723232,-0.0,1
10,WS,0.2,777,1.6817770663524712,-0.0,1
10,WS,0.2,17,1.7552054989887007,-0.0,1
10,WS,0.2,256,1.8781026285967852,-0.0,1
10,WS,0.5,42,3.279523618221042,-0.0,1
10,WS,0.5,123,3.5455319282831597,-0.0,1
10,WS,0.5,777,3.2784600340006875,-0.0,1
10,WS,0.5,17,3.2589412437393146,-0.0,1
10,WS,0.5,256,3.7408092266584645,-0.0,1
10,WS,1.0,42,3.8908885710062875,-0.0,1
10,WS,1.0,123,3.9188425095560246,-0.0,1
10,WS,1.0,777,4.0327595454085685,-0.0,1
10,WS,1.0,17,3.9718516792274796,-0.0,1
10,WS,1.0,256,4.079038858560926,-0.0,1
10,rr,-1,42,4.524808493991474,-0.0,1
10,rr,-1,123,4.295321088259143,-0.0,1
10,rr,-1,777,4.6389291112249795,-0.0,1
10,rr,-1,17,4.626058679197738,-0.0,1
10,rr,-1,256,4.341673777753246,-0.0,1
12,WS,0.0,42,0.3563103124330509,-0.0,1
12,WS,0.0,123,0.3563103124330509,-0.0,1
12,WS,0.0,777,0.3563103124330509,-0.0,1
12,WS,0.0,17,0.3563103124330509,-0.0,1
12,WS,0.0,256,0.3563103124330509,-0.0,1
12,WS,0.2,42,2.2302840751939796,-0.0,1
12,WS,0.2,123,2.216993588487803,-0.0,1
12,WS,0.2,777,2.226560465890875,-0.0,1
12,WS,0.2,17,2.4177143869900153,-0.0,1
12,WS,0.2,256,2.232904637987451,-0.0,1
12,WS,0.5,42,4.2574859345800995,-0.0,1
12,WS,0.5,123,4.840206132387963,-0.0,1
12,WS,0.5,777,4.400591855326654,-0.0,1
12,WS,0.5,17,4.397968876048809,-0.0,1
12,WS,0.5,256,4.702118415239684,-0.0,1
12,WS,1.0,42,5.605456695204399,-0.0,1
12,WS,1.0,123,5.299492740596399,-0.0,1
12,WS,1.0,777,5.345718470844614,-0.0,1
12,WS,1.0,17,5.088854673679554,-0.0,1
12,WS,1.0,256,5.5538851442507395,-0.0,1
12,rr,-1,42,6.029827077144288,-0.0,1
12,rr,-1,123,6.155718380656628,-0.0,1
12,rr,-1,777,6.191317864673728,-0.0,1
12,rr,-1,17,5.874552621670575,-0.0,1
12,rr,-1,256,5.594552977697567,-0.0,1
