topology,seed,norm,lambda2,h_cog,h_cont,mean_v,std_v,frac_bin0,u_mean
BA m=1,42,uniform,0.025832798313918725,0.6577047787442195,3.9366344031833918,-1.3876583378447502,0.3459632968083532,0.83,0.4428792945901145
BA m=1,42,degree_linear,0.025832798313918725,0.8112781244591328,3.1250023650624916,-1.2754962410043278,0.1806542948033022,0.75,0.13465216740385036
BA m=1,123,uniform,0.03228147865364581,0.5293608652873644,4.129304161129035,-1.499797683007612,0.47194645982251854,0.88,0.5766427207274919
BA m=1,123,degree_linear,0.03228147865364581,0.931822922009701,3.2040944988917954,-1.2648943006612716,0.35778558221461676,0.75,0.2690491640289888
BA m=1,777,uniform,0.02171117136520008,0.5158951529482092,3.8175569262653877,-1.395646923875465,0.424902423152857,0.9,0.48273154497726006
BA m=1,777,degree_linear,0.02171117136520008,0.6882759652992883,3.0330267850037873,-1.2777428849549353,0.2728485285671355,0.84,0.17616765877817092
BA m=1,17,uniform,0.017578225300412847,0.6800770457282799,3.6465659374402795,-1.3240447944244194,0.337278802547607,0.82,0.31363723475889016
BA m=1,17,degree_linear,0.017578225300412847,0.7994837797373409,3.069152133405911,-1.271110801202142,0.24516192578704912,0.79,0.16030258513715767
BA m=1,256,uniform,0.03110623936813337,0.5951601860848225,4.069445629084182,-1.470291235806126,0.4533760177712185,0.89,0.5552775702871415
BA m=1,256,degree_linear,0.03110623936813337,0.6882759652992883,2.9946460695671924,-1.2847267062523136,0.2693004374866119,0.84,0.20112101613595285
BA m=1,1337,uniform,0.031748497854844245,0.6577047787442195,3.9293714530579766,-1.468779281699765,0.39858723331522317,0.83,0.524367026518653
BA m=1,1337,degree_linear,0.031748497854844245,0.8267463724926178,2.9804034853339236,-1.2865311618101183,0.16573126938315777,0.74,0.18698879405586094
BA m=1,99,uniform,0.021246996627345402,0.6343095546405662,3.5683679383405416,-1.350672928461266,0.31213083939352404,0.84,0.3732401523112366
BA m=1,99,degree_linear,0.021246996627345402,0.6343095546405662,3.107821673873765,-1.2875445097161333,0.19485809249602828,0.84,0.17922524287056607
BA m=1,314,uniform,0.016299580416424958,0.6577047787442195,3.9461474976406152,-1.4633695655565817,0.37982082480361545,0.83,0.5070777050471699
BA m=1,314,degree_linear,0.016299580416424958,0.8960438946561109,3.141529961557159,-1.2786743284571596,0.19244000815650777,0.77,0.13163755177988623
BA m=2,42,uniform,0.6247183472393513,0.08079313589591118,3.712641187916242,-1.837038873300371,0.3560835056620828,0.99,0.9015196104541584
BA m=2,42,degree_linear,0.6247183472393513,0.6577047787442195,3.047772056070145,-1.3045140828306239,0.1735079703107925,0.83,0.20774833585101
BA m=2,123,uniform,0.6473208736194,0.08079313589591118,3.836214312591992,-1.7534598237666856,0.40382455223127983,0.99,0.8651669187258613
BA m=2,123,degree_linear,0.6473208736194,0.7219280948873623,3.7876441073767624,-1.4179645579160454,0.39725293349073376,0.8,0.48925273084752624
BA m=2,777,uniform,0.6606809922329718,0.14144054254182067,3.6698258673732265,-1.8152309792664196,0.33285703670569516,0.98,0.8930689190162568
BA m=2,777,degree_linear,0.6606809922329718,0.6577047787442195,3.182523031938453,-1.378633597199999,0.2839794556575719,0.83,0.32912894221785327
BA m=2,17,uniform,0.6613934109420985,0.16144054254182066,3.9913120626352616,-1.6902365386193468,0.4618652614016125,0.98,0.8127738815251749
BA m=2,17,degree_linear,0.6613934109420985,0.6577047787442195,3.1030512169848232,-1.3313521221765514,0.29202400355439684,0.83,0.2831743672012026
BA m=2,256,uniform,0.5790593569235655,0.08079313589591118,4.036622160287627,-1.8014095425120544,0.4376804855178437,0.99,0.8560344118813287
BA m=2,256,degree_linear,0.5790593569235655,0.584238811642856,3.2579261504115413,-1.3316069210190387,0.27318765681369184,0.86,0.31299270633976256
BA m=2,1337,uniform,0.6150734894378542,0.1943918578315762,3.7293732618903075,-1.8168345386688125,0.37597186694220847,0.97,0.8768642775110713
BA m=2,1337,degree_linear,0.6150734894378542,0.7014714598838974,2.9777889476278787,-1.3216089988292177,0.2366861141834526,0.81,0.24929323341885493
BA m=2,99,uniform,0.655181844135172,0.14144054254182067,3.8783683218310263,-1.798527917380711,0.39723137304041983,0.98,0.8678904608634163
BA m=2,99,degree_linear,0.655181844135172,0.499915958164528,2.838851186251154,-1.29711026224765,0.14558150696306119,0.89,0.19030584477786072
BA m=2,314,uniform,0.6013124959794293,0.24229218908241482,3.8218640693910233,-1.812809744318147,0.3839321993828621,0.96,0.882290052626724
BA m=2,314,degree_linear,0.6013124959794293,0.7219280948873623,3.0706555154653707,-1.2955301757673332,0.14924251214275175,0.8,0.1879219471855824
BA m=3,42,uniform,1.4125586946055446,-0.0,3.3623995609788793,-1.9586519005530274,0.284873613225144,1.0,0.9754243272911991
BA m=3,42,degree_linear,1.4125586946055446,0.7219280948873623,3.0539087193416496,-1.3113368126376945,0.21160931874857097,0.8,0.2964612719630002
BA m=3,123,uniform,1.408024972726653,-0.0,3.200739208808655,-2.0296663491082105,0.2737825978586553,1.0,0.9953260236039446
BA m=3,123,degree_linear,1.408024972726653,0.6343095546405662,4.486630096437546,-1.5297744652102068,0.4569314931306535,0.84,0.6577905181560894
BA m=3,777,uniform,1.4210781085133866,-0.0,2.971981995121661,-2.0376675662024235,0.26470164831157766,1.0,0.9942233849074271
BA m=3,777,degree_linear,1.4210781085133866,0.6098403047164004,3.2484719882753543,-1.390648478996636,0.3699104290770856,0.85,0.4085438263494064
BA m=3,17,uniform,1.3346860164471637,-0.0,3.279035930877155,-1.9390342269821255,0.3052468607377849,1.0,0.955338444942017
