regime,I_stim,ablation,label,seed,synchrony,lz_full,lz_tail
ENDOGENOUS,0.0,FULL,Full Mem4ristor,0,0.40614297122849896,0.9197076356410898,1.384458767607551
ENDOGENOUS,0.0,FULL,Full Mem4ristor,1,0.41609922038312047,0.9364395669784316,1.2839671594008837
ENDOGENOUS,0.0,FULL,Full Mem4ristor,2,0.22543190617252037,0.9243706328990373,1.2416111923055113
ENDOGENOUS,0.0,FULL,Full Mem4ristor,3,0.03380085338042085,0.9092844652997953,1.2673569762262278
ENDOGENOUS,0.0,FULL,Full Mem4ristor,4,0.3226549508364281,0.911204522994244,1.2740010494960903
ENDOGENOUS,0.0,FULL,Full Mem4ristor,5,0.051993492400628206,0.9139474625577422,1.3163570165914624
ENDOGENOUS,0.0,FULL,Full Mem4ristor,6,0.03369165157273764,0.9205305175101389,1.3230010898613247
ENDOGENOUS,0.0,FULL,Full Mem4ristor,7,0.26739708041026095,0.9183361658593404,1.4517300094649064
ENDOGENOUS,0.0,FULL,Full Mem4ristor,8,0.20613191978419898,0.9235477510299881,1.306390906686669
ENDOGENOUS,0.0,FULL,Full Mem4ristor,9,0.023247721069166703,0.8996841768275501,1.3329671997661185
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,0,0.40614297122849896,0.9197076356410898,1.384458767607551
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,1,0.41609922038312047,0.9364395669784316,1.2839671594008837
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,2,0.22543190617252037,0.9243706328990373,1.2416111923055113
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,3,0.03380085338042085,0.9092844652997953,1.2673569762262278
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,4,0.3226549508364281,0.911204522994244,1.2740010494960903
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,5,0.051993492400628206,0.9139474625577422,1.3163570165914624
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,6,0.03369165157273764,0.9205305175101389,1.3230010898613247
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,7,0.26739708041026095,0.9183361658593404,1.4517300094649064
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,8,0.20613191978419898,0.9235477510299881,1.306390906686669
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,9,0.023247721069166703,0.8996841768275501,1.3329671997661185
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid → 1.0,0,0.4769715001979978,0.9133988746450428,1.451730009464907
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid → 1.0,1,0.08529270416256157,0.9199819295974394,1.434289317131518
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid → 1.0,2,0.13810821114821248,0.9139474625577422,1.321340071543859
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid → 1.0,3,-0.005100752917850164,0.9131245806886931,1.283136650242151
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid → 1.0,4,0.021123499556455403,0.9136731686013928,1.2872891960358153
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid → 1.0,5,-0.0007609458625680414,0.9169646960775912,1.2798146136072202
