regime,I_stim,ablation,label,seed,H_100,H_cog5
ENDOGENOUS,0.0,FULL,Full Mem4ristor,0,2.6852369738128887,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,1,3.0639578218681045,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,2,2.8348059583331104,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,3,3.418064252568119,0.003231725435836447
ENDOGENOUS,0.0,FULL,Full Mem4ristor,4,3.0809991373622925,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,5,3.622176588285857,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,6,3.5949595284515743,0.0010772418119454825
ENDOGENOUS,0.0,FULL,Full Mem4ristor,7,3.0096168613715317,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,8,3.0808747844263853,0.0
ENDOGENOUS,0.0,FULL,Full Mem4ristor,9,3.7592813838934505,0.0010772418119454825
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,0,2.6852369738128887,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,1,3.0639578218681045,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,2,2.8348059583331104,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,3,3.418064252568119,0.003231725435836447
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,4,3.0809991373622925,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,5,3.622176588285857,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,6,3.5949595284515743,0.0010772418119454825
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,7,3.0096168613715317,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,8,3.0808747844263853,0.0
ENDOGENOUS,0.0,NO_HERETIC,Heretic flip disabled,9,3.7592813838934505,0.0010772418119454825
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,0,2.7815706906648976,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,1,3.370089584193854,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,2,3.2194850415740595,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,3,3.5135792502708023,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,4,3.4512089725332658,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,5,3.611013614752889,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,6,3.582316141905516,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,7,3.1196650117106457,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,8,3.523597252852722,0.0
ENDOGENOUS,0.0,NO_SIGMOID,Levitating Sigmoid -> 1.0,9,3.6030703639367356,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,0,0.6756520633326605,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,1,0.704905735627813,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,2,0.6779726077132558,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,3,0.6887005163396854,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,4,0.7367551703387692,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,5,0.6834171296180067,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,6,0.6695861255509207,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,7,0.7661497420707791,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,8,0.7722421532036303,0.0
ENDOGENOUS,0.0,FROZEN_U,u frozen at sigma_baseline,9,0.7387313743017145,0.0
FORCED,0.5,FULL,Full Mem4ristor,0,3.009699566087563,0.03528597590809169
FORCED,0.5,FULL,Full Mem4ristor,1,3.0234151251311663,0.0
FORCED,0.5,FULL,Full Mem4ristor,2,3.1152585303866474,0.030702793099752282
