topo,condition,seed,valid_frac,coverage,sharpness,consec_dist
LATTICE,BICAMERAL,0,1.0000,3,0.9992,0.2261
LATTICE,BICAMERAL_KICK,0,1.0000,10,0.9925,0.4385
LATTICE,WATCHDOG,0,1.0000,9,0.9933,0.4020
LATTICE,HASARD,0,0.2500,1,0.9992,0.3617
LATTICE,ATTRACTIF,0,0.4167,2,0.9983,0.4005
LATTICE,BICAMERAL,1,0.7500,3,0.9983,0.2537
LATTICE,BICAMERAL_KICK,1,1.0000,10,0.9933,0.4112
LATTICE,WATCHDOG,1,0.9167,11,0.9925,0.4658
LATTICE,HASARD,1,0.6667,1,1.0000,0.3704
LATTICE,ATTRACTIF,1,0.5833,4,0.9992,0.4324
LATTICE,BICAMERAL,2,1.0000,4,0.9992,0.2707
LATTICE,BICAMERAL_KICK,2,1.0000,11,0.9942,0.4038
LATTICE,WATCHDOG,2,1.0000,8,0.9933,0.4167
LATTICE,HASARD,2,0.4167,1,1.0000,0.3608
LATTICE,ATTRACTIF,2,0.4167,4,0.9992,0.4483
LATTICE,BICAMERAL,3,1.0000,1,1.0000,0.1773
LATTICE,BICAMERAL_KICK,3,1.0000,9,0.9950,0.3422
LATTICE,WATCHDOG,3,1.0000,9,0.9967,0.3244
LATTICE,HASARD,3,0.0833,1,1.0000,0.2950
LATTICE,ATTRACTIF,3,0.5833,2,0.9992,0.3695
LATTICE,BICAMERAL,4,1.0000,3,0.9983,0.2259
LATTICE,BICAMERAL_KICK,4,1.0000,11,0.9942,0.4102
LATTICE,WATCHDOG,4,1.0000,9,0.9942,0.4175
LATTICE,HASARD,4,0.1667,1,1.0000,0.3029
LATTICE,ATTRACTIF,4,0.5833,3,0.9992,0.4103
LATTICE,BICAMERAL,5,1.0000,3,0.9992,0.2090
LATTICE,BICAMERAL_KICK,5,1.0000,12,0.9925,0.4219
LATTICE,WATCHDOG,5,1.0000,12,0.9925,0.3838
LATTICE,HASARD,5,0.2500,1,0.9992,0.3334
LATTICE,ATTRACTIF,5,0.5000,3,1.0000,0.4202
LATTICE,BICAMERAL,6,1.0000,2,0.9992,0.1790
LATTICE,BICAMERAL_KICK,6,1.0000,10,0.9933,0.3228
LATTICE,WATCHDOG,6,1.0000,11,0.9917,0.3756
LATTICE,HASARD,6,0.1667,1,1.0000,0.3167
LATTICE,ATTRACTIF,6,0.4167,3,0.9975,0.3934
LATTICE,BICAMERAL,7,0.8333,2,0.9992,0.1866
LATTICE,BICAMERAL_KICK,7,1.0000,11,0.9933,0.4487
LATTICE,WATCHDOG,7,0.8333,7,0.9950,0.3533
LATTICE,HASARD,7,0.2500,1,1.0000,0.3488
LATTICE,ATTRACTIF,7,0.5000,2,0.9975,0.3811
LATTICE,BICAMERAL,8,0.8333,3,0.9983,0.2247
LATTICE,BICAMERAL_KICK,8,1.0000,10,0.9967,0.4123
LATTICE,WATCHDOG,8,0.9167,10,0.9942,0.4649
LATTICE,HASARD,8,0.0833,1,1.0000,0.2899
LATTICE,ATTRACTIF,8,0.5000,3,0.9983,0.3875
LATTICE,BICAMERAL,9,0.9167,1,0.9983,0.1860
LATTICE,BICAMERAL_KICK,9,1.0000,12,0.9900,0.4158
LATTICE,WATCHDOG,9,0.9167,8,0.9942,0.3022
LATTICE,HASARD,9,0.1667,1,0.9983,0.3247
LATTICE,ATTRACTIF,9,0.4167,3,0.9992,0.4126
LATTICE,BICAMERAL,10,1.0000,3,0.9992,0.2082
LATTICE,BICAMERAL_KICK,10,1.0000,12,0.9908,0.4861
LATTICE,WATCHDOG,10,1.0000,12,0.9908,0.4470
LATTICE,HASARD,10,0.2500,1,1.0000,0.2871
LATTICE,ATTRACTIF,10,0.4167,4,0.9975,0.3924
LATTICE,BICAMERAL,11,1.0000,3,0.9983,0.2113
LATTICE,BICAMERAL_KICK,11,1.0000,7,0.9967,0.3311
LATTICE,WATCHDOG,11,1.0000,12,0.9892,0.4477
LATTICE,HASARD,11,0.3333,1,0.9992,0.3550
LATTICE,ATTRACTIF,11,0.5000,5,0.9958,0.4449
LATTICE,BICAMERAL,12,1.0000,2,0.9992,0.1857
LATTICE,BICAMERAL_KICK,12,1.0000,10,0.9958,0.3949
LATTICE,WATCHDOG,12,1.0000,8,0.9950,0.3645
LATTICE,HASARD,12,0.2500,1,0.9992,0.3430
LATTICE,ATTRACTIF,12,0.4167,2,0.9983,0.4137
LATTICE,BICAMERAL,13,1.0000,2,1.0000,0.1894
LATTICE,BICAMERAL_KICK,13,1.0000,10,0.9925,0.3457
LATTICE,WATCHDOG,13,1.0000,10,0.9925,0.4307
LATTICE,HASARD,13,0.2500,1,1.0000,0.3507
LATTICE,ATTRACTIF,13,0.4167,4,0.9992,0.4011
LATTICE,BICAMERAL,14,1.0000,4,0.9975,0.2140
LATTICE,BICAMERAL_KICK,14,1.0000,11,0.9917,0.4669
LATTICE,WATCHDOG,14,1.0000,12,0.9917,0.4357
LATTICE,HASARD,14,0.4167,1,1.0000,0.3689
LATTICE,ATTRACTIF,14,0.4167,4,0.9992,0.4514
LATTICE,BICAMERAL,15,1.0000,3,0.9983,0.1969
LATTICE,BICAMERAL_KICK,15,1.0000,11,0.9958,0.4667
LATTICE,WATCHDOG,15,1.0000,11,0.9917,0.4222
LATTICE,HASARD,15,0.1667,1,1.0000,0.2948
LATTICE,ATTRACTIF,15,0.4167,4,0.9992,0.3783
LATTICE,BICAMERAL,16,1.0000,4,0.9975,0.2226
LATTICE,BICAMERAL_KICK,16,1.0000,11,0.9900,0.4747
LATTICE,WATCHDOG,16,1.0000,12,0.9883,0.3582
LATTICE,HASARD,16,0.1667,1,1.0000,0.3261
LATTICE,ATTRACTIF,16,0.5000,3,0.9983,0.4033
LATTICE,BICAMERAL,17,1.0000,2,1.0000,0.2181
LATTICE,BICAMERAL_KICK,17,1.0000,10,0.9925,0.4738
LATTICE,WATCHDOG,17,1.0000,9,0.9892,0.4200
LATTICE,HASARD,17,0.5000,1,1.0000,0.3641
LATTICE,ATTRACTIF,17,0.5000,2,1.0000,0.3913
LATTICE,BICAMERAL,18,1.0000,2,1.0000,0.1852
LATTICE,BICAMERAL_KICK,18,1.0000,10,0.9942,0.3821
LATTICE,WATCHDOG,18,1.0000,9,0.9950,0.3657
LATTICE,HASARD,18,0.5000,1,1.0000,0.3842
LATTICE,ATTRACTIF,18,0.4167,3,0.9992,0.4206
LATTICE,BICAMERAL,19,1.0000,2,1.0000,0.1853
LATTICE,BICAMERAL_KICK,19,1.0000,11,0.9925,0.3492
LATTICE,WATCHDOG,19,1.0000,12,0.9942,0.4807
LATTICE,HASARD,19,0.0833,1,1.0000,0.2961
