base_topo,family,oracle,c_doubt,c_conv
LATTICE,EVIDENCE,1523,155,125
LATTICE,EVIDENCE,1375,162,81
LATTICE,CONTRADICTION,2000,308,81
LATTICE,EVIDENCE,2000,163,81
LATTICE,TOPOLOGIE,987,161,81
LATTICE,EVIDENCE,1975,158,85
LATTICE,CONTRADICTION,2000,259,194
LATTICE,TOPOLOGIE,1,2000,81
LATTICE,CONTRADICTION,1144,265,129
LATTICE,TOPOLOGIE,873,155,90
LATTICE,TOPOLOGIE,2000,271,97
LATTICE,CONTRADICTION,1859,171,81
LATTICE,EVIDENCE,1669,161,81
LATTICE,CONTRADICTION,2000,278,116
LATTICE,TOPOLOGIE,1,171,88
LATTICE,EVIDENCE,1455,160,81
LATTICE,TOPOLOGIE,873,1466,140
LATTICE,CONTRADICTION,2000,187,110
LATTICE,TOPOLOGIE,1,179,81
LATTICE,EVIDENCE,1165,176,81
LATTICE,TOPOLOGIE,1,186,121
LATTICE,CONTRADICTION,2000,352,165
LATTICE,CONTRADICTION,2000,271,152
LATTICE,EVIDENCE,2000,168,81
LATTICE,EVIDENCE,1485,162,81
LATTICE,CONTRADICTION,2000,472,127
LATTICE,TOPOLOGIE,1717,2000,133
LATTICE,EVIDENCE,1910,165,81
LATTICE,CONTRADICTION,1505,277,146
LATTICE,TOPOLOGIE,2000,2000,81
LATTICE,CONTRADICTION,1425,326,111
LATTICE,CONTRADICTION,2000,179,81
LATTICE,TOPOLOGIE,1057,2000,81
LATTICE,TOPOLOGIE,2000,265,111
LATTICE,EVIDENCE,2000,157,81
LATTICE,EVIDENCE,1857,153,81
LATTICE,EVIDENCE,2000,166,81
LATTICE,TOPOLOGIE,1174,476,169
LATTICE,CONTRADICTION,2000,349,157
LATTICE,TOPOLOGIE,1,179,81
LATTICE,EVIDENCE,1613,158,81
LATTICE,CONTRADICTION,2000,193,81
LATTICE,EVIDENCE,1582,159,81
LATTICE,CONTRADICTION,2000,176,81
LATTICE,EVIDENCE,2000,168,102
LATTICE,TOPOLOGIE,860,170,95
LATTICE,CONTRADICTION,2000,279,152
LATTICE,TOPOLOGIE,2000,283,86
LATTICE,EVIDENCE,2000,161,81
LATTICE,TOPOLOGIE,1808,2000,103
LATTICE,CONTRADICTION,2000,176,129
LATTICE,TOPOLOGIE,1,183,130
LATTICE,TOPOLOGIE,2000,253,112
LATTICE,CONTRADICTION,2000,276,81
LATTICE,EVIDENCE,2000,161,110
LATTICE,TOPOLOGIE,1,197,194
LATTICE,CONTRADICTION,2000,210,81
LATTICE,EVIDENCE,1978,169,81
LATTICE,EVIDENCE,2000,160,81
LATTICE,CONTRADICTION,1283,209,125
LATTICE,CONTRADICTION,2000,200,108
LATTICE,EVIDENCE,2000,161,127
LATTICE,CONTRADICTION,2000,281,218
LATTICE,TOPOLOGIE,1573,151,81
LATTICE,EVIDENCE,1239,164,81
LATTICE,CONTRADICTION,2000,161,145
LATTICE,EVIDENCE,1277,166,98
LATTICE,CONTRADICTION,2000,476,131
LATTICE,TOPOLOGIE,1991,2000,109
LATTICE,TOPOLOGIE,1320,295,166
LATTICE,EVIDENCE,1913,172,81
LATTICE,TOPOLOGIE,1,171,96
LATTICE,TOPOLOGIE,1,177,81
LATTICE,EVIDENCE,1604,157,81
LATTICE,CONTRADICTION,1470,297,182
LATTICE,TOPOLOGIE,2000,298,139
LATTICE,EVIDENCE,2000,160,81
LATTICE,CONTRADICTION,1262,317,111
LATTICE,EVIDENCE,2000,167,81
LATTICE,EVIDENCE,2000,165,89
LATTICE,TOPOLOGIE,1,178,81
LATTICE,TOPOLOGIE,1884,2000,91
LATTICE,CONTRADICTION,2000,155,81
LATTICE,CONTRADICTION,2000,271,118
LATTICE,EVIDENCE,1514,169,81
LATTICE,CONTRADICTION,2000,337,138
LATTICE,CONTRADICTION,2000,174,81
LATTICE,CONTRADICTION,1408,345,147
LATTICE,EVIDENCE,1759,159,81
LATTICE,TOPOLOGIE,1,175,133
LATTICE,CONTRADICTION,1582,282,130
LATTICE,EVIDENCE,1471,156,81
LATTICE,TOPOLOGIE,2000,288,124
LATTICE,EVIDENCE,1593,159,81
LATTICE,TOPOLOGIE,2000,300,148
LATTICE,TOPOLOGIE,2000,283,195
LATTICE,EVIDENCE,1866,160,81
LATTICE,EVIDENCE,1952,157,97
LATTICE,TOPOLOGIE,2000,340,92
LATTICE,CONTRADICTION,2000,174,105
LATTICE,TOPOLOGIE,1367,168,82
LATTICE,EVIDENCE,2000,166,92
LATTICE,EVIDENCE,2000,166,81
LATTICE,CONTRADICTION,2000,282,214
LATTICE,TOPOLOGIE,1782,160,117
LATTICE,CONTRADICTION,2000,209,158
LATTICE,CONTRADICTION,2000,207,172
LATTICE,TOPOLOGIE,1540,164,81
LATTICE,EVIDENCE,1390,167,81
LATTICE,EVIDENCE,2000,156,81
LATTICE,CONTRADICTION,2000,183,150
LATTICE,CONTRADICTION,2000,364,196
LATTICE,TOPOLOGIE,1032,2000,107
LATTICE,TOPOLOGIE,1819,160,130
LATTICE,EVIDENCE,1523,167,81
LATTICE,CONTRADICTION,1288,181,104
LATTICE,EVIDENCE,2000,168,81
LATTICE,CONTRADICTION,2000,198,86
LATTICE,TOPOLOGIE,665,174,81
LATTICE,TOPOLOGIE,1367,156,81
LATTICE,CONTRADICTION,2000,633,85
LATTICE,TOPOLOGIE,1700,169,81
LATTICE,EVIDENCE,1190,180,81
LATTICE,CONTRADICTION,2000,168,115
LATTICE,CONTRADICTION,2000,252,181
LATTICE,TOPOLOGIE,2000,2000,112
LATTICE,CONTRADICTION,2000,349,192
LATTICE,TOPOLOGIE,1533,169,117
LATTICE,EVIDENCE,1443,154,81
LATTICE,EVIDENCE,1559,167,98
LATTICE,TOPOLOGIE,1623,2000,84
LATTICE,EVIDENCE,2000,154,81
LATTICE,CONTRADICTION,2000,162,107
LATTICE,TOPOLOGIE,2000,306,107
LATTICE,EVIDENCE,1270,176,92
LATTICE,CONTRADICTION,2000,187,152
LATTICE,EVIDENCE,1835,165,81
LATTICE,CONTRADICTION,2000,387,190
LATTICE,TOPOLOGIE,1932,187,222
LATTICE,EVIDENCE,1889,139,81
LATTICE,EVIDENCE,2000,171,81
LATTICE,CONTRADICTION,1418,810,97
LATTICE,TOPOLOGIE,905,2000,95
LATTICE,TOPOLOGIE,1,170,115
LATTICE,CONTRADICTION,1612,249,105
LATTICE,TOPOLOGIE,1,2000,105
LATTICE,EVIDENCE,1599,165,81
LATTICE,TOPOLOGIE,2000,302,226
LATTICE,CONTRADICTION,2000,180,112
LATTICE,CONTRADICTION,1609,316,121
LATTICE,CONTRADICTION,2000,177,163
LATTICE,EVIDENCE,1280,159,90
LATTICE,EVIDENCE,2000,165,81
LATTICE,TOPOLOGIE,2000,193,81
LATTICE,TOPOLOGIE,1,2000,120
LATTICE,EVIDENCE,1605,167,81
LATTICE,CONTRADICTION,2000,225,113
LATTICE,CONTRADICTION,2000,163,110
LATTICE,CONTRADICTION,2000,182,112
LATTICE,CONTRADICTION,1576,176,96
LATTICE,EVIDENCE,2000,150,81
LATTICE,EVIDENCE,1335,169,81
LATTICE,TOPOLOGIE,868,2000,121
LATTICE,EVIDENCE,1628,157,81
LATTICE,TOPOLOGIE,2000,313,151
LATTICE,EVIDENCE,2000,161,81
LATTICE,TOPOLOGIE,1532,162,81
LATTICE,TOPOLOGIE,1922,169,83
LATTICE,TOPOLOGIE,1,168,124
LATTICE,CONTRADICTION,2000,201,81
LATTICE,TOPOLOGIE,1244,210,81
LATTICE,CONTRADICTION,1412,193,126
LATTICE,EVIDENCE,1662,167,81
LATTICE,TOPOLOGIE,1,189,81
LATTICE,EVIDENCE,2000,171,81
LATTICE,EVIDENCE,1701,173,81
LATTICE,CONTRADICTION,2000,295,202
LATTICE,CONTRADICTION,2000,180,81
LATTICE,TOPOLOGIE,1974,174,99
LATTICE,EVIDENCE,1996,171,81
LATTICE,CONTRADICTION,2000,297,147
LATTICE,CONTRADICTION,2000,290,81
LATTICE,TOPOLOGIE,1763,149,81
LATTICE,EVIDENCE,1261,164,93
LATTICE,EVIDENCE,2000,170,121
LATTICE,TOPOLOGIE,2000,186,150
LATTICE,EVIDENCE,1167,165,81
