base_topo,seed,acc_doubt,acc_conv,acc_uniform
LATTICE,0,0.9167,0.9167,0.6667
LATTICE,1,0.9167,1.0000,0.5833
LATTICE,2,0.8333,1.0000,0.5000
LATTICE,3,0.8333,0.9167,0.5833
LATTICE,4,0.9167,0.8333,0.5000
LATTICE,5,0.9167,1.0000,0.5000
LATTICE,6,1.0000,1.0000,0.3333
LATTICE,7,0.9167,1.0000,0.0833
LATTICE,8,1.0000,1.0000,0.7500
LATTICE,9,0.9167,1.0000,0.5833
LATTICE,10,0.8333,1.0000,0.3333
LATTICE,11,0.8333,1.0000,0.4167
LATTICE,12,1.0000,1.0000,0.4167
LATTICE,13,1.0000,1.0000,0.2500
LATTICE,14,1.0000,0.9167,0.5000
LATTICE,15,1.0000,1.0000,0.5000
LATTICE,16,0.9167,1.0000,0.5833
LATTICE,17,0.8333,1.0000,0.5833
BA_m3,0,0.5000,0.9167,0.7500
BA_m3,1,0.5833,1.0000,0.7500
BA_m3,2,0.4167,1.0000,0.5000
BA_m3,3,0.6667,0.9167,0.5833
BA_m3,4,0.6667,0.7500,0.7500
BA_m3,5,0.5833,1.0000,0.9167
BA_m3,6,0.5833,1.0000,0.6667
BA_m3,7,0.2500,1.0000,0.6667
BA_m3,8,0.5000,1.0000,0.6667
BA_m3,9,0.5000,1.0000,0.5000
BA_m3,10,0.3333,1.0000,0.5833
BA_m3,11,0.5833,1.0000,0.6667
BA_m3,12,0.3333,1.0000,0.7500
BA_m3,13,0.1667,1.0000,0.5000
BA_m3,14,0.5833,0.9167,0.5833
BA_m3,15,0.3333,1.0000,0.6667
BA_m3,16,0.5833,1.0000,0.2500
BA_m3,17,0.7500,1.0000,0.5000
ER_p06,0,0.7500,0.9167,0.8333
ER_p06,1,0.7500,1.0000,0.8333
ER_p06,2,0.6667,1.0000,0.5000
ER_p06,3,0.8333,0.9167,0.7500
ER_p06,4,0.7500,0.8333,0.4167
ER_p06,5,0.7500,1.0000,0.5833
ER_p06,6,0.6667,1.0000,0.5000
ER_p06,7,0.7500,1.0000,0.5000
ER_p06,8,0.6667,1.0000,0.5000
ER_p06,9,0.6667,1.0000,0.6667
ER_p06,10,0.6667,1.0000,0.6667
ER_p06,11,0.8333,1.0000,0.6667
ER_p06,12,0.7500,1.0000,0.7500
ER_p06,13,0.7500,1.0000,0.6667
ER_p06,14,0.7500,0.9167,0.5833
ER_p06,15,0.7500,1.0000,0.4167
ER_p06,16,0.5833,1.0000,0.3333
ER_p06,17,0.6667,1.0000,0.5833
