topo,t_pulse,seed,dstar,c_doubt,c_conv,acc_doubt,acc_conv,acc_final
LATTICE,150,0,-1,196,158,0,0,1
LATTICE,150,1,-1,193,154,0,0,0
LATTICE,150,2,1,233,217,1,1,0
LATTICE,150,3,-1,195,154,0,0,0
LATTICE,150,4,1,191,218,1,1,0
LATTICE,150,5,-1,190,165,0,0,0
LATTICE,150,6,-1,197,158,0,0,1
LATTICE,150,7,-1,195,160,0,0,1
LATTICE,150,8,-1,203,155,0,0,0
LATTICE,150,9,-1,211,157,1,0,0
LATTICE,150,10,1,505,207,0,1,1
LATTICE,150,11,-1,199,157,0,0,1
LATTICE,150,12,-1,195,151,0,0,0
LATTICE,150,13,1,206,214,1,1,0
LATTICE,150,14,-1,194,158,0,0,0
LATTICE,150,15,1,201,215,1,1,1
LATTICE,150,16,1,190,224,1,1,0
LATTICE,150,17,1,190,148,1,1,1
LATTICE,150,18,-1,191,114,0,0,0
LATTICE,150,19,-1,200,158,0,0,1
LATTICE,150,20,-1,205,158,1,0,1
LATTICE,150,21,-1,197,159,0,0,0
LATTICE,150,22,-1,194,157,0,0,1
LATTICE,150,23,-1,192,159,0,0,0
LATTICE,150,24,1,183,203,1,1,0
LATTICE,150,25,1,186,209,1,1,1
LATTICE,150,26,-1,205,153,1,0,1
LATTICE,150,27,-1,227,162,1,0,1
LATTICE,150,28,1,187,217,1,1,0
LATTICE,150,29,1,176,214,1,1,1
LATTICE,350,0,-1,364,198,1,0,1
LATTICE,350,1,-1,383,185,1,0,0
LATTICE,350,2,1,242,209,0,1,1
LATTICE,350,3,-1,387,209,1,0,0
LATTICE,350,4,1,195,213,1,1,1
LATTICE,350,5,-1,394,209,1,0,1
LATTICE,350,6,-1,384,206,1,0,1
LATTICE,350,7,-1,386,214,1,0,1
LATTICE,350,8,-1,388,185,1,0,0
LATTICE,350,9,-1,383,200,1,0,1
LATTICE,350,10,1,234,198,0,1,1
LATTICE,350,11,-1,373,231,1,0,1
LATTICE,350,12,-1,387,171,1,0,1
LATTICE,350,13,1,221,207,1,1,1
LATTICE,350,14,-1,375,187,1,0,0
LATTICE,350,15,1,212,204,1,1,1
LATTICE,350,16,1,194,215,1,0,1
LATTICE,350,17,1,193,148,1,1,1
LATTICE,350,18,-1,382,114,1,0,1
LATTICE,350,19,-1,382,211,1,0,1
LATTICE,350,20,-1,389,210,1,0,1
LATTICE,350,21,-1,378,203,1,0,1
LATTICE,350,22,-1,375,201,1,0,1
LATTICE,350,23,-1,384,195,1,0,1
LATTICE,350,24,1,194,184,1,1,1
LATTICE,350,25,1,190,181,1,1,1
LATTICE,350,26,-1,385,176,1,0,1
LATTICE,350,27,-1,375,200,1,0,1
LATTICE,350,28,1,193,161,1,0,0
LATTICE,350,29,1,187,151,1,0,1
LATTICE,700,0,-1,383,198,1,0,1
LATTICE,700,1,-1,476,185,1,0,0
LATTICE,700,2,1,242,209,0,1,1
LATTICE,700,3,-1,510,209,1,0,0
LATTICE,700,4,1,195,213,1,1,0
LATTICE,700,5,-1,486,209,1,0,1
LATTICE,700,6,-1,494,206,1,0,1
LATTICE,700,7,-1,486,214,1,0,1
LATTICE,700,8,-1,526,185,1,0,0
LATTICE,700,9,-1,454,200,1,0,1
LATTICE,700,10,1,234,198,0,1,1
LATTICE,700,11,-1,428,231,1,0,1
LATTICE,700,12,-1,504,171,1,0,1
LATTICE,700,13,1,221,207,1,1,1
LATTICE,700,14,-1,420,187,1,0,1
