condition,t_pulse,rule,best_param_global,acc,cost_mean,acc_final,pct_flip
STNO_FULL,500,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FULL,500,DOUBT_PAIRL,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,500,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FULL,500,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,500,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,500,CONV,0.001,0.0,766.6666666666666,1.0,100.0
STNO_FULL,500,FIXED,9000,1.0,9000.0,1.0,100.0
STNO_FULL,1500,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FULL,1500,DOUBT_PAIRL,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,1500,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FULL,1500,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,1500,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,1500,CONV,0.001,0.0,1659.0,1.0,100.0
STNO_FULL,1500,FIXED,9000,1.0,9000.0,1.0,100.0
STNO_FULL,3000,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FULL,3000,DOUBT_PAIRL,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,3000,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FULL,3000,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,3000,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FULL,3000,CONV,0.001,0.0,3089.0833333333335,1.0,100.0
STNO_FULL,3000,FIXED,9000,1.0,9000.0,1.0,100.0
STNO_FULL,4500,DOUBT_PAIR,0.3,0.8333333333333334,9000.0,0.8333333333333334,83.33333333333334
STNO_FULL,4500,DOUBT_PAIRL,0.5,0.8333333333333334,9000.0,0.8333333333333334,83.33333333333334
STNO_FULL,4500,DOUBT_P,0.3,0.8333333333333334,9000.0,0.8333333333333334,83.33333333333334
STNO_FULL,4500,DOUBT_S,0.5,0.8333333333333334,9000.0,0.8333333333333334,83.33333333333334
STNO_FULL,4500,DOUBT_U,0.5,0.8333333333333334,9000.0,0.8333333333333334,83.33333333333334
STNO_FULL,4500,CONV,0.001,0.0,4094.6666666666665,0.8333333333333334,83.33333333333334
STNO_FULL,4500,FIXED,9000,0.8333333333333334,9000.0,0.8333333333333334,83.33333333333334
STNO_FROZEN_U,500,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,500,DOUBT_PAIRL,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,500,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,500,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,500,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,500,CONV,0.001,0.0,761.3333333333334,1.0,100.0
STNO_FROZEN_U,500,FIXED,6600,1.0,6600.0,1.0,100.0
STNO_FROZEN_U,1500,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,1500,DOUBT_PAIRL,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,1500,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,1500,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,1500,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,1500,CONV,0.001,0.0,1634.3333333333333,1.0,100.0
STNO_FROZEN_U,1500,FIXED,6600,1.0,6600.0,1.0,100.0
STNO_FROZEN_U,3000,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,3000,DOUBT_PAIRL,0.5,1.0,5843.833333333333,1.0,100.0
STNO_FROZEN_U,3000,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,3000,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,3000,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,3000,CONV,0.001,0.0,2569.5,1.0,100.0
STNO_FROZEN_U,3000,FIXED,6600,1.0,6600.0,1.0,100.0
STNO_FROZEN_U,4500,DOUBT_PAIR,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,4500,DOUBT_PAIRL,0.5,1.0,6681.0,1.0,100.0
STNO_FROZEN_U,4500,DOUBT_P,0.3,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,4500,DOUBT_S,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,4500,DOUBT_U,0.5,1.0,9000.0,1.0,100.0
STNO_FROZEN_U,4500,CONV,0.001,0.0,2575.5833333333335,1.0,100.0
STNO_FROZEN_U,4500,FIXED,6600,1.0,6600.0,1.0,100.0
