topology,condition,gain_u,seed,R_mean,R_std,u_mean,u_max
BA_m3,FULL,1.0,42,0.700989370475764,0.06904441277475694,0.14228328664382783,0.18728761418779818
BA_m3,FULL,1.0,123,0.4673411511887119,0.10285955658055611,0.14613820297072722,0.18809407804231448
BA_m3,FULL,1.0,777,0.6435373760589075,0.11152554478956862,0.14810620215795564,0.19172261226966758
BA_m3,FULL,1.0,17,0.7007798192415636,0.07910082351565159,0.14987913979240303,0.1978240285029697
BA_m3,FULL,1.0,256,0.6111650532896814,0.0808743682533347,0.13875633903394965,0.18076993156245436
BA_m3,FULL,1.0,1337,0.5338517109495965,0.12140881816437339,0.1513186660898967,0.19480130450323496
BA_m3,FULL,1.0,99,0.6951419480967839,0.06993461817954919,0.14481176538287774,0.18819005236562986
BA_m3,FULL,1.0,314,0.7137787529595283,0.07869138406727907,0.15013013192963345,0.20088037522895794
BA_m3,FULL,1.0,2024,0.6553473091125777,0.13816017266178415,0.15299755774160714,0.20007596057502422
BA_m3,FULL,1.0,888,0.7393811405744891,0.08866778133857434,0.14932666592689708,0.19776009090073896
BA_m3,FULL,5.0,42,0.0779472446313638,0.03433122610305903,0.7679285411000965,0.8883819471239098
BA_m3,FULL,5.0,123,0.07101359272880454,0.03395250877035667,0.7895002436676813,0.9083292867829303
BA_m3,FULL,5.0,777,0.0738537746634655,0.04260616917527754,0.7741724066339563,0.8952560802725852
BA_m3,FULL,5.0,17,0.07995239678681457,0.03466465352410245,0.7774823240764154,0.8994232246839984
BA_m3,FULL,5.0,256,0.06579230607108166,0.031097223121029527,0.7553789576878543,0.8778137727024281
BA_m3,FULL,5.0,1337,0.07851367183491378,0.0410098920801648,0.7924323723502169,0.917892636449663
BA_m3,FULL,5.0,99,0.07873664940541582,0.042118243509759574,0.7851350685167218,0.9004793154147138
BA_m3,FULL,5.0,314,0.08961110676879089,0.03844111073127224,0.7930427929509163,0.9060437415741026
BA_m3,FULL,5.0,2024,0.07268922207926541,0.029831120135296495,0.8013127756232801,0.9157697875963144
BA_m3,FULL,5.0,888,0.10148549808217193,0.04286775608543632,0.7540951515495555,0.8723292974171596
BA_m3,FROZEN_U,1.0,42,0.8762424839050494,0.0028185230787508976,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,123,0.6661957786838942,0.08361609663765752,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,777,0.8702490882075248,0.0035546334323740647,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,17,0.8250410749202945,0.02019445905505534,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,256,0.7508980556419655,0.034324140026368063,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,1337,0.7933861572379246,0.010239334067268908,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,99,0.8552527368709161,0.016726020629241882,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,314,0.8609917311137739,0.01276027406692045,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,2024,0.8809826629058736,0.007740539319869354,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,1.0,888,0.8787694930681242,0.013361962096431852,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FULL,1.0,42,0.28542772189970445,0.1488413426022451,0.1267240910479734,0.16433781984064333
LATTICE_10x10,FULL,1.0,123,0.34384922997372647,0.17055298553646261,0.14671092060461205,0.190418850755984
LATTICE_10x10,FULL,1.0,777,0.31116257573836076,0.12499003493545363,0.13216829175528805,0.17272430036479008
LATTICE_10x10,FULL,1.0,17,0.3003289022078813,0.12069616748308315,0.1325891625934799,0.17066588961717824
LATTICE_10x10,FULL,1.0,256,0.2593260530739628,0.11017061042474803,0.12644820699744905,0.16244545789858367
LATTICE_10x10,FULL,1.0,1337,0.32562222528966894,0.14599556260438507,0.13759579063429528,0.17833883941638878
LATTICE_10x10,FULL,1.0,99,0.41533067915442357,0.1412781774653472,0.13832902654616389,0.1809814620254574
LATTICE_10x10,FULL,1.0,314,0.2963979789097252,0.11509458974203625,0.1303083050270467,0.16823523028191242
LATTICE_10x10,FULL,1.0,2024,0.2080279879148086,0.10899788540699853,0.13351931247234722,0.17382546587071102
LATTICE_10x10,FULL,1.0,888,0.2128593454404291,0.09925980980091634,0.1299003446290121,0.16764631148316247
LATTICE_10x10,FULL,5.0,42,0.0362320948272293,0.02020343226911172,0.7865711980645135,0.886603011810783
LATTICE_10x10,FULL,5.0,123,0.04202498116364661,0.020813105561068575,0.8361159127712368,0.9387992963657642
LATTICE_10x10,FULL,5.0,777,0.03870550815265609,0.03128747717282135,0.8059139125543102,0.905013598839716
LATTICE_10x10,FULL,5.0,17,0.053275953660266356,0.03954512651447319,0.7876090270568735,0.9022251346617365
LATTICE_10x10,FULL,5.0,256,0.03884668623163267,0.028755496270266672,0.7764489983804633,0.8830653454932427
LATTICE_10x10,FULL,5.0,1337,0.04890520031276117,0.02809528019442173,0.7930726389309348,0.903940807277374
LATTICE_10x10,FULL,5.0,99,0.03802551996273937,0.020173435827509988,0.7925913802761733,0.8960479880296341
LATTICE_10x10,FULL,5.0,314,0.04375608229968599,0.042576157397017284,0.7941293528240314,0.9058118503571068
LATTICE_10x10,FULL,5.0,2024,0.04718188235943453,0.03229790110177444,0.7982843060392709,0.9106085597360631
LATTICE_10x10,FULL,5.0,888,0.05932027212028184,0.04739942596058016,0.7785547181903352,0.886307544197242
LATTICE_10x10,FROZEN_U,1.0,42,0.35249155277798144,0.10935449236829714,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,123,0.4634632305754588,0.1058957577340081,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,777,0.2909408554837828,0.0844174908204281,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,17,0.40159166180035877,0.09434126067817183,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,256,0.34690521766726884,0.08615603004631482,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,1337,0.4351586641939974,0.16597117029305358,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,99,0.5973637366028165,0.1139271231135118,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,314,0.2601819578524742,0.1443182018363652,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,2024,0.30634994784155317,0.13097480585382018,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,1.0,888,0.3683305681755425,0.12313885653555835,0.04999999999999999,0.04999999999999999
