topo,seed,full_sync,frozen_sync,full_hcont,frozen_hcont
LATTICE,42,0.015024,0.606971,3.669743,4.555920
LATTICE,123,0.020277,0.655011,3.670825,4.424896
LATTICE,777,0.013282,0.556890,3.650105,4.626320
LATTICE,17,0.005900,0.490327,3.668232,4.725890
LATTICE,256,0.012603,0.559979,3.651415,4.619472
LATTICE,1337,0.013143,0.511735,3.671425,4.689270
LATTICE,99,0.014123,0.355993,3.675117,4.910220
LATTICE,314,0.006869,0.394818,3.669714,4.815715
LATTICE,2024,0.018752,0.537565,3.680150,4.657384
LATTICE,888,0.010399,0.607746,3.686293,4.538509
LATTICE,3001,-0.000277,0.650608,3.663602,4.454978
LATTICE,3002,0.008182,0.633919,3.680523,4.573107
LATTICE,3003,0.010633,0.587164,3.681533,4.580944
LATTICE,3004,0.010603,0.503129,3.686542,4.677144
LATTICE,3005,-0.001084,0.449181,3.690968,4.797633
LATTICE,3006,0.010325,0.443575,3.655354,4.685054
LATTICE,3007,0.003095,0.523842,3.693500,4.644392
LATTICE,3008,0.016981,0.319534,3.662794,4.919833
LATTICE,3009,0.010923,0.487933,3.687860,4.746042
LATTICE,3010,0.009786,0.690366,3.655827,4.382472
LATTICE,3011,0.014743,0.393920,3.688641,4.849971
LATTICE,3012,0.022931,0.734103,3.661820,4.302285
LATTICE,3013,0.018154,0.684064,3.684148,4.347381
LATTICE,3014,0.014153,0.331183,3.683545,4.954392
LATTICE,3015,0.004901,0.407475,3.695588,4.807074
LATTICE,3016,0.009744,0.437781,3.667938,4.776672
LATTICE,3017,0.014546,0.578750,3.668832,4.498914
LATTICE,3018,0.014114,0.592451,3.665180,4.606144
LATTICE,3019,0.022648,0.527954,3.669579,4.682400
LATTICE,3020,0.014621,0.498316,3.668299,4.728607
BA_m3,42,-0.003185,0.724211,3.667082,4.264711
BA_m3,123,-0.000425,0.583746,3.729272,4.598627
BA_m3,777,0.018341,0.755654,3.644233,4.158827
BA_m3,17,0.009844,0.648421,3.637998,4.387706
BA_m3,256,0.014206,0.703937,3.593805,4.344355
BA_m3,1337,0.000396,0.541078,3.565183,4.636590
BA_m3,99,0.007244,0.716558,3.617235,4.301867
BA_m3,314,0.008388,0.647263,3.668722,4.384184
BA_m3,2024,0.010978,0.525298,3.642742,4.647628
BA_m3,888,0.006318,0.735706,3.679041,4.214386
BA_m3,3001,0.006146,0.736077,3.687190,4.177583
BA_m3,3002,0.008237,0.733167,3.660595,4.285875
BA_m3,3003,0.008511,0.652865,3.660573,4.443056
BA_m3,3004,0.008697,0.746225,3.615487,4.220122
BA_m3,3005,0.015142,0.631707,3.653560,4.438909
BA_m3,3006,0.002668,0.687427,3.715147,4.247355
BA_m3,3007,0.002421,0.700182,3.703175,4.304792
BA_m3,3008,0.023081,0.769352,3.595103,4.043991
BA_m3,3009,0.009200,0.788164,3.720351,4.092933
BA_m3,3010,0.006969,0.801267,3.647554,4.025177
BA_m3,3011,0.018582,0.673271,3.609466,4.395174
BA_m3,3012,0.012177,0.744006,3.609577,4.244121
BA_m3,3013,0.007024,0.701763,3.657639,4.315127
BA_m3,3014,0.013063,0.545924,3.550200,4.651151
BA_m3,3015,0.003625,0.694703,3.691864,4.323268
BA_m3,3016,0.008176,0.572154,3.640697,4.562150
BA_m3,3017,0.012717,0.744183,3.581014,4.250963
BA_m3,3018,0.010736,0.712545,3.642090,4.225427
BA_m3,3019,0.009854,0.694057,3.686827,4.274070
BA_m3,3020,0.004588,0.714660,3.582768,4.346670
