size,N,seed,h_cont
4,16,42,3.283879
4,16,123,3.034046
4,16,777,3.313011
4,16,17,3.373997
4,16,256,3.334140
4,16,1337,3.276412
4,16,99,3.176971
4,16,314,3.100960
4,16,2024,3.031583
4,16,888,3.125146
4,16,3001,3.300006
4,16,3002,3.393044
4,16,3003,3.272353
4,16,3004,3.430641
4,16,3005,3.103201
4,16,3006,3.153717
4,16,3007,3.334975
4,16,3008,3.037995
4,16,3009,3.086232
4,16,3010,3.320159
4,16,3011,3.055104
4,16,3012,3.265034
4,16,3013,3.104722
4,16,3014,3.139363
4,16,3015,3.112896
4,16,3016,3.060650
4,16,3017,3.156582
4,16,3018,3.259746
4,16,3019,3.293496
4,16,3020,3.291834
6,36,42,3.673811
6,36,123,3.595862
6,36,777,3.753471
6,36,17,3.817260
6,36,256,3.783398
6,36,1337,4.004132
6,36,99,3.615599
6,36,314,3.596154
6,36,2024,3.693261
6,36,888,3.464085
6,36,3001,4.147183
6,36,3002,3.656302
6,36,3003,3.869797
6,36,3004,3.703610
6,36,3005,3.615079
6,36,3006,3.590868
6,36,3007,4.010714
6,36,3008,3.850351
6,36,3009,3.827569
6,36,3010,3.612554
6,36,3011,3.691795
6,36,3012,3.925544
6,36,3013,3.690959
6,36,3014,3.898202
6,36,3015,3.764584
6,36,3016,4.054004
6,36,3017,3.643395
6,36,3018,3.825955
6,36,3019,3.717110
6,36,3020,3.708770
10,100,42,4.369299
10,100,123,4.414835
10,100,777,4.027246
10,100,17,4.024713
10,100,256,3.958640
10,100,1337,4.132748
10,100,99,3.923731
10,100,314,3.767941
10,100,2024,4.153052
10,100,888,4.090594
10,100,3001,4.104367
10,100,3002,4.334062
10,100,3003,4.143448
10,100,3004,4.056308
10,100,3005,3.897848
10,100,3006,4.047677
10,100,3007,4.147205
10,100,3008,4.300949
10,100,3009,4.190271
10,100,3010,4.032787
10,100,3011,4.095989
10,100,3012,4.274435
10,100,3013,4.057665
10,100,3014,4.168130
10,100,3015,3.938067
10,100,3016,4.176343
10,100,3017,4.053676
10,100,3018,4.000338
10,100,3019,3.978163
10,100,3020,4.003887
15,225,42,4.224645
15,225,123,4.195636
15,225,777,4.390121
15,225,17,4.190364
15,225,256,4.425362
15,225,1337,4.072549
15,225,99,4.151125
15,225,314,4.139663
15,225,2024,4.273329
15,225,888,4.234627
15,225,3001,4.299304
15,225,3002,4.292820
15,225,3003,4.245617
15,225,3004,4.293016
15,225,3005,4.089567
15,225,3006,4.278983
15,225,3007,4.145105
15,225,3008,4.233022
15,225,3009,4.338673
15,225,3010,4.344384
15,225,3011,4.278928
15,225,3012,4.264118
15,225,3013,4.459600
15,225,3014,4.365095
15,225,3015,4.429300
15,225,3016,4.131362
15,225,3017,4.262385
15,225,3018,4.178001
15,225,3019,4.111999
15,225,3020,4.303964
20,400,42,4.293632
20,400,123,4.284325
20,400,777,4.239194
20,400,17,4.379841
20,400,256,4.288694
20,400,1337,4.381453
20,400,99,4.246477
20,400,314,4.387223
20,400,2024,4.208829
20,400,888,4.316015
20,400,3001,4.273894
20,400,3002,4.482265
20,400,3003,4.268722
20,400,3004,4.281111
20,400,3005,4.545945
20,400,3006,4.338507
20,400,3007,4.315206
20,400,3008,4.264813
20,400,3009,4.219426
20,400,3010,4.211727
20,400,3011,4.414186
20,400,3012,4.257176
20,400,3013,4.380545
20,400,3014,4.286720
20,400,3015,4.233922
20,400,3016,4.210112
20,400,3017,4.293019
20,400,3018,4.434792
20,400,3019,4.181055
20,400,3020,4.296207
25,625,42,4.333901
25,625,123,4.311469
25,625,777,4.412361
25,625,17,4.526326
25,625,256,4.294877
25,625,1337,4.425937
25,625,99,4.527733
25,625,314,4.456852
25,625,2024,4.451143
25,625,888,4.297803
25,625,3001,4.508027
25,625,3002,4.366513
25,625,3003,4.333689
25,625,3004,4.462539
25,625,3005,4.347232
25,625,3006,4.320042
25,625,3007,4.275914
25,625,3008,4.360774
25,625,3009,4.355368
25,625,3010,4.251697
25,625,3011,4.298733
25,625,3012,4.391117
25,625,3013,4.337355
25,625,3014,4.409610
25,625,3015,4.392612
25,625,3016,4.324889
25,625,3017,4.275009
25,625,3018,4.289159
25,625,3019,4.371521
25,625,3020,4.372634
30,900,42,4.325027
30,900,123,4.446333
30,900,777,4.282816
30,900,17,4.332065
30,900,256,4.471122
30,900,1337,4.389586
30,900,99,4.357160
30,900,314,4.335693
30,900,2024,4.342440
30,900,888,4.473244
30,900,3001,4.358031
30,900,3002,4.417100
30,900,3003,4.360238
30,900,3004,4.390249
30,900,3005,4.379945
30,900,3006,4.356049
30,900,3007,4.407571
30,900,3008,4.367380
30,900,3009,4.386756
30,900,3010,4.367288
30,900,3011,4.464089
30,900,3012,4.300127
30,900,3013,4.302057
30,900,3014,4.384270
30,900,3015,4.408106
30,900,3016,4.387059
30,900,3017,4.382123
30,900,3018,4.420556
30,900,3019,4.389550
30,900,3020,4.368178
