seed,model,rho,input_scale,leak,nrmse
0,ESN,0.8,0.1,0.3,0.612983
0,ESN,0.8,0.1,1.0,0.439414
0,ESN,0.8,0.5,0.3,0.579344
0,ESN,0.8,0.5,1.0,0.452030
0,ESN,0.8,1.0,0.3,0.579943
0,ESN,0.8,1.0,1.0,0.546701
0,ESN,0.95,0.1,0.3,0.601572
0,ESN,0.95,0.1,1.0,0.415830
0,ESN,0.95,0.5,0.3,0.573220
0,ESN,0.95,0.5,1.0,0.400392
0,ESN,0.95,1.0,0.3,0.566821
0,ESN,0.95,1.0,1.0,0.528711
0,ESN,1.1,0.1,0.3,0.614863
0,ESN,1.1,0.1,1.0,0.446395
0,ESN,1.1,0.5,0.3,0.555942
0,ESN,1.1,0.5,1.0,0.501210
0,ESN,1.1,1.0,0.3,0.561773
0,ESN,1.1,1.0,1.0,0.629847
0,M4R_FULL,-1,-1,-1,1.471038
0,M4R_DECOUPLE,-1,-1,-1,2.014237
1,ESN,0.8,0.1,0.3,0.582445
1,ESN,0.8,0.1,1.0,0.370640
1,ESN,0.8,0.5,0.3,0.545408
1,ESN,0.8,0.5,1.0,0.361090
1,ESN,0.8,1.0,0.3,0.537646
1,ESN,0.8,1.0,1.0,0.474746
1,ESN,0.95,0.1,0.3,0.566947
1,ESN,0.95,0.1,1.0,0.356813
1,ESN,0.95,0.5,0.3,0.535823
1,ESN,0.95,0.5,1.0,0.380319
1,ESN,0.95,1.0,0.3,0.527278
1,ESN,0.95,1.0,1.0,0.490008
1,ESN,1.1,0.1,0.3,0.581733
1,ESN,1.1,0.1,1.0,0.456591
1,ESN,1.1,0.5,0.3,0.554679
1,ESN,1.1,0.5,1.0,0.557487
1,ESN,1.1,1.0,0.3,0.540453
1,ESN,1.1,1.0,1.0,0.561678
1,M4R_FULL,-1,-1,-1,1.600868
1,M4R_DECOUPLE,-1,-1,-1,1.220777
2,ESN,0.8,0.1,0.3,0.606138
2,ESN,0.8,0.1,1.0,0.401464
2,ESN,0.8,0.5,0.3,0.579735
2,ESN,0.8,0.5,1.0,0.369375
2,ESN,0.8,1.0,0.3,0.578814
2,ESN,0.8,1.0,1.0,0.388724
2,ESN,0.95,0.1,0.3,0.594830
2,ESN,0.95,0.1,1.0,0.377865
2,ESN,0.95,0.5,0.3,0.559849
2,ESN,0.95,0.5,1.0,0.335166
2,ESN,0.95,1.0,0.3,0.572193
2,ESN,0.95,1.0,1.0,0.392352
2,ESN,1.1,0.1,0.3,0.589990
2,ESN,1.1,0.1,1.0,0.454044
2,ESN,1.1,0.5,0.3,0.552437
2,ESN,1.1,0.5,1.0,0.473655
2,ESN,1.1,1.0,0.3,0.562608
2,ESN,1.1,1.0,1.0,0.406349
2,M4R_FULL,-1,-1,-1,2.070805
2,M4R_DECOUPLE,-1,-1,-1,1.692426
3,ESN,0.8,0.1,0.3,0.579834
3,ESN,0.8,0.1,1.0,0.392914
3,ESN,0.8,0.5,0.3,0.543211
3,ESN,0.8,0.5,1.0,0.375188
3,ESN,0.8,1.0,0.3,0.548683
3,ESN,0.8,1.0,1.0,0.452702
3,ESN,0.95,0.1,0.3,0.564152
3,ESN,0.95,0.1,1.0,0.366417
3,ESN,0.95,0.5,0.3,0.527575
3,ESN,0.95,0.5,1.0,0.362558
3,ESN,0.95,1.0,0.3,0.547922
3,ESN,0.95,1.0,1.0,0.451878
3,ESN,1.1,0.1,0.3,0.538979
3,ESN,1.1,0.1,1.0,0.420664
3,ESN,1.1,0.5,0.3,0.519648
3,ESN,1.1,0.5,1.0,0.461689
3,ESN,1.1,1.0,0.3,0.549748
3,ESN,1.1,1.0,1.0,0.520345
3,M4R_FULL,-1,-1,-1,1.687528
3,M4R_DECOUPLE,-1,-1,-1,1.954044
4,ESN,0.8,0.1,0.3,0.559070
4,ESN,0.8,0.1,1.0,0.401876
4,ESN,0.8,0.5,0.3,0.518611
4,ESN,0.8,0.5,1.0,0.383913
4,ESN,0.8,1.0,0.3,0.509875
4,ESN,0.8,1.0,1.0,0.457048
4,ESN,0.95,0.1,0.3,0.540781
4,ESN,0.95,0.1,1.0,0.356003
4,ESN,0.95,0.5,0.3,0.502596
4,ESN,0.95,0.5,1.0,0.365628
4,ESN,0.95,1.0,0.3,0.510310
4,ESN,0.95,1.0,1.0,0.476064
4,ESN,1.1,0.1,0.3,0.528543
4,ESN,1.1,0.1,1.0,0.429193
4,ESN,1.1,0.5,0.3,0.494653
4,ESN,1.1,0.5,1.0,0.598461
4,ESN,1.1,1.0,0.3,0.499410
4,ESN,1.1,1.0,1.0,0.550776
4,M4R_FULL,-1,-1,-1,2.224923
4,M4R_DECOUPLE,-1,-1,-1,1.348701
5,ESN,0.8,0.1,0.3,0.567326
5,ESN,0.8,0.1,1.0,0.371211
5,ESN,0.8,0.5,0.3,0.546196
5,ESN,0.8,0.5,1.0,0.377327
5,ESN,0.8,1.0,0.3,0.548522
5,ESN,0.8,1.0,1.0,0.452270
5,ESN,0.95,0.1,0.3,0.549354
5,ESN,0.95,0.1,1.0,0.348148
5,ESN,0.95,0.5,0.3,0.521421
