condition,seed,input_scale,k_sub,n_nonlin,nrmse,eff_rank
STNO_FULL,0,0.1,50,0.0,1.661232382982723,50.616647712072584
STNO_FULL,0,0.1,50,10.0,1.3084046816224655,76.06714415817761
STNO_FULL,0,0.1,100,0.0,1.4601126851100812,59.43991013135815
STNO_FULL,0,0.1,100,10.0,1.2285816789090622,82.41202430035264
STNO_FULL,0,0.3,50,0.0,1.4054486705516651,50.10857080803288
STNO_FULL,0,0.3,50,10.0,1.2238584170655482,77.7345117281751
STNO_FULL,0,0.3,100,0.0,1.345372226387511,59.571284874338396
STNO_FULL,0,0.3,100,10.0,1.1412574324003097,83.95777265872132
STNO_FULL,0,0.6,50,0.0,1.4038457880434831,47.64513296252242
STNO_FULL,0,0.6,50,10.0,1.0794086916688599,77.01127461589398
STNO_FULL,0,0.6,100,0.0,1.1201589864477857,58.363982348651
STNO_FULL,0,0.6,100,10.0,1.0255743972156208,79.34402514442637
STNO_FROZEN_U,0,0.1,50,0.0,2.053073564670405,45.05565086124495
STNO_FROZEN_U,0,0.1,50,10.0,2.764437445635491,49.30343970026538
STNO_FROZEN_U,0,0.1,100,0.0,1.3095302687579244,54.45070230300773
STNO_FROZEN_U,0,0.1,100,10.0,1.7326297701723756,62.00616700424432
STNO_FROZEN_U,0,0.3,50,0.0,1.1409098843238998,46.17524335176891
STNO_FROZEN_U,0,0.3,50,10.0,1.756692997717092,50.05411083512259
STNO_FROZEN_U,0,0.3,100,0.0,1.1730970345490026,54.53918285313454
STNO_FROZEN_U,0,0.3,100,10.0,1.3937577027398127,61.95191058619522
STNO_FROZEN_U,0,0.6,50,0.0,1.1718664767572382,46.15054724242112
STNO_FROZEN_U,0,0.6,50,10.0,1.1587765950694082,47.98557354947425
STNO_FROZEN_U,0,0.6,100,0.0,1.0239880000371344,54.37441167649823
STNO_FROZEN_U,0,0.6,100,10.0,1.0117268333129847,55.18812848423383
STNO_DECOUPLE,0,0.1,50,0.0,1.2467809529076423,84.58355978148843
STNO_DECOUPLE,0,0.1,50,10.0,1.257271589368749,83.75417208106018
STNO_DECOUPLE,0,0.1,100,0.0,1.1500771279547113,90.68103429887125
STNO_DECOUPLE,0,0.1,100,10.0,1.1773328343526472,90.36699235586897
STNO_DECOUPLE,0,0.3,50,0.0,0.8738973627268449,81.22257444584369
STNO_DECOUPLE,0,0.3,50,10.0,0.9018661494799812,79.71950424741286
STNO_DECOUPLE,0,0.3,100,0.0,1.0297033352936762,84.1366455429845
STNO_DECOUPLE,0,0.3,100,10.0,0.9742288466606602,82.810391578507
STNO_DECOUPLE,0,0.6,50,0.0,0.8523768714592057,70.34891353763703
STNO_DECOUPLE,0,0.6,50,10.0,0.9561537266353068,67.1384956860559
STNO_DECOUPLE,0,0.6,100,0.0,0.9579840704930987,66.7158763494945
STNO_DECOUPLE,0,0.6,100,10.0,0.8824508617243109,62.59887741352808
STNO_FULL,1,0.1,50,0.0,1.1947425355848376,47.3657886950087
STNO_FULL,1,0.1,50,10.0,1.1745009933941832,75.2188571014912
STNO_FULL,1,0.1,100,0.0,1.1675126589171496,58.51460105905736
STNO_FULL,1,0.1,100,10.0,1.016310975017062,82.03753963892855
STNO_FULL,1,0.3,50,0.0,1.3402279725230544,47.5593153795045
STNO_FULL,1,0.3,50,10.0,0.9727429995439703,78.18429141840979
STNO_FULL,1,0.3,100,0.0,1.2480256538716588,57.31691847203987
STNO_FULL,1,0.3,100,10.0,0.9521776352716662,83.50802646051253
STNO_FULL,1,0.6,50,0.0,1.4456175882948816,43.22802865774118
STNO_FULL,1,0.6,50,10.0,0.9352064209181292,76.95950304302339
STNO_FULL,1,0.6,100,0.0,1.044301297169546,55.12794288672751
STNO_FULL,1,0.6,100,10.0,0.9726612515874957,79.82403152085305
STNO_FROZEN_U,1,0.1,50,0.0,1.3173229307532777,44.81986382990967
STNO_FROZEN_U,1,0.1,50,10.0,1.5016151247427776,50.11783067476934
STNO_FROZEN_U,1,0.1,100,0.0,1.098274496773984,51.48049841751014
STNO_FROZEN_U,1,0.1,100,10.0,1.2538097487709092,61.57525427085926
STNO_FROZEN_U,1,0.3,50,0.0,1.069960657601436,44.461204337215264
STNO_FROZEN_U,1,0.3,50,10.0,1.5165234803489247,49.10120700718126
STNO_FROZEN_U,1,0.3,100,0.0,1.0679599605351486,50.978194456253526
STNO_FROZEN_U,1,0.3,100,10.0,1.1296519986839213,62.773921937175906
STNO_FROZEN_U,1,0.6,50,0.0,0.9405685421281897,42.94949992856886
STNO_FROZEN_U,1,0.6,50,10.0,1.0580464609975333,49.30715789928441
STNO_FROZEN_U,1,0.6,100,0.0,0.9056984067220368,50.90493239385044
STNO_FROZEN_U,1,0.6,100,10.0,0.9999180566588705,56.62654395545067
STNO_DECOUPLE,1,0.1,50,0.0,1.0839444282820565,83.79157832637416
STNO_DECOUPLE,1,0.1,50,10.0,1.0849446415581576,83.1695450296631
STNO_DECOUPLE,1,0.1,100,0.0,0.9606984046785694,90.6007728658799
STNO_DECOUPLE,1,0.1,100,10.0,0.9884404173751773,89.99740629798407
STNO_DECOUPLE,1,0.3,50,0.0,0.9205182502619219,81.04791355625464
STNO_DECOUPLE,1,0.3,50,10.0,0.8918763462931453,79.95569783760261
STNO_DECOUPLE,1,0.3,100,0.0,0.8909571884793087,83.98438687596256
STNO_DECOUPLE,1,0.3,100,10.0,0.8722543023596171,82.44226880879634
STNO_DECOUPLE,1,0.6,50,0.0,0.9134519185381453,71.11025713200165
STNO_DECOUPLE,1,0.6,50,10.0,0.8203906381144139,68.11448422619047
STNO_DECOUPLE,1,0.6,100,0.0,0.8434224934871118,67.38170886354537
STNO_DECOUPLE,1,0.6,100,10.0,0.8198165360028433,62.992958562983326
STNO_FULL,2,0.1,50,0.0,1.2861682927725444,50.25137266227377
STNO_FULL,2,0.1,50,10.0,1.1721275201050199,75.39315418996199
STNO_FULL,2,0.1,100,0.0,1.2571159174589066,56.04254756377029
STNO_FULL,2,0.1,100,10.0,1.1345816881491924,82.43155868009617
STNO_FULL,2,0.3,50,0.0,1.2910279693013758,49.31086507283992
STNO_FULL,2,0.3,50,10.0,1.1601913496298601,77.71590480306685
STNO_FULL,2,0.3,100,0.0,1.0472288432827324,55.3651720159009
STNO_FULL,2,0.3,100,10.0,1.0240421658175913,83.21598502734723
STNO_FULL,2,0.6,50,0.0,1.0785540478189641,47.38233481175567
STNO_FULL,2,0.6,50,10.0,0.9257309957435208,77.3089845779308
STNO_FULL,2,0.6,100,0.0,1.1220642714855764,55.229089568183255
STNO_FULL,2,0.6,100,10.0,0.9115155915544166,79.19827136393288
STNO_FROZEN_U,2,0.1,50,0.0,1.348355194476298,47.32299315487368
STNO_FROZEN_U,2,0.1,50,10.0,1.504959434496923,49.020642071600534
STNO_FROZEN_U,2,0.1,100,0.0,1.241709100629048,54.61559339500769
STNO_FROZEN_U,2,0.1,100,10.0,1.5627955751303348,61.5593384956801
STNO_FROZEN_U,2,0.3,50,0.0,1.2368866213665046,47.20351309958508
STNO_FROZEN_U,2,0.3,50,10.0,1.7304687855911003,48.781795586305435
STNO_FROZEN_U,2,0.3,100,0.0,1.0366402190308623,52.271313218991786
STNO_FROZEN_U,2,0.3,100,10.0,1.3509649078266923,62.00240846486854
STNO_FROZEN_U,2,0.6,50,0.0,0.9846100698013247,46.11660311060633
STNO_FROZEN_U,2,0.6,50,10.0,1.0372657882061023,45.942788473604935
