seed,t_pulse,dstar,m4r_doubt,m4r_conv,m4r_oracle,esn_drop,esn_conv,esn_oracle,esn_rho,esn_leak
0,350,-1,1,0,1,0,0,1,0.9,0.3
0,700,-1,1,0,1,0,0,1,0.9,0.3
1,350,-1,1,0,0,0,0,1,0.9,0.3
1,700,-1,1,0,0,0,0,1,0.9,0.3
2,350,1,0,1,1,0,0,1,0.9,0.3
2,700,1,0,1,1,0,0,1,0.9,0.3
3,350,-1,1,0,0,0,0,1,0.9,0.3
3,700,-1,1,0,0,0,0,1,0.9,0.3
4,350,1,1,1,1,0,0,0,0.9,0.3
4,700,1,1,1,0,0,0,0,0.9,0.3
5,350,-1,1,0,1,0,0,1,0.9,0.3
5,700,-1,1,0,1,0,0,1,0.9,0.3
6,350,-1,1,0,1,0,0,1,0.9,0.3
6,700,-1,1,0,1,0,0,1,0.9,0.3
7,350,-1,1,0,1,0,0,1,0.9,0.3
7,700,-1,1,0,1,0,0,1,0.9,0.3
8,350,-1,1,0,0,0,0,1,0.9,0.3
8,700,-1,1,0,0,0,0,1,0.9,0.3
9,350,-1,1,0,1,0,0,1,0.9,0.3
9,700,-1,1,0,1,0,0,1,0.9,0.3
10,350,1,0,1,1,0,0,1,0.9,0.3
10,700,1,0,1,1,0,0,1,0.9,0.3
11,350,-1,1,0,1,0,0,1,0.9,0.3
11,700,-1,1,0,1,0,0,1,0.9,0.3
12,350,-1,1,0,1,0,0,1,0.9,0.3
12,700,-1,1,0,1,0,0,1,0.9,0.3
13,350,1,1,1,1,0,0,1,0.9,0.3
13,700,1,1,1,1,0,0,1,0.9,0.3
14,350,-1,1,0,0,0,0,1,0.9,0.3
14,700,-1,1,0,1,0,0,1,0.9,0.3
