bras,t_pulse,seed,dstar,flip_time
B1_FULL,1500,0,-1,5538
B2_FIXE_INIT,1500,0,-1,2612
B5a_PAR_NOEUD_PAR_COPIE,1500,0,-1,5538
B5b_PAR_NOEUD_COMMUN,1500,0,-1,2586
B1_FULL,1500,1,-1,5665
B2_FIXE_INIT,1500,1,-1,2425
B5a_PAR_NOEUD_PAR_COPIE,1500,1,-1,5665
B5b_PAR_NOEUD_COMMUN,1500,1,-1,2538
B1_FULL,1500,2,1,2917
B2_FIXE_INIT,1500,2,1,2867
B5a_PAR_NOEUD_PAR_COPIE,1500,2,1,2917
B5b_PAR_NOEUD_COMMUN,1500,2,1,2633
B1_FULL,1500,3,-1,3935
B2_FIXE_INIT,1500,3,-1,2532
B5a_PAR_NOEUD_PAR_COPIE,1500,3,-1,3935
B5b_PAR_NOEUD_COMMUN,1500,3,-1,2659
B1_FULL,1500,4,1,6447
B2_FIXE_INIT,1500,4,1,2890
B5a_PAR_NOEUD_PAR_COPIE,1500,4,1,6447
B5b_PAR_NOEUD_COMMUN,1500,4,1,2742
B1_FULL,1500,5,-1,5614
B2_FIXE_INIT,1500,5,-1,2330
B5a_PAR_NOEUD_PAR_COPIE,1500,5,-1,5614
B5b_PAR_NOEUD_COMMUN,1500,5,-1,2691
B1_FULL,1500,6,-1,5648
B2_FIXE_INIT,1500,6,-1,2472
B5a_PAR_NOEUD_PAR_COPIE,1500,6,-1,5648
B5b_PAR_NOEUD_COMMUN,1500,6,-1,2655
B1_FULL,1500,7,-1,2813
B2_FIXE_INIT,1500,7,-1,2685
B5a_PAR_NOEUD_PAR_COPIE,1500,7,-1,2813
B5b_PAR_NOEUD_COMMUN,1500,7,-1,2695
B1_FULL,1500,8,-1,5742
B2_FIXE_INIT,1500,8,-1,2478
B5a_PAR_NOEUD_PAR_COPIE,1500,8,-1,5742
B5b_PAR_NOEUD_COMMUN,1500,8,-1,2567
B1_FULL,1500,9,-1,5032
B2_FIXE_INIT,1500,9,-1,2626
B5a_PAR_NOEUD_PAR_COPIE,1500,9,-1,5032
B5b_PAR_NOEUD_COMMUN,1500,9,-1,2752
B1_FULL,1500,10,1,4885
B2_FIXE_INIT,1500,10,1,2692
B5a_PAR_NOEUD_PAR_COPIE,1500,10,1,4885
B5b_PAR_NOEUD_COMMUN,1500,10,1,2582
B1_FULL,1500,11,-1,6995
B2_FIXE_INIT,1500,11,-1,2728
B5a_PAR_NOEUD_PAR_COPIE,1500,11,-1,6995
