bras,t_pulse,seed,dstar,flip_time,flip_ok
B1_FULL,500,0,-1,1358,1
B1_FULL,500,1,-1,1263,1
B1_FULL,500,2,1,1281,1
B1_FULL,500,3,-1,1217,1
B1_FULL,500,4,1,1421,1
B1_FULL,500,5,-1,1188,1
B1_FULL,500,6,-1,1254,1
B1_FULL,500,7,-1,1342,1
B1_FULL,500,8,-1,1218,1
B1_FULL,500,9,-1,1359,1
B1_FULL,500,10,1,1303,1
B1_FULL,500,11,-1,1324,1
B1_FULL,1500,0,-1,5538,1
B1_FULL,1500,1,-1,5665,1
B1_FULL,1500,2,1,2917,1
B1_FULL,1500,3,-1,3935,1
B1_FULL,1500,4,1,6447,1
B1_FULL,1500,5,-1,5614,1
B1_FULL,1500,6,-1,5648,1
B1_FULL,1500,7,-1,2813,1
B1_FULL,1500,8,-1,5742,1
B1_FULL,1500,9,-1,5032,1
B1_FULL,1500,10,1,4885,1
B1_FULL,1500,11,-1,6995,1
B1_FULL,3000,0,-1,6092,1
B1_FULL,3000,1,-1,6808,1
B1_FULL,3000,2,1,6438,1
B1_FULL,3000,3,-1,5578,1
B1_FULL,3000,4,1,8829,1
B1_FULL,3000,5,-1,6170,1
B1_FULL,3000,6,-1,6294,1
B1_FULL,3000,7,-1,8837,1
B1_FULL,3000,8,-1,6667,1
B1_FULL,3000,9,-1,6039,1
B1_FULL,3000,10,1,6243,1
B1_FULL,3000,11,-1,8068,1
B1_FULL,4500,0,-1,6542,1
B1_FULL,4500,1,-1,8154,1
B1_FULL,4500,2,1,7551,1
B1_FULL,4500,3,-1,6276,1
B1_FULL,4500,4,1,8756,1
B1_FULL,4500,5,-1,7219,1
B1_FULL,4500,6,-1,8301,1
B1_FULL,4500,7,-1,9001,0
B1_FULL,4500,8,-1,8584,1
B1_FULL,4500,9,-1,7081,1
B1_FULL,4500,10,1,7898,1
B1_FULL,4500,11,-1,9001,0
B2_FIXE_INIT,500,0,-1,1371,1
B2_FIXE_INIT,500,1,-1,1248,1
B2_FIXE_INIT,500,2,1,1312,1
B2_FIXE_INIT,500,3,-1,1133,1
B2_FIXE_INIT,500,4,1,1582,1
B2_FIXE_INIT,500,5,-1,1113,1
B2_FIXE_INIT,500,6,-1,1204,1
B2_FIXE_INIT,500,7,-1,1348,1
B2_FIXE_INIT,500,8,-1,1203,1
B2_FIXE_INIT,500,9,-1,1282,1
B2_FIXE_INIT,500,10,1,1377,1
B2_FIXE_INIT,500,11,-1,1321,1
B2_FIXE_INIT,1500,0,-1,2612,1
B2_FIXE_INIT,1500,1,-1,2425,1
B2_FIXE_INIT,1500,2,1,2867,1
B2_FIXE_INIT,1500,3,-1,2532,1
B2_FIXE_INIT,1500,4,1,2890,1
B2_FIXE_INIT,1500,5,-1,2330,1
B2_FIXE_INIT,1500,6,-1,2472,1
B2_FIXE_INIT,1500,7,-1,2685,1
B2_FIXE_INIT,1500,8,-1,2478,1
B2_FIXE_INIT,1500,9,-1,2626,1
B2_FIXE_INIT,1500,10,1,2692,1
B2_FIXE_INIT,1500,11,-1,2728,1
B2_FIXE_INIT,3000,0,-1,4264,1
B2_FIXE_INIT,3000,1,-1,4139,1
B2_FIXE_INIT,3000,2,1,4629,1
B2_FIXE_INIT,3000,3,-1,4424,1
B2_FIXE_INIT,3000,4,1,4195,1
B2_FIXE_INIT,3000,5,-1,3763,1
B2_FIXE_INIT,3000,6,-1,4117,1
B2_FIXE_INIT,3000,7,-1,4371,1
B2_FIXE_INIT,3000,8,-1,3987,1
B2_FIXE_INIT,3000,9,-1,4122,1
B2_FIXE_INIT,3000,10,1,4235,1
B2_FIXE_INIT,3000,11,-1,4629,1
B2_FIXE_INIT,4500,0,-1,5850,1
B2_FIXE_INIT,4500,1,-1,5535,1
B2_FIXE_INIT,4500,2,1,6213,1
B2_FIXE_INIT,4500,3,-1,5760,1
B2_FIXE_INIT,4500,4,1,5617,1
B2_FIXE_INIT,4500,5,-1,5375,1
B2_FIXE_INIT,4500,6,-1,5637,1
B2_FIXE_INIT,4500,7,-1,5854,1
B2_FIXE_INIT,4500,8,-1,5396,1
B2_FIXE_INIT,4500,9,-1,5712,1
B2_FIXE_INIT,4500,10,1,5880,1
B2_FIXE_INIT,4500,11,-1,5868,1
B4a_PROFIL_LOCAL,500,0,-1,1340,1
B4a_PROFIL_LOCAL,500,1,-1,1238,1
B4a_PROFIL_LOCAL,500,2,1,1261,1
B4a_PROFIL_LOCAL,500,3,-1,1163,1
B4a_PROFIL_LOCAL,500,4,1,1490,1
B4a_PROFIL_LOCAL,500,5,-1,1119,1
B4a_PROFIL_LOCAL,500,6,-1,1203,1
B4a_PROFIL_LOCAL,500,7,-1,1314,1
B4a_PROFIL_LOCAL,500,8,-1,1202,1
B4a_PROFIL_LOCAL,500,9,-1,1274,1
B4a_PROFIL_LOCAL,500,10,1,1318,1
B4a_PROFIL_LOCAL,500,11,-1,1327,1
B4a_PROFIL_LOCAL,1500,0,-1,2456,1
B4a_PROFIL_LOCAL,1500,1,-1,2428,1
B4a_PROFIL_LOCAL,1500,2,1,2624,1
B4a_PROFIL_LOCAL,1500,3,-1,2486,1
B4a_PROFIL_LOCAL,1500,4,1,2709,1
B4a_PROFIL_LOCAL,1500,5,-1,2414,1
B4a_PROFIL_LOCAL,1500,6,-1,2477,1
B4a_PROFIL_LOCAL,1500,7,-1,2669,1
B4a_PROFIL_LOCAL,1500,8,-1,2477,1
B4a_PROFIL_LOCAL,1500,9,-1,2631,1
B4a_PROFIL_LOCAL,1500,10,1,2607,1
B4a_PROFIL_LOCAL,1500,11,-1,2767,1
B4a_PROFIL_LOCAL,3000,0,-1,4119,1
B4a_PROFIL_LOCAL,3000,1,-1,4204,1
B4a_PROFIL_LOCAL,3000,2,1,4069,1
B4a_PROFIL_LOCAL,3000,3,-1,4132,1
B4a_PROFIL_LOCAL,3000,4,1,4508,1
B4a_PROFIL_LOCAL,3000,5,-1,4157,1
B4a_PROFIL_LOCAL,3000,6,-1,4332,1
B4a_PROFIL_LOCAL,3000,7,-1,4157,1
B4a_PROFIL_LOCAL,3000,8,-1,4246,1
B4a_PROFIL_LOCAL,3000,9,-1,4368,1
B4a_PROFIL_LOCAL,3000,10,1,4132,1
B4a_PROFIL_LOCAL,3000,11,-1,4335,1
B4a_PROFIL_LOCAL,4500,0,-1,5320,1
B4a_PROFIL_LOCAL,4500,1,-1,5301,1
B4a_PROFIL_LOCAL,4500,2,1,5462,1
B4a_PROFIL_LOCAL,4500,3,-1,5331,1
B4a_PROFIL_LOCAL,4500,4,1,5279,1
B4a_PROFIL_LOCAL,4500,5,-1,5544,1
B4a_PROFIL_LOCAL,4500,6,-1,5390,1
B4a_PROFIL_LOCAL,4500,7,-1,5323,1
B4a_PROFIL_LOCAL,4500,8,-1,5433,1
B4a_PROFIL_LOCAL,4500,9,-1,5474,1
B4a_PROFIL_LOCAL,4500,10,1,5457,1
B4a_PROFIL_LOCAL,4500,11,-1,5433,1
B4b_PROFIL_TRANSFERE,3000,0,-1,4109,1
B4b_PROFIL_TRANSFERE,3000,1,-1,4205,1
B4b_PROFIL_TRANSFERE,3000,2,1,4071,1
B4b_PROFIL_TRANSFERE,3000,3,-1,4137,1
B4b_PROFIL_TRANSFERE,3000,4,1,4518,1
B4b_PROFIL_TRANSFERE,3000,5,-1,4137,1
B4b_PROFIL_TRANSFERE,3000,6,-1,4324,1
B4b_PROFIL_TRANSFERE,3000,7,-1,4160,1
B4b_PROFIL_TRANSFERE,3000,8,-1,4241,1
B4b_PROFIL_TRANSFERE,3000,9,-1,4371,1
B4b_PROFIL_TRANSFERE,3000,10,1,4132,1
B4b_PROFIL_TRANSFERE,3000,11,-1,4340,1
B4b_PROFIL_TRANSFERE,4500,0,-1,5312,1
B4b_PROFIL_TRANSFERE,4500,1,-1,5297,1
B4b_PROFIL_TRANSFERE,4500,2,1,5443,1
B4b_PROFIL_TRANSFERE,4500,3,-1,5318,1
B4b_PROFIL_TRANSFERE,4500,4,1,5265,1
B4b_PROFIL_TRANSFERE,4500,5,-1,5527,1
B4b_PROFIL_TRANSFERE,4500,6,-1,5388,1
B4b_PROFIL_TRANSFERE,4500,7,-1,5313,1
B4b_PROFIL_TRANSFERE,4500,8,-1,5430,1
B4b_PROFIL_TRANSFERE,4500,9,-1,5480,1
B4b_PROFIL_TRANSFERE,4500,10,1,5444,1
B4b_PROFIL_TRANSFERE,4500,11,-1,5426,1
