readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L0_PAIRE_JUMELLE,STNO_FULL,1500,0,-1,5538,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,0,-1,5303,1
L2_REF_NON_STIM,STNO_FULL,1500,0,-1,5638,1
L3_COPIE_UNIQUE,STNO_FULL,1500,0,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,1,-1,5665,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,1,-1,5366,1
L2_REF_NON_STIM,STNO_FULL,1500,1,-1,5486,1
L3_COPIE_UNIQUE,STNO_FULL,1500,1,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,2,1,2917,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,2,1,5777,1
L2_REF_NON_STIM,STNO_FULL,1500,2,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,1500,2,1,966,1
L0_PAIRE_JUMELLE,STNO_FULL,1500,3,-1,3935,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,3,-1,5021,1
L2_REF_NON_STIM,STNO_FULL,1500,3,-1,4783,1
L3_COPIE_UNIQUE,STNO_FULL,1500,3,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,4,1,6447,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,4,1,6266,1
L2_REF_NON_STIM,STNO_FULL,1500,4,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,1500,4,1,1456,1
L0_PAIRE_JUMELLE,STNO_FULL,1500,5,-1,5614,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,5,-1,5778,1
L2_REF_NON_STIM,STNO_FULL,1500,5,-1,5807,1
L3_COPIE_UNIQUE,STNO_FULL,1500,5,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,6,-1,5648,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,6,-1,5878,1
L2_REF_NON_STIM,STNO_FULL,1500,6,-1,5681,1
L3_COPIE_UNIQUE,STNO_FULL,1500,6,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,7,-1,2813,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,7,-1,5454,1
L2_REF_NON_STIM,STNO_FULL,1500,7,-1,5280,1
L3_COPIE_UNIQUE,STNO_FULL,1500,7,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,8,-1,5742,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,8,-1,6185,1
L2_REF_NON_STIM,STNO_FULL,1500,8,-1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,1500,8,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,9,-1,5032,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,9,-1,4935,1
L2_REF_NON_STIM,STNO_FULL,1500,9,-1,4991,1
L3_COPIE_UNIQUE,STNO_FULL,1500,9,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,1500,10,1,4885,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,10,1,5061,1
L2_REF_NON_STIM,STNO_FULL,1500,10,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,1500,10,1,1357,1
L0_PAIRE_JUMELLE,STNO_FULL,1500,11,-1,6995,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,1500,11,-1,7178,1
L2_REF_NON_STIM,STNO_FULL,1500,11,-1,4627,1
L3_COPIE_UNIQUE,STNO_FULL,1500,11,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,0,-1,6092,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,0,-1,5970,1
L2_REF_NON_STIM,STNO_FULL,3000,0,-1,5703,1
L3_COPIE_UNIQUE,STNO_FULL,3000,0,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,1,-1,6808,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,1,-1,6409,1
L2_REF_NON_STIM,STNO_FULL,3000,1,-1,5711,1
L3_COPIE_UNIQUE,STNO_FULL,3000,1,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,2,1,6438,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,2,1,7400,1
L2_REF_NON_STIM,STNO_FULL,3000,2,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,3000,2,1,966,1
L0_PAIRE_JUMELLE,STNO_FULL,3000,3,-1,5578,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,3,-1,5720,1
L2_REF_NON_STIM,STNO_FULL,3000,3,-1,5116,1
L3_COPIE_UNIQUE,STNO_FULL,3000,3,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,4,1,8829,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,4,1,6868,1
L2_REF_NON_STIM,STNO_FULL,3000,4,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,3000,4,1,1456,1
L0_PAIRE_JUMELLE,STNO_FULL,3000,5,-1,6170,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,5,-1,6295,1
L2_REF_NON_STIM,STNO_FULL,3000,5,-1,5872,1
L3_COPIE_UNIQUE,STNO_FULL,3000,5,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,6,-1,6294,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,6,-1,6406,1
L2_REF_NON_STIM,STNO_FULL,3000,6,-1,5683,1
L3_COPIE_UNIQUE,STNO_FULL,3000,6,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,7,-1,8837,1
