topology,n_nonlin,condition,gain_u,seed,R_mean,R_std,p_mean,u_mean,u_max
BA_m3,0.0,FROZEN_U,,42,0.710464010627781,0.01986652439836746,0.10916623100472196,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,123,0.410563929752614,0.12006820424091175,0.037931212519512175,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,777,0.6497340053429448,0.06655012056135687,0.09244584850357902,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,17,0.6544778932833645,0.08624041836604829,0.07292696089155254,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,256,0.5956343455966304,0.01738557344383449,0.09016893562766251,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,1337,0.512376071407666,0.09820569193275962,0.06720611887599998,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,99,0.6807826976642475,0.025361172259709987,0.08755694892073347,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,314,0.5988985716193046,0.03757650131022423,0.08370745254941883,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,2024,0.7025598661953839,0.03603952713270162,0.07967992812172116,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,888,0.6868312676787367,0.08001268412306951,0.08542215659675893,0.05,0.04999999999999999
BA_m3,0.0,FULL,1.0,42,0.7032594812807038,0.02371722098131853,0.10828425032946856,0.06205681823491618,0.07048803349473327
BA_m3,0.0,FULL,1.0,123,0.3979638320073295,0.11514110629312377,0.03770900251468334,0.05943344364732064,0.06536990375053549
BA_m3,0.0,FULL,1.0,777,0.6420068908152678,0.07160367506484341,0.09169946703182992,0.061437711143305276,0.06988472747929339
BA_m3,0.0,FULL,1.0,17,0.6505551074191517,0.08572722532832926,0.07266191688356922,0.05937873383727627,0.06741406904018375
BA_m3,0.0,FULL,1.0,256,0.5891303868461282,0.019651610750223317,0.08961834384786305,0.06120963802736006,0.06911788853013148
BA_m3,0.0,FULL,1.0,1337,0.5031905187123816,0.10445285937836378,0.06667937371271085,0.06083534150171547,0.06863085027066484
BA_m3,0.0,FULL,1.0,99,0.6742889404394556,0.024654571864920514,0.08679467034670951,0.06118215762613918,0.06922007707695017
