topology,n_nonlin,gain_u,u_mean,u_max_mean,sigma_social_implied,n_seeds_switching,n_seeds,R_FULL_mean,R_FROZEN_mean,diff_FROZEN_minus_FULL,cohen_d
BA_m3,0.0,1.0,0.06082160244170485,0.06876505619715939,0.010821602441704846,0,10,0.6126382493227748,0.6202322659168673,0.007594016594092534,0.07891027130242396
BA_m3,0.0,2.0,0.07641694122073248,0.09644874490177816,0.013208470610366237,0,10,0.5997772974304736,0.6202322659168673,0.02045496848639372,0.2102496308007677
BA_m3,0.0,3.0,0.09700819402045859,0.1337081322034271,0.01566939800681953,0,10,0.5789385007661092,0.6202322659168673,0.04129376515075811,0.42054494044416696
BA_m3,0.0,5.0,0.15691990363006353,0.25170417416907387,0.021383980726012705,0,10,0.49097701432568713,0.6202322659168673,0.12925525159118018,1.3489355383836361
BA_m3,0.0,7.0,0.26385810565478496,0.5231302565228179,0.030551157950683566,6,10,0.3693546424062095,0.6202322659168673,0.2508776235106578,2.746942124032733
BA_m3,0.0,10.0,0.5034419985928806,0.939323981992092,0.045344199859288066,10,10,0.25826743806231683,0.6202322659168673,0.3619648278545505,4.5871317090560355
BA_m3,10.0,1.0,0.05985695713457012,0.06571834464657897,0.009856957134570118,0,10,0.27007433803775616,0.2702882883798722,0.0002139503421160205,0.005366548336663865
BA_m3,10.0,2.0,0.0737648673962616,0.08821952148525827,0.011882433698130801,0,10,0.26725451328178007,0.2702882883798722,0.0030337750980921063,0.0769207845595169
BA_m3,10.0,3.0,0.09187587396945472,0.11793792672632886,0.013958624656484906,0,10,0.25794982215637774,0.2702882883798722,0.012338466223494438,0.3429974488178671
BA_m3,10.0,5.0,0.14275580393244391,0.20628907821359932,0.01855116078648878,0,10,0.2393170439516057,0.2702882883798722,0.030971244428266487,0.8532836417110609
BA_m3,10.0,7.0,0.23169444760348248,0.42183753998953755,0.025956349657640352,1,10,0.19344398030544735,0.2702882883798722,0.07684430807442483,1.9184395520479796
BA_m3,10.0,10.0,0.48947830446579677,0.9257285075172742,0.043947830446579676,10,10,0.13515579319774979,0.2702882883798722,0.1351324951821224,4.410085925712495
LATTICE_10x10,0.0,1.0,0.06068976941998651,0.06795405024450377,0.010689769419986506,0,10,0.3383031542712699,0.3418613845525319,0.0035582302812620092,0.04053129408370178
LATTICE_10x10,0.0,2.0,0.07603505086204079,0.09424435625508072,0.013017525431020395,0,10,0.3325424677628585,0.3418613845525319,0.009318916789673393,0.1072251427253894
LATTICE_10x10,0.0,3.0,0.09629555232555997,0.12965862734705702,0.015431850775186657,0,10,0.3239113810349088,0.3418613845525319,0.017950003517623103,0.2088955431461676
LATTICE_10x10,0.0,5.0,0.15560922174285668,0.24325977412701388,0.021121844348571336,0,10,0.2866214112855647,0.3418613845525319,0.055239973266967224,0.6727980178960709
LATTICE_10x10,0.0,7.0,0.2651310163941914,0.5228997890391673,0.030733002342027343,7,10,0.23649938967931633,0.3418613845525319,0.10536199487321557,1.4209195677449629
LATTICE_10x10,0.0,10.0,0.5251996946908968,0.9508452256560895,0.04751996946908968,10,10,0.16596224098483706,0.3418613845525319,0.17589914356769484,2.55457026848226
LATTICE_10x10,10.0,1.0,0.0604373534100157,0.06648633993008579,0.010437353410015698,0,10,0.1759196150468555,0.1757654915445232,-0.00015412350233229288,-0.004739735818735324
LATTICE_10x10,10.0,2.0,0.07536526891530507,0.09031927316760296,0.012682634457652532,0,10,0.17646270875808195,0.1757654915445232,-0.000697217213558754,-0.022454838781181166
LATTICE_10x10,10.0,3.0,0.09504488611220133,0.12240195562390432,0.015014962037400442,0,10,0.17469081646244025,0.1757654915445232,0.0010746750820829487,0.03589901166861813
LATTICE_10x10,10.0,5.0,0.15160809980802234,0.22018009686952342,0.02032161996160447,0,10,0.15133203707403148,0.1757654915445232,0.024433454470491722,0.8377367327795532
LATTICE_10x10,10.0,7.0,0.2571009396266579,0.49326214856175693,0.02958584851809399,4,10,0.14083732102691,0.1757654915445232,0.03492817051761321,1.339617617859898
LATTICE_10x10,10.0,10.0,0.5481699107496036,0.9805468254942189,0.04981699107496036,10,10,0.11127278324816385,0.1757654915445232,0.06449270829635935,2.597575239598115
