bras,gain_u,sigma_capteur,seed,R_mean,u_mean,u_max,sigma_social_capte
FROZEN_U,,,42,0.710464010627781,0.05,0.04999999999999999,0.1614993613673428
FROZEN_U,,,123,0.410563929752614,0.05,0.04999999999999999,0.12321091222652
FROZEN_U,,,777,0.6497340053429448,0.05,0.04999999999999999,0.16011502967619026
FROZEN_U,,,17,0.6544778932833645,0.05,0.04999999999999999,0.14015942322155955
FROZEN_U,,,256,0.5956343455966304,0.05,0.04999999999999999,0.15335999584329157
FROZEN_U,,,1337,0.512376071407666,0.05,0.04999999999999999,0.15020884087056732
FROZEN_U,,,99,0.6807826976642475,0.05,0.04999999999999999,0.15283464709353736
FROZEN_U,,,314,0.5988985716193046,0.05,0.04999999999999999,0.1613464342177086
FROZEN_U,,,2024,0.7025598661953839,0.05,0.04999999999999999,0.15490236349347317
FROZEN_U,,,888,0.6868312676787367,0.05,0.04999999999999999,0.1437971627176651
FULL,1.0,0.0,42,0.7032594812807038,0.06205681823491618,0.07048803349473327,0.16272879773918394
FULL,1.0,0.0,123,0.3979638320073295,0.05943344364732064,0.06536990375053549,0.12358224995560133
FULL,1.0,0.0,777,0.6420068908152678,0.061437711143305276,0.06988472747929339,0.16105581253973758
FULL,1.0,0.0,17,0.6505551074191517,0.05937873383727627,0.06741406904018375,0.1409170909506169
FULL,1.0,0.0,256,0.5891303868461282,0.06120963802736006,0.06911788853013148,0.1542809084039413
FULL,1.0,0.0,1337,0.5031905187123816,0.06083534150171547,0.06863085027066484,0.15074953019309834
FULL,1.0,0.0,99,0.6742889404394556,0.06118215762613918,0.06922007707695017,0.15371301998993375
FULL,1.0,0.0,314,0.5894824727270375,0.061579518948015576,0.07006509784954201,0.1623518161697327
FULL,1.0,0.0,2024,0.6947928502111965,0.060955938742402876,0.06926115778986076,0.15566705467963862
FULL,1.0,0.0,888,0.6817120127690963,0.060146722708596875,0.06819875668969877,0.14465954148189178
FULL,1.0,0.05,42,0.7024224524607238,0.06401714980026088,0.07311571561946999,0.17280163990644912
FULL,1.0,0.05,123,0.3953260168129429,0.06152924145807772,0.06826474131439261,0.13700206739100962
FULL,1.0,0.05,777,0.6408129850515798,0.06343978851460333,0.07252807209793759,0.17086040974995875
FULL,1.0,0.05,17,0.6496155054172168,0.06160306181479799,0.07031482039947134,0.15360164439639318
FULL,1.0,0.05,256,0.5880753226346,0.06319157816209293,0.07176725028128937,0.1644798770923407
FULL,1.0,0.05,1337,0.5017862968582161,0.0628344723854042,0.07129121926203846,0.16117878702268998
FULL,1.0,0.05,99,0.6733341155191903,0.06315247827527287,0.07185013951719346,0.1640223274306245
FULL,1.0,0.05,314,0.5879415272878311,0.06355646882841262,0.07267588240469554,0.17194105256011963
FULL,1.0,0.05,2024,0.6935832675443828,0.06298512192775638,0.07193701594551867,0.16601629173177862
FULL,1.0,0.05,888,0.6807966224079174,0.06223464465990405,0.0709924668953445,0.15692302272730194
FULL,1.0,0.1,42,0.7001165962441543,0.0691776329419408,0.0803045196265348,0.20285366079415382
FULL,1.0,0.1,123,0.38811784074936917,0.06695839093664427,0.07596669815588426,0.1735067714368153
FULL,1.0,0.1,777,0.6376735866893658,0.06866753341197332,0.07973305462511951,0.20055574812185473
FULL,1.0,0.1,17,0.6472836506821333,0.06712059744468675,0.07787277153532707,0.1875696640208475
FULL,1.0,0.1,256,0.5852553856171059,0.06841636924113176,0.07903765355430176,0.1953120923716718
FULL,1.0,0.1,1337,0.497871167152594,0.06807982209537704,0.07855582907876588,0.19217360716893175
FULL,1.0,0.1,99,0.6706503008638964,0.06836239842506396,0.07908457860158691,0.19485728910181746
FULL,1.0,0.1,314,0.5838435454266855,0.06874209592778714,0.07982387834064167,0.20113906956888217
FULL,1.0,0.1,2024,0.6902229349186683,0.06824859830942336,0.07918492890617253,0.19649238104669495
FULL,1.0,0.1,888,0.6783198005116412,0.0676334251439832,0.07847394349571396,0.1906004606950205
FULL,1.0,0.2,42,0.6916528841484515,0.08585427747599193,0.10417817534401479,0.2969416733655963
FULL,1.0,0.2,123,0.3648678021904293,0.0840374183530583,0.10061809419618388,0.27762533986690313
FULL,1.0,0.2,777,0.6265266872628199,0.0854478921856348,0.10366931171274095,0.2949677091797393
FULL,1.0,0.2,17,0.6393657057499849,0.08422250126068101,0.10221529366277324,0.28702532964382654
FULL,1.0,0.2,256,0.5754024918189553,0.08521500749459378,0.1031015831898376,0.2916024903744467
FULL,1.0,0.2,1337,0.4839081334995864,0.08490473561894261,0.10261133807740523,0.2889750638418772
FULL,1.0,0.2,99,0.6606675686459389,0.08516917698730762,0.10313032702903115,0.29128359861420483
FULL,1.0,0.2,314,0.5692215396256968,0.08549501083846836,0.10372653938977065,0.2951764007357151
FULL,1.0,0.2,2024,0.6779605617308564,0.08508795259245894,0.10320649106629513,0.29223164522746786
FULL,1.0,0.2,888,0.6695893282193915,0.08462798858262331,0.10271244326739733,0.28923038154470343
FULL,1.0,0.4,42,0.6579709073940709,0.13795064385349592,0.17920503829470794,0.5274292796708276
FULL,1.0,0.4,123,0.28476636030606567,0.13640965924141313,0.17619968236170042,0.5161950683497913
FULL,1.0,0.4,777,0.5807276731367987,0.13764327834540227,0.17871719635140693,0.5259117059833442
FULL,1.0,0.4,17,0.6070585458951402,0.13660629773784122,0.17754603945124622,0.5216417110514754
FULL,1.0,0.4,256,0.5374683096315204,0.13740343880123873,0.1782870174326503,0.5242939133381399
FULL,1.0,0.4,1337,0.43346656848635473,0.13704798868016443,0.1776335037888561,0.5218682452666683
FULL,1.0,0.4,99,0.618529891804196,0.13740165854531308,0.17832889774630367,0.524179787013169
FULL,1.0,0.4,314,0.5101385437078576,0.13770799517453378,0.1788322875111042,0.5262610871742288
FULL,1.0,0.4,2024,0.6252135746392237,0.13729770328154342,0.17830964426024817,0.5243704390203063
FULL,1.0,0.4,888,0.6327660380706711,0.13696055116661368,0.17795009836219797,0.5229767599571253
FULL,1.0,0.8,42,0.44593960024047086,0.3011007067532245,0.4121042779955291,1.0250436895468031
FULL,1.0,0.8,123,0.11489579940984643,0.29969681216293304,0.40963462725669714,1.0186421788299045
FULL,1.0,0.8,777,0.33765494019902464,0.3009424864130225,0.4117115658428336,1.0238635890224599
FULL,1.0,0.8,17,0.39403903203631707,0.2997374671219604,0.41008276787936077,1.0200840986123405
FULL,1.0,0.8,256,0.34572689169129894,0.3005370208873172,0.41107918170167734,1.0225330349669743
FULL,1.0,0.8,1337,0.2796937292634846,0.2999420958570108,0.40986441547401514,1.019578173837925
