condition,topology,sigma_omega,gain_u,bras,seed,R_mean,u_mean,u_filter_mean
nominal,BA_m3,0.15,5.0,FULL,42,0.5602650066085112,0.17855159237760107,0.7442157911060896
nominal,BA_m3,0.15,5.0,FULL,123,0.2853845440044369,0.13556759721010483,0.8213300795986784
nominal,BA_m3,0.15,5.0,FULL,777,0.4978052821809793,0.16586372937747387,0.7705238140452761
nominal,BA_m3,0.15,5.0,FULL,17,0.5940793383101228,0.13878628077404487,0.8106150771214339
nominal,BA_m3,0.15,5.0,FULL,256,0.48476663294445366,0.16195666918906576,0.7784158972491967
nominal,BA_m3,0.15,5.0,FULL,1337,0.3954704447407173,0.15417838030058728,0.7930646825783958
nominal,BA_m3,0.15,5.0,FULL,99,0.5417405674525252,0.16037396423793507,0.7811359450809066
nominal,BA_m3,0.15,5.0,FULL,314,0.42991830725343605,0.16839405569101734,0.7672943083416781
nominal,BA_m3,0.15,5.0,FULL,2024,0.540646153107637,0.15718150776912793,0.7863200777001016
nominal,BA_m3,0.15,5.0,FULL,888,0.5796938666540523,0.1483452593736772,0.7967923273986164
nominal,BA_m3,0.15,5.0,FIXE_INIT,42,0.710464010627781,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,123,0.410563929752614,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,777,0.6497340053429448,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,17,0.6544778932833645,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,256,0.5956343455966304,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,1337,0.512376071407666,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,99,0.6807826976642475,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,314,0.5988985716193046,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,2024,0.7025598661953839,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_INIT,888,0.6868312676787367,0.05,0.8982807898807135
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,42,0.641701797131688,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,123,0.14861347580326373,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,777,0.5473629962639593,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,17,0.6110963724886838,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,256,0.5096737331643729,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,1337,0.4134540234469139,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,99,0.5749256946286422,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,314,0.44598466782574053,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,2024,0.5818660109470525,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_NIVEAU_U,888,0.5879480668040958,0.15691990363006353,0.8023884997269319
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,42,0.6297471206830682,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,123,0.16265787924398833,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,777,0.5234599690127406,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,17,0.6003105404474884,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,256,0.4936629054598939,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,1337,0.3970251717992703,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,99,0.5504797462908455,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,314,0.417959742417728,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,2024,0.5536060492466011,0.05,0.7849708000220373
nominal,BA_m3,0.15,5.0,FIXE_COUPLAGE,888,0.5643806997416232,0.05,0.7849708000220373
nominal,LATTICE_10x10,0.15,5.0,FULL,42,0.40867060057821425,0.16356684462988602,0.7721281259984548
nominal,LATTICE_10x10,0.15,5.0,FULL,123,0.18229979329492887,0.15090104375791655,0.8015346510050826
nominal,LATTICE_10x10,0.15,5.0,FULL,777,0.3008633980265185,0.14353778146349902,0.8062242240066114
nominal,LATTICE_10x10,0.15,5.0,FULL,17,0.4013842068733316,0.15634887006377723,0.7837041395671102
nominal,LATTICE_10x10,0.15,5.0,FULL,256,0.29890831088087355,0.16342897810170856,0.7737815083613705
nominal,LATTICE_10x10,0.15,5.0,FULL,1337,0.3095156383165406,0.15456496344651044,0.7887201749265296
nominal,LATTICE_10x10,0.15,5.0,FULL,99,0.264860931617976,0.15686758554256391,0.7859517557395338
nominal,LATTICE_10x10,0.15,5.0,FULL,314,0.2699561678519328,0.15864605093482095,0.7856994072125992
nominal,LATTICE_10x10,0.15,5.0,FULL,2024,0.22360302837244156,0.15804984400198857,0.7870506595761753
nominal,LATTICE_10x10,0.15,5.0,FULL,888,0.20615203704288945,0.15018025548589548,0.7987121893834574
nominal,LATTICE_10x10,0.15,5.0,FIXE_INIT,42,0.4625754748424832,0.05,0.8982807898807135
nominal,LATTICE_10x10,0.15,5.0,FIXE_INIT,123,0.18138317726298558,0.05,0.8982807898807135
nominal,LATTICE_10x10,0.15,5.0,FIXE_INIT,777,0.36467221859795346,0.05,0.8982807898807135
nominal,LATTICE_10x10,0.15,5.0,FIXE_INIT,17,0.46260405224104206,0.05,0.8982807898807135
