bras,t_pulse,seed,dstar,flip_time,flip_ok,u_mean,u_filter_mean,reglage_filtre,reglage_u
B1_FULL,500,0,-1,1358,1,0.621584266275963,-0.16355493713101588,,
B1_FULL,500,1,-1,1263,1,0.6628064394026096,-0.24939875178551704,,
B1_FULL,500,2,1,1281,1,0.6366998950790349,-0.19556708294932978,,
B1_FULL,500,3,-1,1217,1,0.6381016745241911,-0.19780652659218131,,
B1_FULL,500,4,1,1421,1,0.6586352328174214,-0.23993322406477596,,
B1_FULL,500,5,-1,1188,1,0.6725836512563121,-0.2711383183520647,,
B1_FULL,500,6,-1,1254,1,0.6485443385767468,-0.2202636967045154,,
B1_FULL,500,7,-1,1342,1,0.6427669053200175,-0.20719977906707282,,
B1_FULL,500,8,-1,1218,1,0.6507212983524999,-0.22323430810835834,,
B1_FULL,500,9,-1,1359,1,0.6549374498766807,-0.23304280283040654,,
B1_FULL,500,10,1,1303,1,0.6678095059460644,-0.2588891566411977,,
B1_FULL,500,11,-1,1324,1,0.6664690428281768,-0.25467175117851387,,
B1_FULL,1500,0,-1,5538,1,0.6238784894146808,-0.16915204813489434,,
B1_FULL,1500,1,-1,5665,1,0.6649876072979504,-0.25457331985049236,,
B1_FULL,1500,2,1,2917,1,0.6447747699234528,-0.21271626740824748,,
B1_FULL,1500,3,-1,3935,1,0.6422240396107579,-0.20611201761996767,,
B1_FULL,1500,4,1,6447,1,0.6585210882491316,-0.23966436604289365,,
B1_FULL,1500,5,-1,5614,1,0.6771278836301469,-0.2796130253339933,,
B1_FULL,1500,6,-1,5648,1,0.650734356453225,-0.22463619541035232,,
B1_FULL,1500,7,-1,2813,1,0.6478545166868972,-0.2192445486342237,,
B1_FULL,1500,8,-1,5742,1,0.650101426022202,-0.22217346981566263,,
B1_FULL,1500,9,-1,5032,1,0.6561962874196923,-0.23562694193782338,,
B1_FULL,1500,10,1,4885,1,0.6705544130530567,-0.26458857382673123,,
B1_FULL,1500,11,-1,6995,1,0.6616526340719586,-0.24486899494977407,,
B1_FULL,3000,0,-1,6092,1,0.6228309686556469,-0.16546624903195742,,
B1_FULL,3000,1,-1,6808,1,0.6594013656717856,-0.24222490829424476,,
