readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L0_JUMELLE,STNO_FULL,1500,0,-1,5538,1
L1_BRUIT_INDEP,STNO_FULL,1500,0,-1,5303,1
L4_ETAT_INDEP,STNO_FULL,1500,0,-1,3586,1
L5_OMEGA_INDEP,STNO_FULL,1500,0,-1,3291,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,0,-1,2877,1
L0_JUMELLE,STNO_FULL,1500,1,-1,5665,1
L1_BRUIT_INDEP,STNO_FULL,1500,1,-1,5366,1
L4_ETAT_INDEP,STNO_FULL,1500,1,-1,5676,1
L5_OMEGA_INDEP,STNO_FULL,1500,1,-1,4779,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,1,-1,4615,1
L0_JUMELLE,STNO_FULL,1500,2,1,2917,1
L1_BRUIT_INDEP,STNO_FULL,1500,2,1,5777,1
L4_ETAT_INDEP,STNO_FULL,1500,2,1,2650,1
L5_OMEGA_INDEP,STNO_FULL,1500,2,1,5917,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,2,1,6081,1
L0_JUMELLE,STNO_FULL,1500,3,-1,3935,1
L1_BRUIT_INDEP,STNO_FULL,1500,3,-1,5021,1
L4_ETAT_INDEP,STNO_FULL,1500,3,-1,5662,1
L5_OMEGA_INDEP,STNO_FULL,1500,3,-1,3360,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,3,-1,3098,1
L0_JUMELLE,STNO_FULL,1500,4,1,6447,1
L1_BRUIT_INDEP,STNO_FULL,1500,4,1,6266,1
L4_ETAT_INDEP,STNO_FULL,1500,4,1,5854,1
L5_OMEGA_INDEP,STNO_FULL,1500,4,1,5381,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,4,1,5369,1
L0_JUMELLE,STNO_FULL,1500,5,-1,5614,1
L1_BRUIT_INDEP,STNO_FULL,1500,5,-1,5778,1
L4_ETAT_INDEP,STNO_FULL,1500,5,-1,5740,1
L5_OMEGA_INDEP,STNO_FULL,1500,5,-1,6141,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,5,-1,6103,1
L0_JUMELLE,STNO_FULL,1500,6,-1,5648,1
L1_BRUIT_INDEP,STNO_FULL,1500,6,-1,5878,1
L4_ETAT_INDEP,STNO_FULL,1500,6,-1,3910,1
L5_OMEGA_INDEP,STNO_FULL,1500,6,-1,5889,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,6,-1,5807,1
L0_JUMELLE,STNO_FULL,1500,7,-1,2813,1
L1_BRUIT_INDEP,STNO_FULL,1500,7,-1,5454,1
L4_ETAT_INDEP,STNO_FULL,1500,7,-1,5998,1
L5_OMEGA_INDEP,STNO_FULL,1500,7,-1,5030,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,7,-1,2568,1
L0_JUMELLE,STNO_FULL,1500,8,-1,5742,1
L1_BRUIT_INDEP,STNO_FULL,1500,8,-1,6185,1
L4_ETAT_INDEP,STNO_FULL,1500,8,-1,5549,1
L5_OMEGA_INDEP,STNO_FULL,1500,8,-1,5632,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,8,-1,2373,1
L0_JUMELLE,STNO_FULL,1500,9,-1,5032,1
L1_BRUIT_INDEP,STNO_FULL,1500,9,-1,4935,1
L4_ETAT_INDEP,STNO_FULL,1500,9,-1,5072,1
L5_OMEGA_INDEP,STNO_FULL,1500,9,-1,4124,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,9,-1,4043,1
L0_JUMELLE,STNO_FULL,1500,10,1,4885,1
L1_BRUIT_INDEP,STNO_FULL,1500,10,1,5061,1
L4_ETAT_INDEP,STNO_FULL,1500,10,1,3620,1
L5_OMEGA_INDEP,STNO_FULL,1500,10,1,4632,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,10,1,2457,1
L0_JUMELLE,STNO_FULL,1500,11,-1,6995,1
L1_BRUIT_INDEP,STNO_FULL,1500,11,-1,7178,1
L4_ETAT_INDEP,STNO_FULL,1500,11,-1,7183,1
L5_OMEGA_INDEP,STNO_FULL,1500,11,-1,6696,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,1500,11,-1,6542,1
L0_JUMELLE,STNO_FULL,3000,0,-1,6092,1
L1_BRUIT_INDEP,STNO_FULL,3000,0,-1,5970,1
L4_ETAT_INDEP,STNO_FULL,3000,0,-1,5543,1
L5_OMEGA_INDEP,STNO_FULL,3000,0,-1,5654,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,0,-1,4108,1
L0_JUMELLE,STNO_FULL,3000,1,-1,6808,1
L1_BRUIT_INDEP,STNO_FULL,3000,1,-1,6409,1
L4_ETAT_INDEP,STNO_FULL,3000,1,-1,6231,1
L5_OMEGA_INDEP,STNO_FULL,3000,1,-1,6541,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,1,-1,6466,1
L0_JUMELLE,STNO_FULL,3000,2,1,6438,1
L1_BRUIT_INDEP,STNO_FULL,3000,2,1,7400,1
L4_ETAT_INDEP,STNO_FULL,3000,2,1,6423,1
L5_OMEGA_INDEP,STNO_FULL,3000,2,1,6953,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,2,1,7301,1
L0_JUMELLE,STNO_FULL,3000,3,-1,5578,1
L1_BRUIT_INDEP,STNO_FULL,3000,3,-1,5720,1
L4_ETAT_INDEP,STNO_FULL,3000,3,-1,6480,1
L5_OMEGA_INDEP,STNO_FULL,3000,3,-1,4562,1
