accfin_frozen,accfin_full,flip_frozen,flip_full,frac_appariee,frac_brute,n_censures,n_graines_appariees,readout,retard_apparie,retard_brut,t_pulse,utilisable
1.0,1.0,2611.4166666666665,5102.583333333333,,,0,,L0_JUMELLE,,2491.1666666666665,1500,
1.0,1.0,4239.583333333333,6838.583333333333,,,0,,L0_JUMELLE,,2599.0,3000,
1.0,0.8333333333333334,5724.75,7863.666666666667,,,2,,L0_JUMELLE,,2138.916666666667,4500,
1.0,1.0,2726.8333333333335,5683.5,,,0,,L1_BRUIT_INDEP,,2956.6666666666665,1500,
1.0,1.0,4254.333333333333,6740.083333333333,,,0,,L1_BRUIT_INDEP,,2485.75,3000,
1.0,0.8333333333333334,5717.25,7711.416666666667,,,2,,L1_BRUIT_INDEP,,1994.166666666667,4500,
1.0,1.0,2859.5833333333335,5041.666666666667,,,0,,L4_ETAT_INDEP,,2182.0833333333335,1500,
1.0,0.9166666666666666,4423.333333333333,6880.166666666667,,,1,,L4_ETAT_INDEP,,2456.833333333334,3000,
1.0,0.8333333333333334,5786.5,7893.5,,,2,,L4_ETAT_INDEP,,2107.0,4500,
1.0,1.0,3346.6666666666665,5072.666666666667,,,0,,L5_OMEGA_INDEP,,1726.0000000000005,1500,
1.0,1.0,4591.916666666667,6340.916666666667,,,0,,L5_OMEGA_INDEP,,1749.0,3000,
1.0,0.9166666666666666,6019.833333333333,7223.25,,,1,,L5_OMEGA_INDEP,,1203.416666666667,4500,
1.0,1.0,2997.75,4327.75,,,0,,L5c_OMEGA_INDEP_CALIBRE,,1330.0,1500,
1.0,1.0,4293.416666666667,6052.916666666667,,,0,,L5c_OMEGA_INDEP_CALIBRE,,1759.5,3000,
1.0,1.0,5688.5,6972.583333333333,,,0,,L5c_OMEGA_INDEP_CALIBRE,,1284.083333333333,4500,
,,,,1.0,1.0,,10,L0_JUMELLE,2272.3,2409.6944444444443,MOYEN,1
,,,,0.9923865686749108,1.0287035009049095,,10,L1_BRUIT_INDEP,2255.0,2478.861111111111,MOYEN,1
,,,,0.8033302853529056,0.9331634946800541,,9,L4_ETAT_INDEP,1825.4074074074076,2248.638888888889,MOYEN,1
,,,,0.612481072367531,0.6471659615672805,,9,L5_OMEGA_INDEP,1391.7407407407409,1559.4722222222226,MOYEN,1
,,,,0.6247414513928619,0.6049983285109914,,10,L5c_OMEGA_INDEP_CALIBRE,1419.6000000000001,1457.861111111111,MOYEN,1
