condition,seed,valid_frac,coverage,sharpness,consec_dist
BICAMERAL,0,1.0000,3,0.9992,0.2270
HASARD,0,0.3333,1,1.0000,0.3689
ATTRACTIF,0,0.4167,2,0.9975,0.3999
BICAMERAL,1,0.7500,3,0.9992,0.2542
HASARD,1,0.6667,1,1.0000,0.3695
ATTRACTIF,1,0.5833,4,1.0000,0.4746
BICAMERAL,2,1.0000,4,0.9975,0.2354
HASARD,2,0.4167,1,1.0000,0.3584
ATTRACTIF,2,0.4167,3,0.9975,0.3968
BICAMERAL,3,1.0000,1,1.0000,0.1676
HASARD,3,0.1667,1,1.0000,0.3371
ATTRACTIF,3,0.5000,4,0.9975,0.3867
BICAMERAL,4,1.0000,3,0.9983,0.1840
HASARD,4,0.1667,1,1.0000,0.3048
ATTRACTIF,4,0.5000,2,1.0000,0.3935
