condition,seed,n_distinct,stability,coherence,diversity
BICAMERAL,0,2,0.9971,0.2378,0.2157
HASARD,0,2,0.9969,0.1528,0.3561
REPULSIF,0,3,0.9988,-0.0298,0.2830
ATTRACTIF,0,5,0.9964,0.1237,0.3404
BICAMERAL,1,6,0.9978,0.1939,0.3132
HASARD,1,2,0.9968,0.1894,0.3342
REPULSIF,1,3,0.9989,0.0518,0.2777
ATTRACTIF,1,4,0.9968,0.0548,0.3610
BICAMERAL,2,5,0.9980,0.2259,0.2881
HASARD,2,2,0.9980,0.0842,0.3550
REPULSIF,2,2,0.9988,0.0352,0.2398
ATTRACTIF,2,5,0.9972,0.1178,0.3362
BICAMERAL,3,3,0.9980,0.2136,0.2121
HASARD,3,2,0.9975,0.1014,0.3445
REPULSIF,3,1,0.9989,0.0125,0.2550
ATTRACTIF,3,3,0.9968,0.0723,0.3011
BICAMERAL,4,2,0.9980,0.2517,0.1814
HASARD,4,3,0.9977,0.0424,0.3326
REPULSIF,4,1,0.9973,0.0750,0.2848
ATTRACTIF,4,3,0.9977,0.0953,0.3367
