condition,seed,h_cog,h_cont,sync,f_dom
FULL,42,0.1867969902845698,3.6670819546509663,-0.003184775789473569,0.004
FULL,123,0.25145921280735034,3.72927153209516,-0.0004253458216611847,0.048
FULL,777,0.1821677934459104,3.644233045603842,0.018340895345397856,0.008
FULL,456,0.1699708731173143,3.6361334220412664,0.007228310645651488,0.048
FULL,999,0.10899939343791645,3.5523336000934833,0.013987949190645733,0.004
FULL,MEAN,0.17987885261861225,3.6458107108969435,0.007189406714112065,0.022400000000000003
FROZEN_U,42,1.0583616518726304,4.264711387153915,0.7242105941823236,0.028
FROZEN_U,123,1.2824413646479365,4.598626903797855,0.5837460200641851,0.028
FROZEN_U,777,1.0179493775814943,4.158827321213629,0.7556538086086109,0.028
FROZEN_U,456,1.2058059691955727,4.4720957769869125,0.6434302091112968,0.028
FROZEN_U,999,1.3025337183716639,4.627035606803107,0.5494696679784409,0.028
FROZEN_U,MEAN,1.1734184163338595,4.424259399191084,0.6513020599889714,0.028000000000000004
