N,c,seed,lambda2,H_stable,U4,LZ,sync,H_cont
100,0.0,2,1.3666579470752394,3.630902853973978,0.665613879713262,0.8388661821209062,0.021149516145457837,3.496749295124977
100,0.0,0,1.1655988290222565,3.7708916206321637,0.6648166873424997,0.839757802509343,0.0016562076212552625,3.6126117696773217
100,0.0,5,1.3315903433098182,3.6027141601093944,0.6659413823976075,0.8274237204693012,0.02374909087270579,3.4536658787066816
100,0.0,4,1.378504863463044,3.4676871714329187,0.6647959816533793,0.8231142219251906,0.020295022297303716,3.4225084616584316
100,0.0,3,1.4458304177302967,3.69794812239788,0.6663275255088603,0.8246002559059178,-0.020022266347460044,3.7331935348765684
100,0.0,8,1.3737664463035963,3.586814984642221,0.6651889700900653,0.8217767913425352,-0.005389284628276345,3.585398757041073
100,0.0,1,1.3049799406482483,3.656421324417626,0.6659940284174933,0.827720927265447,0.02032454386074417,3.590626297875803
100,0.0,7,1.4245396594467314,3.594590615725782,0.6650390340301624,0.848228196199492,-0.011485715687742674,3.5185639823545585
100,0.0,12,1.3139809367072235,3.692555198675321,0.665272354341917,0.8198449471675893,0.012901547700861738,3.5208979295814444
100,0.0,11,1.470151845109033,3.661010588041101,0.6654863995831659,0.8176158961964971,0.0008138969272468089,3.7670840724507064
100,0.0,6,1.30046935918379,3.746141049926862,0.6650927143476211,0.8355969073633048,-0.0067095876976245115,4.021245822758974
100,0.0,13,1.5622603684992944,3.5416257535784093,0.6639488589233049,0.8283153408577381,-0.0021557088898246164,3.671107076100993
100,0.0,10,1.4053442021648217,3.664931920144302,0.6650572600477996,0.8540237287243312,0.035346833952656476,3.7005105588124367
100,0.0,9,1.3787817897340011,3.657258651620366,0.6655638261297081,0.835448303965232,0.014916445800704408,3.423931725051143
100,0.0,15,1.3778980844729327,3.6086600913752584,0.6653015975672265,0.8134550010504585,-0.0027285116189144165,3.587698927616562
100,0.0,14,1.4081076521637108,3.6095404525373875,0.6658263664717086,0.8192505335752981,-0.004801304154324677,3.698006265315705
100,0.0,20,1.3239651599548758,3.5784636178521803,0.6658087769366429,0.808253882117911,-0.0043975546025459365,3.680001923926167
100,0.0,21,1.3155292117849804,3.5888069955681248,0.6655873389075986,0.8293555646442478,-0.02569356406126657,3.7269589585493095
