seed,lambda2,max_deg,avg_cl,diameter,sync,lz_tail
0,1.1655988290222639,25,0.1508083238787506,5,0.40614297122849896,1.384458767607551
1,1.3049799406482494,37,0.1295051340198399,4,0.41609922038312047,1.2839671594008837
2,1.3666579470752451,40,0.1732028960360768,5,0.22543190617252037,1.2416111923055113
3,1.445830417730304,33,0.18080852418572438,4,0.03380085338042085,1.2673569762262278
4,1.3785048634630415,30,0.14017295357217424,5,0.3226549508364281,1.2740010494960903
5,1.331590343309824,26,0.18418590690355394,5,0.051993492400628206,1.3163570165914624
6,1.3004693591837921,28,0.20323016806483626,5,0.03369165157273764,1.3230010898613247
7,1.4245396594467277,33,0.15880683191077927,5,0.26739708041026095,1.4517300094649064
8,1.3737664463035992,26,0.16222066041973165,5,0.20613191978419898,1.306390906686669
9,1.3787817897339996,22,0.13817349901560427,5,0.023247721069166703,1.3329671997661185
