t_pulse,seed,dstar,flip_time,c_doubt,c_conv,acc_doubt,acc_conv,acc_final
150,0,-1,1829,196,158,0,0,1
150,1,-1,2524,193,154,0,0,1
150,2,1,3001,233,217,1,1,0
150,3,-1,2177,195,154,0,0,1
150,4,1,3001,191,218,1,1,0
150,5,-1,2037,190,165,0,0,1
150,6,-1,1878,197,158,0,0,1
150,7,-1,1985,195,160,0,0,1
150,8,-1,3001,203,155,0,0,0
150,9,-1,2999,211,157,1,0,1
150,10,1,3001,505,207,0,1,0
150,11,-1,1677,199,157,0,0,1
350,0,-1,1581,364,198,1,0,1
350,1,-1,2253,383,185,1,0,1
350,2,1,3001,242,209,0,1,0
350,3,-1,2151,387,209,1,0,1
350,4,1,3001,195,213,1,1,0
350,5,-1,1859,394,209,1,0,1
350,6,-1,1764,384,206,1,0,1
350,7,-1,1865,386,214,1,0,1
350,8,-1,2197,388,185,1,0,1
350,9,-1,1965,383,200,1,0,1
350,10,1,3001,234,198,0,1,0
350,11,-1,1485,373,231,1,0,1
700,0,-1,1716,383,198,1,0,1
700,1,-1,2232,476,185,1,0,1
700,2,1,3001,242,209,0,1,0
700,3,-1,2189,510,209,1,0,1
700,4,1,3001,195,213,1,1,0
700,5,-1,1803,486,209,1,0,1
700,6,-1,1783,494,206,1,0,1
700,7,-1,1810,486,214,1,0,1
700,8,-1,2257,526,185,1,0,1
700,9,-1,1915,454,200,1,0,1
700,10,1,3001,234,198,0,1,0
700,11,-1,1525,428,231,1,0,1
1200,0,-1,1867,383,198,1,0,1
1200,1,-1,2313,476,185,1,0,1
1200,2,1,3001,242,209,0,1,0
1200,3,-1,2226,510,209,1,0,1
1200,4,1,3001,195,213,1,1,0
1200,5,-1,1760,486,209,1,0,1
1200,6,-1,2018,494,206,1,0,1
1200,7,-1,1911,486,214,1,0,1
1200,8,-1,2249,526,185,1,0,1
1200,9,-1,2118,454,200,1,0,1
1200,10,1,3001,234,198,0,1,0
1200,11,-1,1205,428,231,1,0,1
