budget,signal,bin,n,acc,ci_lo,ci_hi
400,conf_u,1,24,1.0000,0.8620,1.0000
400,conf_u,2,25,1.0000,0.8668,1.0000
400,conf_u,3,23,0.9130,0.7320,0.9758
400,conf_u,4,24,0.5417,0.3507,0.7211
400,conf_u,5,24,1.0000,0.8620,1.0000
400,conf_sig,1,24,0.8333,0.6415,0.9332
400,conf_sig,2,25,0.7600,0.5657,0.8850
400,conf_sig,3,23,0.8696,0.6787,0.9546
400,conf_sig,4,24,1.0000,0.8620,1.0000
400,conf_sig,5,24,1.0000,0.8620,1.0000
800,conf_u,1,24,0.7500,0.5510,0.8800
800,conf_u,2,24,0.9583,0.7976,0.9926
800,conf_u,3,24,0.9583,0.7976,0.9926
800,conf_u,4,24,0.4167,0.2447,0.6117
800,conf_u,5,24,0.5417,0.3507,0.7211
800,conf_sig,1,24,0.7500,0.5510,0.8800
800,conf_sig,2,24,0.4167,0.2447,0.6117
800,conf_sig,3,24,0.6250,0.4271,0.7884
800,conf_sig,4,24,0.8333,0.6415,0.9332
800,conf_sig,5,24,1.0000,0.8620,1.0000
1600,conf_u,1,24,0.5000,0.3143,0.6857
1600,conf_u,2,24,0.4167,0.2447,0.6117
1600,conf_u,3,24,0.0417,0.0074,0.2024
1600,conf_u,4,24,0.5417,0.3507,0.7211
1600,conf_u,5,24,0.2917,0.1491,0.4917
1600,conf_sig,1,24,0.5000,0.3143,0.6857
1600,conf_sig,2,24,0.4583,0.2789,0.6493
1600,conf_sig,3,24,0.2500,0.1200,0.4490
1600,conf_sig,4,24,0.2917,0.1491,0.4917
1600,conf_sig,5,24,0.2917,0.1491,0.4917
