budget_lvl,mode,family,label,oracle,c_doubt,c_conv,alloc,correct
0.5,DOUTE,EVIDENCE,EVID(n=2,E=0.29),1523,155,125,155,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.32),1465,163,81,163,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,266,81,266,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.49),2000,165,81,165,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),987,161,81,161,1
0.5,DOUTE,EVIDENCE,EVID(n=1,E=0.28),2000,155,82,155,0
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,268,132,268,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1,2000,81,2000,1
0.5,DOUTE,CONTRADICTION,CONTRA(+3/-2),2000,184,134,184,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),873,155,90,155,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),2000,271,97,271,1
0.5,DOUTE,CONTRADICTION,CONTRA(+3/-2),1635,154,81,154,1
0.5,UNIFORME,EVIDENCE,EVID(n=2,E=0.29),1523,155,125,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.32),1465,163,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,266,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.49),2000,165,81,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),987,161,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=1,E=0.28),2000,155,82,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,268,132,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1,2000,81,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+3/-2),2000,184,134,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),873,155,90,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),2000,271,97,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+3/-2),1635,154,81,781.9027777777778,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.29),1523,155,125,125,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.32),1465,163,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,266,81,81,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.49),2000,165,81,81,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),987,161,81,81,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.28),2000,155,82,82,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,268,132,132,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),1,2000,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+3/-2),2000,184,134,134,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),873,155,90,90,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),2000,271,97,97,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+3/-2),1635,154,81,81,1
0.5,DOUTE,EVIDENCE,EVID(n=1,E=0.42),1669,161,81,161,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,172,114,172,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1,171,88,171,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.42),2000,160,81,160,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),873,1466,140,1466,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,180,114,180,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1,179,81,179,1
0.5,DOUTE,EVIDENCE,EVID(n=2,E=0.44),1986,169,94,169,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1,186,121,186,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,178,141,178,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,280,156,280,1
0.5,DOUTE,EVIDENCE,EVID(n=1,E=0.31),1987,172,81,172,1
0.5,UNIFORME,EVIDENCE,EVID(n=1,E=0.42),1669,161,81,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,172,114,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1,171,88,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.42),2000,160,81,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),873,1466,140,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,180,114,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1,179,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=2,E=0.44),1986,169,94,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1,186,121,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,178,141,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,280,156,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=1,E=0.31),1987,172,81,781.9027777777778,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.42),1669,161,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,172,114,114,1
