topology,ba_m,seed,target,target_deg,i_event,t_event,sync_pre,sync_event,sync_post,sync_surge,h_pre,h_post,delta_H,lz_pre,lz_post,delta_LZ
BA_m3_fonctionnel,3,0,peripheral,3,0.3,50,0.9592180309798027,0.9810455026239243,0.9652531509264107,0.021827471644121577,4.21428094378154,3.187921367778859,-1.0263595760026805,1.178620088066037,1.2404079506309416,0.06178786256490465
BA_m3_fonctionnel,3,0,peripheral,3,0.3,150,0.919894403071785,0.9519859861727734,0.9667618539160648,0.03209158310098836,3.9408515485327356,3.1017714272741803,-0.8390801212585552,1.1301199378806819,1.2138325258718425,0.08371258799116066
BA_m3_fonctionnel,3,0,peripheral,3,0.3,300,0.9613010336938036,0.8840253279031646,0.9680844971206629,-0.07727570579063903,3.946387688610211,3.363476211585627,-0.582911477024584,1.1666611469244423,1.1998804278733157,0.033219280948873386
BA_m3_fonctionnel,3,0,peripheral,3,0.8,50,0.9778901414301789,0.986788633535792,0.9650639534278165,0.00889849210561311,4.088710771809037,3.2882813350185223,-0.8004294367905147,1.1759625455901273,1.1892502579696762,0.013287712379548955
BA_m3_fonctionnel,3,0,peripheral,3,0.8,150,0.9682778746549174,0.9140293666188878,0.9711559522714939,-0.05424850803602965,4.215952797316688,3.193066398480401,-1.0228863988362868,1.1334418659755694,1.1945653429214962,0.06112347694592679
BA_m3_fonctionnel,3,0,peripheral,3,0.8,300,0.9111027361726414,0.8981221244626773,0.9699936859481775,-0.012980611709964118,4.016582954326753,3.238030166134094,-0.7785527881926595,1.1287911666427268,1.188585872350699,0.059794705707972184
BA_m3_fonctionnel,3,0,peripheral,3,1.5,50,0.8622970155819952,0.9747295967419367,0.9680418627973649,0.11243258115994148,4.556332983013973,3.143940262117676,-1.4123927208962965,1.074311545886574,1.1633392188295548,0.08902767294298086
BA_m3_fonctionnel,3,0,peripheral,3,1.5,150,0.9663175720169166,0.954866542456568,0.9738824576594806,-0.011451029560348602,4.1720941433366345,3.2555162072061776,-0.9165779361304569,1.1540378201638704,1.2204763820616176,0.06643856189774722
BA_m3_fonctionnel,3,0,peripheral,3,1.5,300,0.9672824912237545,0.8808099129008328,0.9680737724485932,-0.08647257832292177,3.9339483269334434,3.33261407458577,-0.6013342523476735,1.185263944255812,1.2271202382513913,0.04185629399557933
BA_m3_fonctionnel,3,0,peripheral,3,3.0,50,0.9691127280843819,0.9811872690867486,0.962543986514536,0.012074541002366712,4.046247942788196,3.2235752070917787,-0.8226727356964174,1.1626748332105779,1.2450586499637841,0.08238381675320627
BA_m3_fonctionnel,3,0,peripheral,3,3.0,150,0.9654886126611454,0.9114635374988395,0.9682358818991258,-0.054025075162305924,3.9750914596495157,3.2008082213645483,-0.7742832382849674,1.1287911666427264,1.2178188395857072,0.08902767294298086
BA_m3_fonctionnel,3,0,peripheral,3,3.0,300,0.978940802650059,0.9165248835933992,0.9662175761095145,-0.062415919056659774,4.207988706035286,3.3538056352277894,-0.8541830708074962,1.1540378201638701,1.1752981599711492,0.02126033980727904
BA_m3_fonctionnel,3,0,hub,25,0.3,50,0.9676820947848768,0.9845275280072141,0.961839421064409,0.016845433222337336,4.08889340547534,3.3331325138551042,-0.7557608916202359,1.1739693887331943,1.1892502579696762,0.015280869236481864
BA_m3_fonctionnel,3,0,hub,25,0.3,150,0.9653229098694974,0.9670279666154197,0.9700358667140337,0.001705056745922251,4.041449337499714,3.2961710276814102,-0.7452783098183033,1.1181609967390869,1.2424011074878734,0.12424011074878649
BA_m3_fonctionnel,3,0,hub,25,0.3,300,0.9779338854355187,0.8636199896797636,0.9685643126553204,-0.11431389575575512,4.142293373168738,3.3441650509965126,-0.7981283221722255,1.1679899181623974,1.20386674158718,0.0358768234247826
BA_m3_fonctionnel,3,0,hub,25,0.8,50,0.9640671827454682,0.9839110222607678,0.9689574200163613,0.019843839515299555,3.768284089750689,3.2840994389649656,-0.4841846507857235,1.09889381378874,1.188585872350699,0.08969205856195894
BA_m3_fonctionnel,3,0,hub,25,0.8,150,0.9734138092649036,0.9413957127185568,0.9606185244417578,-0.0320180965463468,3.8733965266702923,3.121598505426746,-0.7517980212435464,1.1719762318762619,1.2417367218688957,0.06976048999263385
BA_m3_fonctionnel,3,0,hub,25,0.8,300,0.9668905895707466,0.869722490652017,0.9692392870628125,-0.09716809891872957,4.250125708058546,3.2376350369564726,-1.0124906711020731,1.099558199407718,1.2264558526324145,0.1268976532246966
BA_m3_fonctionnel,3,0,hub,25,1.5,50,0.9425963305777885,0.9589451346701966,0.9598926175237228,0.01634880409240813,3.8509504192086323,3.2266406681484026,-0.6243097510602298,1.1460651927361405,1.2111749833959329,0.06510979065979239
BA_m3_fonctionnel,3,0,hub,25,1.5,150,0.9599716981450442,0.7969068777033724,0.9630887197022802,-0.1630648204416718,4.010317534819393,3.2031698078022517,-0.8071477270171412,1.1879214867317212,1.2085174409200234,0.02059595418830229
BA_m3_fonctionnel,3,0,hub,25,1.5,300,0.9604234638280499,0.8257953632198423,0.971827255331019,-0.13462810060820762,4.060493750881475,3.1180678363791876,-0.9424259145022877,1.1088595980734026,1.258346362343333,0.14948676426993046
BA_m3_fonctionnel,3,0,hub,25,3.0,50,0.971813968891483,0.8588654338389919,0.9705028426980765,-0.11294853505249103,4.320664600084379,3.1711562246614737,-1.1495083754229056,1.163339218829555,1.2211407676805954,0.057801548851040385
BA_m3_fonctionnel,3,0,hub,25,3.0,150,0.9792260600164239,0.8818533816427945,0.9663578934913677,-0.0973726783736294,4.0835861301319865,3.1135027119831684,-0.970083418148818,1.1261336241668165,1.226455852632415,0.10032222846559846
BA_m3_fonctionnel,3,0,hub,25,3.0,300,0.9597510002164752,0.8917207727954533,0.9737564950606576,-0.06803022742102194,4.080391432631603,3.215194554737202,-0.8651968778944013,1.1852639442558115,1.2178188395857077,0.032554895329896194
BA_m3_fonctionnel,3,1,peripheral,3,0.3,50,0.9404361012682658,0.982198325845356,0.9750193850370837,0.04176222457709022,4.533966785545581,3.266977939548927,-1.266988845996654,1.1234760816909068,1.1759625455901266,0.05248646389921974
BA_m3_fonctionnel,3,1,peripheral,3,0.3,150,0.9557880535863822,0.8983419321509274,0.9712622745691035,-0.0574461214354548,4.48950354893841,3.2593986048715973,-1.230104944066813,1.1513802776879607,1.2204763820616167,0.06909610437365599
BA_m3_fonctionnel,3,1,peripheral,3,0.3,300,0.9402187133332556,0.8812654085078115,0.970373448610947,-0.05895330482544403,4.5061866366693275,3.379907568723018,-1.1262790679463097,1.10952398369238,1.2005448134922927,0.09102082979991266
BA_m3_fonctionnel,3,1,peripheral,3,0.8,50,0.9642420942835496,0.9811012392590825,0.9671304058064216,0.01685914497553298,4.353812834543215,3.195972061382472,-1.1578407731607436,1.138092565308411,1.1985516566353613,0.060459091326950265
BA_m3_fonctionnel,3,1,peripheral,3,0.8,150,0.9702196639914562,0.8883861389098289,0.9653587484155884,-0.08183352508162733,4.403248741414245,3.3155229078870607,-1.0877258335271844,1.0895924151230558,1.1978872710163835,0.10829485589332766
BA_m3_fonctionnel,3,1,peripheral,3,0.8,300,0.9526679742825773,0.8915179793003952,0.9737325093980413,-0.0611499949821821,4.502134719917795,3.237795117095163,-1.2643396028226315,1.1533734345448932,1.1772913168280823,0.02391788228318914
