topology,target,i_event,t_event,sync_surge_mean,delta_H_mean,delta_LZ_mean,bifurcation
BA_m3_fonctionnel,peripheral,0.3,50,0.029413828263271925,-1.0874138801837527,0.043849450852512906,YES
BA_m3_fonctionnel,peripheral,0.3,150,-0.037194787763560534,-1.1027627154157802,0.0516892011564468,YES
BA_m3_fonctionnel,peripheral,0.3,300,-0.11499421464110308,-1.021120217107588,0.053948112260970224,YES
BA_m3_fonctionnel,peripheral,0.8,50,0.005163684891469744,-0.9823443540260042,0.05182207828024241,YES
BA_m3_fonctionnel,peripheral,0.8,150,-0.0584981486977376,-1.0815210162934132,0.06152210831731333,YES
BA_m3_fonctionnel,peripheral,0.8,300,-0.10971404720923413,-1.0111808818447041,0.06298375667906417,YES
BA_m3_fonctionnel,peripheral,1.5,50,0.02422456407160738,-1.1772190326175582,0.07454406644927207,YES
BA_m3_fonctionnel,peripheral,1.5,150,-0.03864390866424152,-1.060106622794595,0.05594126911790256,YES
BA_m3_fonctionnel,peripheral,1.5,300,-0.06478349895333865,-1.0395585207485376,0.05195495540403794,YES
BA_m3_fonctionnel,peripheral,3.0,50,-0.011752266364357156,-1.0004505412441818,0.07627146905861312,YES
BA_m3_fonctionnel,peripheral,3.0,150,-0.012383897959825418,-1.0738929698735564,0.07148789260197538,YES
BA_m3_fonctionnel,peripheral,3.0,300,-0.05114417203924293,-1.0659941153604933,0.0705577527354071,YES
BA_m3_fonctionnel,hub,0.3,50,0.01990312616662717,-0.9420589326714459,0.05354948088958391,YES
BA_m3_fonctionnel,hub,0.3,150,-0.021982323435578932,-1.0484781368207396,0.10045510558939319,YES
BA_m3_fonctionnel,hub,0.3,300,-0.12547082618752586,-1.0781149225895572,0.08158655401043302,YES
BA_m3_fonctionnel,hub,0.8,50,0.014828748038772165,-1.0022044524780718,0.06324951092665528,YES
BA_m3_fonctionnel,hub,0.8,150,-0.05986295244999329,-1.1438392954934031,0.09327974090443676,YES
BA_m3_fonctionnel,hub,0.8,300,-0.17358891916366173,-1.225529936705638,0.07162076972577083,YES
BA_m3_fonctionnel,hub,1.5,50,-0.020366434401426426,-1.1705451809845653,0.06723582464051985,YES
BA_m3_fonctionnel,hub,1.5,150,-0.08343118878901867,-1.0670978974860859,0.062452248183882376,YES
BA_m3_fonctionnel,hub,1.5,300,-0.0920183407888669,-1.1329035139175052,0.06750157888811086,YES
BA_m3_fonctionnel,hub,3.0,50,-0.060703051208734274,-1.148732959801952,0.08371258799116106,YES
BA_m3_fonctionnel,hub,3.0,150,-0.04915440027346389,-1.0763203597234932,0.06936185862124829,YES
BA_m3_fonctionnel,hub,3.0,300,-0.07863164794307509,-1.1196627061569064,0.06577417627876932,YES
BA_m5_dead_zone,peripheral,0.3,50,0.0060265234828318585,-0.05352841392556522,-0.014084975122322606,no
BA_m5_dead_zone,peripheral,0.3,150,-0.0062603039311412536,-0.031237137159052342,-0.000664385618977592,no
BA_m5_dead_zone,peripheral,0.3,300,-0.015433532245028326,-0.029499169720184425,-0.0022589111045233424,no
BA_m5_dead_zone,peripheral,0.8,50,0.0030692347164569477,-0.058948925473332546,-0.022854865292825145,no
BA_m5_dead_zone,peripheral,0.8,150,-0.00821349763713346,0.04349050326484551,0.001328771237955051,no
BA_m5_dead_zone,peripheral,0.8,300,-0.02156632398478564,-0.08159923320893361,-0.032554895329896236,no
BA_m5_dead_zone,peripheral,1.5,50,-0.015217225107826592,-0.030465419138700423,-0.012756203884367778,no
BA_m5_dead_zone,peripheral,1.5,150,-0.021786707472110443,-0.13662094463152333,-0.020861708435892544,~
BA_m5_dead_zone,peripheral,1.5,300,-0.021348002412020194,0.01267694674238724,-0.015812377731663795,no
BA_m5_dead_zone,peripheral,3.0,50,-0.023032232670920562,0.014499182458548176,-0.006909610437365687,no
BA_m5_dead_zone,peripheral,3.0,150,-0.015365967922331114,-0.05373905945816064,0.012889081008163128,no
BA_m5_dead_zone,peripheral,3.0,300,-0.014465070972634853,0.028321168174414345,-0.031226124091941053,no
BA_m5_dead_zone,hub,0.3,50,0.00722980962673776,-2.189977612756522e-05,-0.015413746360276991,no
BA_m5_dead_zone,hub,0.3,150,-0.006255616938479669,0.09552054024902912,-0.02949872148259982,no
BA_m5_dead_zone,hub,0.3,300,-0.016666232568548378,-0.03332457556152457,-0.013287712379549487,no
BA_m5_dead_zone,hub,0.8,50,0.00011082593406708252,-0.11201993842176519,-0.006378101942183712,~
BA_m5_dead_zone,hub,0.8,150,-0.022053802903091356,-0.07273117099556732,-0.016078131979255072,no
BA_m5_dead_zone,hub,0.8,300,-0.026439296205321705,-0.026314061888641938,-0.023253496664211726,no
BA_m5_dead_zone,hub,1.5,50,-0.06305214009922948,-0.0034871887719849504,0.006245224818388273,no
BA_m5_dead_zone,hub,1.5,150,-0.06688933612168493,-0.03373315095568037,-0.005049330704228705,no
BA_m5_dead_zone,hub,1.5,300,-0.07625636645790476,-0.0743191688388137,-0.030428861349168113,no
BA_m5_dead_zone,hub,3.0,50,-0.11504357857858849,-0.04253059293025165,-0.016343886226845815,no
BA_m5_dead_zone,hub,3.0,150,-0.06588221353426855,-0.08273335966989075,-0.005049330704228572,no
BA_m5_dead_zone,hub,3.0,300,-0.07245813960920067,-0.10371150610405229,-0.03747134891032915,~
