topo,norm,shuffle,seed,deg_min,deg_max,k_mean,k_harm,rho_main,p_intrarun_main,censored_main,tmort_med_main,rho_ctrl,p_intrarun_ctrl,censored_ctrl,tmort_med_ctrl,rho_diag,p_intrarun_diag,censored_diag,tmort_med_diag,tmort_hubs,tmort_peri,delta_hub_peri,ncomp50,ncomp50_null,big50,big50_null,pct_ncomp50,ncomp75,ncomp75_null,big75,big75_null,pct_ncomp75,group
BA m=3,uniform,0,42,3,55,5.94,4.259318661641715,-0.6230108280016151,6.816850814300386e-23,0,1172.5,-0.6251642574940457,4.3937044298946176e-23,0,1230.5,-0.15991781386673157,0.023698576137617243,0,77.0,858.0,1330.0,-472.0,39,8.0,0.48,0.93,1.0,37,18.0,0.12,0.58,1.0,primary
BA m=3,uniform,0,123,3,43,5.94,4.2066940281657015,-0.5988848684941873,7.472272820814616e-21,0,1094.5,-0.6277795450659248,2.5654357754311712e-23,0,1151.0,-0.14064892670946114,0.046978468501001416,0,87.5,680.0,1207.0,-527.0,39,8.0,0.45,0.93,1.0,41,18.0,0.06,0.58,1.0,primary
BA m=3,uniform,0,777,3,48,5.94,4.1194209933006425,-0.5143691710637913,6.6558828959750146e-15,0,1070.5,-0.5447287932906021,7.533471044639126e-17,0,1146.5,-0.12501952403778985,0.07775087029223167,0,83.5,672.0,1181.5,-509.5,41,8.0,0.49,0.92,1.0,37,18.0,0.14,0.6,1.0,primary
BA m=3,uniform,0,17,3,45,5.94,4.237328705569046,-0.4998471347630692,4.8725262276331114e-14,0,1325.0,-0.5478118733644776,4.657974072083151e-17,0,1402.0,-0.2169541854616565,0.002030037128176881,0,98.5,963.5,1467.0,-503.5,33,8.0,0.55,0.92,1.0,39,18.0,0.08,0.56,1.0,primary
BA m=3,uniform,0,256,3,48,5.94,4.234421951387779,-0.6016366265579299,4.461420362626005e-21,0,1245.5,-0.6528972987756053,1.1143489363765232e-25,0,1321.0,-0.22583426876861215,0.0013026199108466926,0,90.5,900.5,1363.0,-462.5,44,8.0,0.17,0.92,1.0,37,19.0,0.06,0.5700000000000001,1.0,primary
BA m=3,uniform,0,8,3,45,5.94,4.216128913856945,-0.5891811829748234,4.429631051729827e-20,0,1200.5,-0.6126781600888487,5.353455533767753e-22,0,1283.0,-0.18358618181442943,0.009263276880907936,0,87.0,745.0,1347.0,-602.0,40,8.0,0.49,0.93,1.0,33,18.0,0.12,0.56,0.985,primary
BA m=3,uniform,0,99,3,41,5.94,4.241143438733092,-0.6018044577286554,4.322575444958873e-21,0,1266.0,-0.6268801542525253,3.088654071684258e-23,0,1369.0,-0.16701576325061074,0.01808946276007567,0,86.0,1005.5,1437.0,-431.5,43,8.0,0.23,0.93,1.0,38,18.0,0.08,0.5700000000000001,1.0,primary
BA m=3,uniform,0,314,3,45,5.94,4.219609343935382,-0.45828399001270237,8.868899550273014e-12,0,1106.0,-0.5478294410955125,4.6451651356585814e-17,0,1169.0,-0.16087175982359597,0.022866832481896256,0,83.0,699.0,1185.0,-486.0,33,8.0,0.43,0.92,1.0,30,17.0,0.22,0.61,0.965,primary
BA m=3,uniform,0,2718,3,52,5.94,4.145156412330013,-0.600957591527267,5.069251750147812e-21,0,1089.5,-0.5856566587083063,8.331690695916781e-20,0,1153.0,-0.3156333278769184,5.2968876096445195e-06,0,85.0,687.0,1239.5,-552.5,49,8.0,0.18,0.92,1.0,44,18.0,0.06,0.56,1.0,primary
BA m=3,uniform,0,1618,3,52,5.94,4.124826630869103,-0.5156436487747182,5.563578732429035e-15,0,1064.5,-0.5057734884646891,2.1871626809620947e-14,0,1125.5,-0.15904941170925535,0.024478253220253,0,90.0,647.0,1152.5,-505.5,46,8.0,0.19,0.93,1.0,35,18.0,0.14,0.56,0.995,primary
BA m=3,uniform,0,5001,3,40,5.94,4.228662177199466,-0.4375485578536716,9.254350209835236e-11,0,1303.0,-0.5793108862216335,2.5492375103311307e-19,0,1389.5,-0.0364364649563115,0.608490251143969,0,87.5,1005.0,1378.0,-373.0,29,8.0,0.38,0.93,1.0,34,18.0,0.12,0.58,0.99,replication
BA m=3,uniform,0,5002,3,34,5.94,4.288744513800598,-0.600903413074178,5.121109302521462e-21,0,1182.5,-0.6301528151405648,1.5674326402672988e-23,0,1264.5,-0.2080678665883402,0.0031114633900119633,0,80.0,703.0,1313.5,-610.5,28,8.0,0.64,0.925,1.0,40,17.0,0.06,0.58,1.0,replication
BA m=3,uniform,0,5003,3,43,5.94,4.244340089015031,-0.602844079056931,3.552295394725688e-21,0,1097.5,-0.6194931513297119,1.3868204340503596e-22,0,1177.5,-0.34842714962763743,4.2824746340794123e-07,0,83.5,662.5,1216.0,-553.5,46,8.0,0.33,0.93,1.0,34,18.0,0.12,0.55,0.995,replication
BA m=3,uniform,0,5004,3,37,5.94,4.232528913593622,-0.5114962853702788,9.942809775746205e-15,0,1287.0,-0.5708939055963225,1.082839719361828e-18,0,1363.5,-0.21652131896897,0.002073517543408401,0,86.0,875.0,1388.0,-513.0,45,8.0,0.3,0.92,1.0,29,17.0,0.18,0.58,0.955,replication
BA m=3,uniform,0,5005,3,43,5.94,4.220207897677206,-0.5430029060793731,9.83891226841727e-17,0,1253.5,-0.5944370540258904,1.7020198998906706e-20,0,1346.5,-0.20362776299177235,0.0038274452731046618,0,93.5,936.0,1380.5,-444.5,48,8.0,0.17,0.93,1.0,35,18.0,0.1,0.58,0.99,replication
BA m=3,uniform,0,5006,3,44,5.94,4.259313286372087,-0.6370026917114875,3.69079964890438e-24,0,1265.0,-0.6352151382625058,5.401864345699096e-24,0,1329.5,-0.32837812390920335,2.0628828314229594e-06,0,91.5,898.5,1426.0,-527.5,40,7.0,0.44,0.93,1.0,34,17.0,0.14,0.6,0.995,replication
BA m=3,uniform,0,5007,3,52,5.94,4.259700780247361,-0.5104612059816025,1.1479131541960317e-14,0,1261.5,-0.5643580813443642,3.2366243754605365e-18,0,1356.0,-0.1304785927031609,0.06553947442294483,0,82.0,996.5,1403.5,-407.0,33,8.0,0.32,0.93,1.0,38,17.0,0.08,0.58,1.0,replication
