topo,norm,seed,rho_deg,rho_drive,rho_tvar,rho_partial,rho_partial_deg,rho_partial_deg2,rho_deg_drive,rho_deg_tvar
BA m=3,uniform,42,-0.6230108280016151,-0.47670320928725235,-0.06892452436536231,-0.0913125896550159,-0.4634800537356089,-0.46396438747087904,0.6812314607698935,-0.008396568957769922
BA m=3,uniform,123,-0.5988848684941873,-0.537025154718614,0.15487859163850273,-0.2547650229340964,-0.3965360023831529,-0.4151632162010614,0.6329650106610857,0.03763655741056279
BA m=3,uniform,777,-0.5143691710637913,-0.41761241865761206,0.23146713029481655,-0.11368187458783588,-0.34747119918476344,-0.3339783434790777,0.671436529458293,-0.1332745019826156
BA m=3,uniform,17,-0.4998471347630692,-0.46287384909765406,-0.0692631471588087,-0.16696123309889802,-0.26816783728930876,-0.277418168780174,0.7275542836206743,-0.08263828501157942
BA m=3,uniform,256,-0.6016366265579299,-0.5618045873084462,-0.0873657738653106,-0.24545966842207878,-0.35197334465546,-0.3535846020746213,0.7015645801481842,0.015862422167870385
BA m=3,degree_linear,42,0.11100022857025671,-0.10471874863548587,0.03638387544474862,-0.10060282835305881,0.10713132743727236,0.10773099874433065,-0.04353504106031639,-0.014098277456200263
BA m=3,degree_linear,123,0.14479629684722733,-0.07211846507207091,0.04706932420907301,-0.05012783352266847,0.13535248867690533,0.1356074165145643,-0.15993044205894652,0.010827637801283693
BA m=3,degree_linear,777,0.025124324347673466,-0.0055707867764858265,-0.04594147152381501,-0.0004007112557978289,0.024502593917261922,0.01758663084120466,-0.2061271144318688,-0.15469370251869657
BA m=3,degree_linear,17,0.20212405019571436,-0.05942136061383108,-0.17259435408040763,-0.0409557476834808,0.19766140622334766,0.1856205184072422,-0.0964655340820597,-0.09718146271413533
BA m=3,degree_linear,256,0.05023707129734991,-0.11956781208860846,0.13857246511729884,-0.11530155854330874,0.038855933477132835,0.0321074917004935,-0.09910532011626635,0.03964321733826281
BA m=5,uniform,42,-0.5936192413642194,-0.59750067602819,0.23196169150683418,-0.28198233766331265,-0.2699917620965494,-0.26816167702700255,0.756562649846061,-0.2605597890212335
BA m=5,uniform,123,-0.5334241582662016,-0.6081223383765364,0.2736839657958731,-0.4139380793252543,-0.24334814679595848,-0.2524903405038702,0.6306297740897672,-0.15368391265024398
BA m=5,uniform,777,-0.4997941294044096,-0.5413988423514227,0.209698081604502,-0.34597438275811615,-0.2564230572128617,-0.20786630884289095,0.6065591145177724,-0.17558927072394878
BA m=5,uniform,17,-0.5907502107114967,-0.543820983221828,-0.0013530515852082329,-0.19281685852424985,-0.3316190554871736,-0.3321635508286087,0.7448403554536558,-0.03779539388633356
BA m=5,uniform,256,-0.5384255384755389,-0.5734515133637752,-0.19933209705994703,-0.30670205883254154,-0.20371087684708272,-0.20380164528496916,0.7446877422328917,0.05254453085470952
BA m=5,degree_linear,42,0.06537315861122361,-0.25357958643676737,0.12225251905535486,-0.2554944302385589,0.07287650148824952,0.09654080426013566,0.020139798544794016,-0.18832956521385805
BA m=5,degree_linear,123,0.034902690702154994,-0.3096560993446537,0.23689559376767108,-0.308158250876393,0.01399673956358515,0.038484914744970115,-0.06984008263333093,-0.10785298081679887
BA m=5,degree_linear,777,-0.07859526128254905,-0.07812118541918196,0.17103962949478055,-0.08596809915507582,-0.08639857236813042,-0.08160719471729601,-0.09184688339275675,-0.02919527318871158
BA m=5,degree_linear,17,0.053198742150883084,-0.2827440675811765,0.06877232037073998,-0.28018179979055574,0.035592807705985066,0.040680011915548486,-0.06768159754376181,-0.06428889084711553
BA m=5,degree_linear,256,-0.04024698110806972,-0.23051707825609574,0.013207934211246759,-0.23201316429401816,-0.04847117806235785,-0.049297019175051665,-0.029922576133199538,0.04162062116029215
ER <k>~6,uniform,42,-0.5544706249757025,-0.5597651522967395,0.08901367632736948,-0.31676948826669094,-0.3043249136728896,-0.30259072985135804,0.6470532922151326,-0.15017348017463011
ER <k>~6,uniform,123,-0.6130961554322882,-0.5905188060936186,-0.01614725662043193,-0.3111030968074775,-0.3667029207685329,-0.3682254024375386,0.6631134341590071,-0.040864813069501564
ER <k>~6,uniform,777,-0.571057769414659,-0.5666842297953033,0.004379400542086095,-0.3123719303123749,-0.3227859814445896,-0.3205583638736087,0.6517863165084324,0.02224937514604578
ER <k>~6,uniform,17,-0.728360555941091,-0.5993702066623686,0.09863387271238193,-0.17524888043329154,-0.5383200806470998,-0.5416800036233572,0.7061740592159224,-0.024240662930580678
ER <k>~6,uniform,256,-0.607934668995479,-0.5499490358241572,0.048540863985379476,-0.22076753678313668,-0.3745642821272329,-0.3762372148595674,0.6982020916615314,-0.14962864577120047
ER <k>~6,degree_linear,42,0.09563334644446854,-0.2280980004737121,0.052148323896651895,-0.21926551760455176,0.07082133673903378,0.08104597579978932,-0.1191150856493936,-0.16352228443122993
ER <k>~6,degree_linear,123,0.09803442903764431,-0.3543273985242138,-0.055934609827349976,-0.3503484261422921,0.08021918166537832,0.07737570821125897,-0.06542100067170657,-0.040964546000854855
ER <k>~6,degree_linear,777,0.07287630416382677,-0.05374668630337496,0.08658796669921476,-0.05332556927273363,0.07256703999591207,0.07028199448970346,-0.007746084359003528,0.02735416428163836
ER <k>~6,degree_linear,17,0.18705437911544298,-0.10462442050944525,-0.05965194511577806,-0.08558670022959132,0.1773589091362868,0.18194626052404883,-0.11271677629716496,0.06429745668613018
ER <k>~6,degree_linear,256,0.10660238637609994,-0.14995695585295443,-0.18285549187759542,-0.14489116690517523,0.09926446726194023,0.07597027865066983,-0.05750138522026862,-0.14783937696718
