k,seed_idx,m4r_acc,m4r_cost,leaky_acc,leaky_cost,leaky_params
1,0,1.0,451.0,0.5,1400.5,"(0.05, 0.0, 800)"
1,1,0.5,396.0,1.0,2000.0,"(0.05, 0.0, 800)"
1,2,1.0,397.5,1.0,2000.0,"(0.05, 0.0, 800)"
1,3,1.0,432.5,1.0,2000.0,"(0.05, 0.0, 800)"
1,4,1.0,194.0,1.0,2000.0,"(0.05, 0.0, 800)"
1,5,0.0,190.0,1.0,2000.0,"(0.05, 0.0, 800)"
1,6,0.5,423.0,0.0,2000.0,"(0.05, 0.0, 800)"
1,7,1.0,399.5,1.0,2000.0,"(0.05, 0.0, 800)"
1,8,0.0,193.0,0.0,2000.0,"(0.05, 0.0, 800)"
1,9,1.0,187.0,1.0,801.0,"(0.05, 0.0, 800)"
1,10,1.0,217.0,0.0,2000.0,"(0.05, 0.0, 800)"
1,11,1.0,423.5,0.0,2000.0,"(0.05, 0.0, 800)"
1,12,1.0,200.0,1.0,2000.0,"(0.05, 0.0, 800)"
1,13,0.5,424.0,0.0,2000.0,"(0.05, 0.0, 800)"
1,14,1.0,414.5,0.0,2000.0,"(0.05, 0.0, 800)"
1,15,1.0,423.0,0.0,2000.0,"(0.05, 0.0, 800)"
1,16,0.0,189.0,0.5,1400.5,"(0.05, 0.0, 800)"
1,17,0.0,223.0,0.5,1400.5,"(0.05, 0.0, 800)"
1,18,1.0,198.0,1.0,801.0,"(0.05, 0.0, 800)"
1,19,0.0,203.0,0.0,2000.0,"(0.05, 0.0, 800)"
3,0,1.0,451.0,1.0,2000.0,"(0.05, 0.02, 800)"
3,1,1.0,396.0,1.0,1336.5,"(0.05, 0.02, 800)"
3,2,1.0,397.5,1.0,2000.0,"(0.05, 0.02, 800)"
3,3,0.5,432.5,1.0,2000.0,"(0.05, 0.02, 800)"
3,4,0.0,194.0,1.0,1337.0,"(0.05, 0.02, 800)"
3,5,1.0,190.0,1.0,801.0,"(0.05, 0.02, 800)"
3,6,1.0,423.0,0.0,2000.0,"(0.05, 0.02, 800)"
3,7,1.0,399.5,1.0,2000.0,"(0.05, 0.02, 800)"
3,8,1.0,193.0,0.0,2000.0,"(0.05, 0.02, 800)"
3,9,0.0,187.0,1.0,2000.0,"(0.05, 0.02, 800)"
3,10,0.0,217.0,0.0,2000.0,"(0.05, 0.02, 800)"
3,11,1.0,423.5,0.0,2000.0,"(0.05, 0.02, 800)"
3,12,0.0,200.0,1.0,1337.5,"(0.05, 0.02, 800)"
3,13,0.5,424.0,0.0,2000.0,"(0.05, 0.02, 800)"
