seed,condition,dstar,stop,acc_at_stop,correct_t100,correct_t200,correct_t328,correct_t500,correct_t690
20,FULL,-1,513,1,0,0,0,1,1
20,DECOUPLE,-1,412,1,0,0,0,1,1
20,FROZEN_U,-1,512,0,0,0,0,0,0
20,DECOUPLE_FROZEN,-1,540,1,0,0,0,0,0
21,FULL,-1,414,1,0,0,0,1,1
21,DECOUPLE,-1,272,1,0,0,1,1,1
21,FROZEN_U,-1,368,0,0,0,0,1,0
21,DECOUPLE_FROZEN,-1,405,1,0,0,0,1,0
22,FULL,-1,420,1,0,0,0,1,1
22,DECOUPLE,-1,381,1,0,0,1,1,1
22,FROZEN_U,-1,462,0,0,0,0,0,0
22,DECOUPLE_FROZEN,-1,458,1,0,0,0,1,0
23,FULL,-1,481,1,0,0,0,1,1
23,DECOUPLE,-1,427,1,0,0,1,1,1
23,FROZEN_U,-1,509,0,0,0,0,0,0
23,DECOUPLE_FROZEN,-1,540,0,0,0,0,0,0
24,FULL,1,194,1,1,1,0,0,0
24,DECOUPLE,1,173,1,0,0,0,0,0
24,FROZEN_U,1,209,1,1,1,0,1,1
24,DECOUPLE_FROZEN,1,263,1,0,1,0,0,1
25,FULL,1,190,1,0,1,0,0,0
25,DECOUPLE,1,171,0,0,0,0,0,0
25,FROZEN_U,1,1530,1,0,1,1,0,1
25,DECOUPLE_FROZEN,1,1540,1,0,1,1,1,1
26,FULL,-1,461,1,0,0,0,1,1
26,DECOUPLE,-1,325,1,0,0,1,1,1
26,FROZEN_U,-1,395,1,0,0,0,1,0
26,DECOUPLE_FROZEN,-1,437,1,0,0,0,1,0
27,FULL,-1,424,1,0,0,0,1,1
27,DECOUPLE,-1,346,1,0,0,1,1,1
27,FROZEN_U,-1,414,1,0,0,0,1,0
27,DECOUPLE_FROZEN,-1,469,1,0,0,0,1,0
28,FULL,1,193,1,0,1,0,0,0
28,DECOUPLE,1,185,1,0,0,1,0,0
28,FROZEN_U,1,227,1,0,1,0,1,1
28,DECOUPLE_FROZEN,1,276,1,0,1,1,0,0
29,FULL,1,187,1,0,1,1,0,0
29,DECOUPLE,1,153,0,0,0,1,0,0
29,FROZEN_U,1,181,1,0,1,1,1,0
29,DECOUPLE_FROZEN,1,222,1,0,1,1,1,0
30,FULL,1,217,0,1,1,0,0,0
30,DECOUPLE,1,187,1,0,1,0,0,0
30,FROZEN_U,1,225,1,1,1,0,0,1
30,DECOUPLE_FROZEN,1,251,1,0,1,0,0,1
31,FULL,-1,464,1,0,0,0,1,1
31,DECOUPLE,-1,316,1,0,0,1,1,1
31,FROZEN_U,-1,405,1,0,0,0,1,0
31,DECOUPLE_FROZEN,-1,463,0,0,0,0,1,0
32,FULL,1,200,1,1,1,0,0,0
32,DECOUPLE,1,200,1,1,1,0,0,0
32,FROZEN_U,1,224,1,1,1,0,1,1
32,DECOUPLE_FROZEN,1,281,1,1,1,0,0,1
33,FULL,-1,476,1,0,0,0,1,1
33,DECOUPLE,-1,405,1,0,0,0,1,1
33,FROZEN_U,-1,530,0,0,0,0,0,0
33,DECOUPLE_FROZEN,-1,559,0,0,0,0,0,0
34,FULL,-1,451,1,0,0,0,1,1
34,DECOUPLE,-1,381,1,0,0,1,1,1
34,FROZEN_U,-1,464,1,0,0,0,1,0
34,DECOUPLE_FROZEN,-1,510,1,0,0,0,1,0
35,FULL,-1,463,1,0,0,0,1,1
35,DECOUPLE,-1,347,1,0,0,1,1,1
35,FROZEN_U,-1,457,1,0,0,0,1,0
35,DECOUPLE_FROZEN,-1,511,1,0,0,0,1,0
36,FULL,1,189,1,1,1,0,0,0
36,DECOUPLE,1,172,1,1,0,0,0,0
36,FROZEN_U,1,233,1,1,1,0,0,1
36,DECOUPLE_FROZEN,1,256,1,1,1,0,0,1
37,FULL,1,223,0,0,1,0,0,0
37,DECOUPLE,1,176,1,0,0,1,0,0
37,FROZEN_U,1,234,1,0,1,0,1,1
37,DECOUPLE_FROZEN,1,258,1,0,1,0,1,1
38,FULL,1,198,1,1,1,0,0,0
38,DECOUPLE,1,172,1,1,1,0,0,0
38,FROZEN_U,1,221,1,1,1,0,0,1
38,DECOUPLE_FROZEN,1,251,1,1,1,0,0,1
39,FULL,1,203,1,0,1,1,0,0
39,DECOUPLE,1,172,1,0,0,1,0,0
39,FROZEN_U,1,201,1,0,1,1,1,1
39,DECOUPLE_FROZEN,1,245,1,0,1,1,1,0
