condition,stop_signal,drop_threshold,acc_test,acc_permuted_null,n_seeds_test
FULL,LAPLACIAN,0.45,0.925,0.549875,40
FULL,STD,0.45,1.0,0.568125,40
FULL,TEMPORAL,0.15,0.025,0.13274999999999998,40
DECOUPLE,LAPLACIAN,0.3,0.875,0.480125,40
DECOUPLE,STD,0.45,0.9,0.52425,40
DECOUPLE,TEMPORAL,0.15,0.15,0.133375,40
FROZEN_U,LAPLACIAN,0.15,0.975,0.94325,40
FROZEN_U,STD,0.15,1.0,0.8072499999999999,40
FROZEN_U,TEMPORAL,0.15,0.125,0.195,40
DECOUPLE_FROZEN,LAPLACIAN,0.15,0.975,0.809,40
DECOUPLE_FROZEN,STD,0.15,0.975,0.827625,40
DECOUPLE_FROZEN,TEMPORAL,0.15,0.025,0.10475000000000001,40
