world,stop_signal,drop_threshold,acc_test,n_seeds_test,gate_acc_final,gate_flip_mean,gate_always_correct,moran_stim,moran_v
RANDOM,LAPLACIAN,0.45,0.925,40,0.8,1698.5,0.4200746268656717,0.013828447091158958,0.020400569508300513
RANDOM,STD,0.45,1.0,40,0.8,1698.5,0.4200746268656717,0.013828447091158958,0.020400569508300513
RANDOM,TEMPORAL,0.15,0.025,40,0.8,1698.5,0.4200746268656717,0.013828447091158958,0.020400569508300513
CLUSTERED_K1,LAPLACIAN,,,0,0.65,1752.6,0.42514925373134327,0.6059751488776912,0.18528395964555705
CLUSTERED_K1,STD,,,0,0.65,1752.6,0.42514925373134327,0.6059751488776912,0.18528395964555705
CLUSTERED_K1,TEMPORAL,,,0,0.65,1752.6,0.42514925373134327,0.6059751488776912,0.18528395964555705
CLUSTERED_K2,LAPLACIAN,,,0,0.6,1749.15,0.40208955223880605,0.4988977324782412,0.16031095134432446
CLUSTERED_K2,STD,,,0,0.6,1749.15,0.40208955223880605,0.4988977324782412,0.16031095134432446
CLUSTERED_K2,TEMPORAL,,,0,0.6,1749.15,0.40208955223880605,0.4988977324782412,0.16031095134432446
CLUSTERED_K3,LAPLACIAN,,,0,0.55,1808.25,0.42753731343283574,0.48150480989464056,0.16942722406832483
CLUSTERED_K3,STD,,,0,0.55,1808.25,0.42753731343283574,0.48150480989464056,0.16942722406832483
CLUSTERED_K3,TEMPORAL,,,0,0.55,1808.25,0.42753731343283574,0.48150480989464056,0.16942722406832483
CLUSTERED_K5,LAPLACIAN,0.3,0.95,40,0.75,1775.15,0.4237313432835821,0.38208600549702254,0.125404536959365
CLUSTERED_K5,STD,0.45,1.0,40,0.75,1775.15,0.4237313432835821,0.38208600549702254,0.125404536959365
CLUSTERED_K5,TEMPORAL,0.15,0.075,40,0.75,1775.15,0.4237313432835821,0.38208600549702254,0.125404536959365
