seed,stop_laplacian_drop030,stop_std_drop030,delta_stop_drop030,r_signals_full,r_signals_window,r_normalised_window,moran_stim_random,moran_stim_clustered,moran_v_t100,moran_v_t350,moran_v_t690,ratio_norm_t100,ratio_norm_t200,ratio_norm_t350,ratio_norm_t500,ratio_norm_t690
20,513,534,21,0.9940491830592768,0.9842784697076846,0.9842784697076842,0.05305199267063674,0.6786245991754468,0.007803540271882658,0.057603034263363315,-0.1814414143365324,0.9866607322351879,0.9007685707358958,0.8309910036758381,0.8581128404852344,1.126385393205843
21,414,516,102,0.994018526794652,0.9864708579353648,0.9864708579353647,-0.04429111314704537,0.6786245991754468,0.057382300117750466,0.06697047679956375,-0.2016012348334221,1.0263891118223725,1.1119882624146455,0.8842268677722191,0.9416612661220406,1.1797047919076609
22,420,474,54,0.9962739387904788,0.9921716654434227,0.9921716654434231,0.017979844251030698,0.6850664223545582,0.0648757244522382,0.057529269459198826,-0.1416042549158936,0.939299114426205,0.9587195882118825,0.8041195034959465,0.860211047452622,1.0561124009600882
23,481,522,41,0.9901362356252891,0.9776785471918121,0.9776785471918124,-0.07721598717361429,0.6671724690792489,-0.11706990092113795,0.044570195090200014,-0.06335239217197786,1.048232891181141,1.0272937483464681,0.7690309512358313,0.7965289598102219,0.9999644534644134
24,194,215,21,0.9883649579783675,0.9865048281491906,0.9865048281491906,-0.027828676133760888,0.6850664223545578,-0.040297712708501944,0.035325832362874975,0.22918257430306688,0.8869200997576444,0.8222744876055005,0.7286214177132522,0.9142748953548998,0.7904610706709825
25,190,215,25,0.9926938499509059,0.9775369146397879,0.977536914639788,-0.013513513513513509,0.6786245991754467,-0.05074492652286203,-0.030139765520424185,0.07971588541399141,0.9351460395320867,0.7756912337929023,0.8585888439536786,1.0681704156195595,0.9803854217655749
26,461,472,11,0.9977202592154408,0.9953022247252712,0.9953022247252713,-0.005640174072377464,0.6850664223545582,0.049139175615931285,-0.0963323855494828,-0.11420640028187887,1.042202272568182,0.9759006453559045,0.9563493678676472,0.9525073263482486,1.1384589921105457
27,424,478,54,0.9967359519265272,0.9934237794020795,0.9934237794020795,0.06521988089784701,0.6671724690792491,0.0264759583652581,-0.007884801322647987,-0.10771142463755312,1.019185146291475,0.9231752413148339,0.9119913913667511,0.9214238685154164,1.0442158353184374
28,193,214,21,0.9808776616759338,0.9789694528542002,0.9789694528542008,-0.06003779202931747,0.6850664223545582,-0.08718059780079758,0.009366350714873635,0.012543424450424515,0.9608061988652636,0.7088766483706065,0.6709703587767184,0.8058528350769235,0.8355054725532813
29,187,205,18,0.9868528155249365,0.9518950796797273,0.9518950796797272,0.1775939074667888,0.6671724690792489,-0.019067147701409447,0.18149293245673326,0.1338568108892671,0.9070553530414849,0.7911710761277334,0.713143797916142,0.9538514077170898,0.9181649007756568
30,217,236,19,0.9896472022568275,0.9725743785854625,0.972574378585463,0.025853183692166746,0.6671724690792491,0.06873227019921978,0.07490943388979368,0.09831164529624364,0.8369436530328214,0.7856852013770619,0.7307092758830325,0.9502258104965638,0.9159199831020556
31,464,475,11,0.9949658301044814,0.9897800970528972,0.9897800970528974,-0.011366239120476417,0.6786245991754467,-0.05285278641099583,-0.0284426300882056,-0.21077757023687327,1.0538424148699674,0.9338641390467228,0.8526133430845831,0.986072565951479,1.1355224752672932
32,200,915,715,0.989357727047363,0.9697172614723204,0.9697172614723208,-0.0034928996793403546,0.678624599175447,0.03320392966639449,0.055855526196208226,0.0848484922518786,0.8891830170040276,0.7108746852910469,0.7490271048190358,0.9727141746265534,0.9038561078624852
33,476,581,105,0.9873169454425873,0.9710296231191687,0.9710296231191688,-0.11300389372423274,0.6607306459001373,-0.07431387303302918,0.07410898878084016,-0.09572207692692487,0.9328253655055322,0.8740113108657508,0.6926875396290041,0.7187930390278316,0.9834282134172617
34,451,485,34,0.9911359940192696,0.9812169765195742,0.9812169765195744,0.07166170407695832,0.6850664223545582,0.004563569102155425,0.07642968907671718,-0.040106898244874546,0.9627135749973443,0.8619803426869638,0.7273094923303766,0.9224557752409801,0.9649062732967304
35,463,501,38,0.9930335838663901,0.985140393953194,0.9851403939531941,-0.0500171781951443,0.6850664223545582,0.09859697674254628,-0.07077756348113835,-0.015120152746358136,0.9797377640464577,1.10294561046947,0.9143330686797172,0.7814869052424854,1.112543362446801
36,189,207,18,0.9870053645654268,0.9915007755566136,0.9915007755566128,-0.06290082455336693,0.685066422354558,-0.07981154705171632,-0.07105676423068567,-0.035005663310374024,0.9347808294709782,0.6893730437097485,0.7498719955733675,0.7951157414327211,0.891389853581592
37,223,242,19,0.9916114936338453,0.9898819690099336,0.9898819690099334,-0.10584631241410906,0.6786245991754467,-0.04852482467931376,-0.04713411370913706,0.019323664916220843,0.9925486096577218,0.8983364106833466,0.8397211016980336,0.9851155841256779,1.051954958508689
38,198,231,33,0.9906085314328561,0.9781010288002141,0.978101028800213,-0.08508932661475035,0.6786245991754468,-0.0702743639255611,-0.03880951709492881,-0.01292301130547814,0.8909246858979548,0.694504644713338,0.7451434712026631,0.8405010671522931,0.8794473592957721
39,203,218,15,0.988157361118487,0.9665418737789006,0.9665418737789002,0.04016834631241411,0.6607306459001376,0.10632088782317212,0.09653743734487166,0.12593892338941157,0.8274629865805638,0.7833742029149589,0.7462559008232394,0.915449113560132,0.9138789351567613
