readout,method,acc,cost,params
inst,M4R_DOUBT,0.9,308.925,
inst,M4R_CONV,0.4,189.95,
inst,SA_signal,0.45,1202.05,"(0.5, 800.0, 0.2, 50)"
inst,EPS_signal,0.875,1853.25,"(0.2, 0.05, 0.02, 800)"
inst,NOISE_signal,0.375,1320.325,"(0.05, 800)"
inst,LEAKY_signal,0.875,1909.15,"(0.05, 0.02, 800)"
inst,SA_flux,0.5,1202.0,"(0.5, 800.0, 0.2, 50)"
inst,EPS_flux,1.0,1433.65,"(0.05, 0.05, 0.1, 800)"
inst,NOISE_flux,0.0,51.0,"(0.05, 50)"
inst,LEAKY_flux,1.0,1347.55,"(0.05, 0.0, 800)"
smooth,M4R_DOUBT,0.9,312.775,
smooth,M4R_CONV,0.5,192.45,
smooth,SA_signal,0.45,1202.1,"(0.5, 800.0, 0.2, 50)"
smooth,EPS_signal,0.875,1853.275,"(0.2, 0.05, 0.02, 800)"
smooth,NOISE_signal,0.375,1320.175,"(0.05, 800)"
smooth,LEAKY_signal,0.875,1909.1,"(0.05, 0.02, 800)"
smooth,SA_flux,0.5,1202.0,"(0.5, 800.0, 0.2, 50)"
smooth,EPS_flux,0.975,1389.325,"(0.2, 0.05, 0.02, 800)"
smooth,NOISE_flux,0.0,51.1,"(0.05, 50)"
smooth,LEAKY_flux,1.0,1348.65,"(0.05, 0.0, 800)"
