label,family,norm,lambda2_mean,lambda2_std,H_mean,H_std
BA m=1,BA,uniform,0.026608,0.004350,0.855206,0.044302
BA m=1,BA,degree_linear,0.026608,0.004350,0.000000,0.000000
BA m=2,BA,uniform,0.644240,0.014842,0.028010,0.003633
BA m=2,BA,degree_linear,0.644240,0.014842,0.655411,0.214079
BA m=3,BA,uniform,1.413887,0.005411,0.000000,0.000000
BA m=3,BA,degree_linear,1.413887,0.005411,0.834394,0.088057
BA m=5,BA,uniform,3.102112,0.087362,0.000000,0.000000
BA m=5,BA,degree_linear,3.102112,0.087362,0.000000,0.000000
BA m=8,BA,uniform,5.829622,0.024230,0.121225,0.028589
BA m=8,BA,degree_linear,5.829622,0.024230,0.000000,0.000000
BA m=10,BA,uniform,7.814195,0.091470,0.226325,0.022580
BA m=10,BA,degree_linear,7.814195,0.091470,0.000000,0.000000
CM gamma=2.5,CM,uniform,0.083863,0.059403,0.699591,0.120283
CM gamma=2.5,CM,degree_linear,0.083863,0.059403,0.000000,0.000000
CM gamma=3.0,CM,uniform,0.037887,0.053580,0.955925,0.047572
CM gamma=3.0,CM,degree_linear,0.037887,0.053580,0.000000,0.000000
CM gamma=4.0,CM,uniform,0.034713,0.024546,0.964251,0.028202
CM gamma=4.0,CM,degree_linear,0.034713,0.024546,0.000000,0.000000
HK m=3 p=0.5,HK,uniform,1.010281,0.080674,0.000000,0.000000
HK m=3 p=0.5,HK,degree_linear,1.010281,0.080674,0.772215,0.111091
HK m=3 p=0.9,HK,uniform,0.548460,0.117067,0.000000,0.000000
HK m=3 p=0.9,HK,degree_linear,0.548460,0.117067,0.824811,0.093242
WS k=4 p=0.1,WS,uniform,0.131608,0.018873,0.031354,0.018836
WS k=4 p=0.1,WS,degree_linear,0.131608,0.018873,0.710225,0.038928
WS k=4 p=0.3,WS,uniform,0.370957,0.029576,0.050571,0.016195
WS k=4 p=0.3,WS,degree_linear,0.370957,0.029576,0.715490,0.081975
ER p=0.06,ER,uniform,0.811870,0.204415,0.000000,0.000000
ER p=0.06,ER,degree_linear,0.811870,0.204415,0.872900,0.079668
ER p=0.12,ER,uniform,4.351367,0.698338,0.000000,0.000000
ER p=0.12,ER,degree_linear,4.351367,0.698338,0.000000,0.000000
