N,m,D,lambda2_bin,lambda2_mean,H_cont_mean,H_cont_std,sync_mean,sync_std,u_mean_mean,count
100,3,0.0,1.25,1.3071771442571583,4.7116431115764605,0.04747263783807908,0.08686186961824933,0.02066007493901843,0.04999999999999999,6
100,3,0.0,1.5,1.4069141825935183,4.806353358668446,0.02179814646308931,0.06196452976954331,0.003640677717626329,0.04999999999999999,4
100,3,0.15,1.25,1.3071771442571583,3.7524405125701517,0.06723816255525043,0.0033806929691990594,0.009652675803044382,0.9930046888308369,6
100,3,0.15,1.5,1.4069141825935183,3.662693995751515,0.09288605480727163,0.0013885494848289812,0.009421844134674062,0.9972054915553776,4
100,4,0.0,2.0,2.093146836376255,4.736270293975603,0.08993480559447516,0.07393680469260261,0.01798096369428675,0.04999999999999999,3
100,4,0.0,2.25,2.240617862182718,4.755208746029391,0.05368437623540449,0.07817413181569448,0.02227602475644821,0.04999999999999999,7
100,4,0.15,2.0,2.093146836376255,3.405105687378424,0.10382687168700623,-0.00019923491407187674,0.008452901843109983,0.9989351972431032,3
100,4,0.15,2.25,2.240617862182718,3.445561843022159,0.07449003476664212,-0.004520071563802442,0.002361599829739125,0.9989745539674582,7
100,5,0.0,2.75,2.8540406307969888,4.760576231988139,,0.11418373341163122,,0.04999999999999999,1
100,5,0.0,3.0,3.0448832366495937,4.760725866944973,0.05728174248204493,0.07149304021671216,0.01691022250288927,0.04999999999999999,8
100,5,0.0,3.25,3.303845034730156,4.64888893658463,,0.08290128164234074,,0.04999999999999999,1
100,5,0.15,2.75,2.8540406307969888,3.318105034361842,,-0.0017572157820595414,,0.9995563432860608,1
100,5,0.15,3.0,3.0448832366495937,3.245202806412156,0.06386982803709323,-0.004049567913799974,0.0018119336311092269,0.9987989039039225,8
100,5,0.15,3.25,3.303845034730156,3.3027560415776134,,-0.0029151435261272167,,0.9994531623567484,1
100,6,0.0,3.75,3.8675459549079716,4.658023004858627,,0.06678149601807117,,0.04999999999999999,1
100,6,0.0,4.0,3.9952786691811633,4.759694344363769,0.05581045299185958,0.07802753786328867,0.0210589560798812,0.04999999999999999,9
100,6,0.15,3.75,3.8675459549079716,3.097285477673442,,-0.0029693926607284675,,0.9995714367145133,1
100,6,0.15,4.0,3.9952786691811633,3.001219420676213,0.05806466692648136,-0.001908366301628835,0.0038015540936963996,0.9994607660891446,9
100,7,0.0,4.75,4.843097124052094,4.717228883011745,0.06035194099340361,0.07642721949034521,0.02325985779940594,0.04999999999999999,5
100,7,0.0,5.0,5.017396026826875,4.781825537814765,0.048011878213388454,0.07737864786718864,0.019334659174497157,0.04999999999999999,5
100,7,0.15,4.75,4.843097124052094,2.8735988004954605,0.0826721046045063,-0.003595951717397085,0.0014046173696047187,0.999676870075622,5
100,7,0.15,5.0,5.017396026826875,2.844206567706556,0.09050742299317839,0.0002090410019447435,0.00601159219260783,0.9997898391727974,5
100,8,0.0,5.5,5.615353755549957,4.760576231988139,,0.11418373341163122,,0.04999999999999999,1
100,8,0.0,5.75,5.7695985320751015,4.774792810369573,0.03467706929095903,0.06082623055748804,0.003367928246705704,0.04999999999999999,3
100,8,0.0,6.0,6.00168427655716,4.7350529068392815,0.0755283323001318,0.07872781861726232,0.017051433199630567,0.04999999999999999,6
100,8,0.15,5.5,5.615353755549957,2.7920146184704815,,-0.004070246765992943,,0.9998500076837382,1
100,8,0.15,5.75,5.7695985320751015,2.695238049854918,0.08928516153762932,-0.0025827110461126668,0.0030056521286645197,0.9999613649811834,3
100,8,0.15,6.0,6.00168427655716,2.7288696223694977,0.06170931156514627,-0.0037190478992451905,0.0017475417668663422,0.9999224419032454,6
100,9,0.0,6.75,6.750964062309028,4.7445397291296665,0.08097873366367206,0.07241022781221267,0.013252428441942491,0.04999999999999999,6
100,9,0.0,7.0,6.92639386207441,4.757008432338637,0.018805206567807015,0.0836419924785983,0.028756232789700107,0.04999999999999999,4
100,9,0.15,6.75,6.750964062309028,2.5983316493954804,0.06782555998752429,-0.0024109593997673133,0.0018806801509930456,0.9999477704081793,6
100,9,0.15,7.0,6.92639386207441,2.6099606577698045,0.02481043037472252,0.0001893962338079566,0.002970763348672442,0.9999585102737696,4
100,10,0.0,7.5,7.546758742954429,4.745930499203467,0.027186785056261185,0.07869453928166549,0.022844836176870397,0.04999999999999999,4
100,10,0.0,7.75,7.715698428567731,4.750194775066108,0.08920256469485874,0.0680134892498752,0.008634161778622071,0.04999999999999999,5
100,10,0.0,8.0,7.8901646105648515,4.760576231988139,,0.11418373341163122,,0.04999999999999999,1
100,10,0.15,7.5,7.546758742954429,2.4939702462553877,0.026619999951277045,-0.003078412187113368,0.003052638783246128,0.9999863335448556,4
100,10,0.15,7.75,7.715698428567731,2.5446053726156963,0.09479761869063973,-0.003923494465573446,0.001287758334048904,0.9999915173566816,5
100,10,0.15,8.0,7.8901646105648515,2.5614684695404595,,-0.004765799913754601,,0.9999841608934844,1
