N,m,D,seed,lambda2,H_cont,synchrony,u_mean
100,3,0.0,0,1.1655988290222565,4.658023004858627,0.06678149601807117,0.04999999999999999
100,3,0.0,1,1.3049799406482483,4.716264499447463,0.09439392062389998,0.04999999999999999
100,3,0.0,2,1.3666579470752394,4.737304740840826,0.060796135890473814,0.04999999999999999
100,3,0.0,3,1.4458304177302967,4.805722189481393,0.06420910529278123,0.04999999999999999
100,3,0.0,4,1.378504863463044,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,3,0.0,5,1.3315903433098182,4.74880125573908,0.10211465012307908,0.04999999999999999
100,3,0.0,6,1.30046935918379,4.760576231988139,0.11418373341163122,0.04999999999999999
100,3,0.0,7,1.4245396594467314,4.803816366785168,0.06554056586034622,0.04999999999999999
100,3,0.0,8,1.3737664463035963,4.64888893658463,0.08290128164234074,0.04999999999999999
100,3,0.0,9,1.3787817897340011,4.781351500786502,0.057473450489209085,0.04999999999999999
100,3,0.15,0,1.1655988290222565,3.868791229071914,-0.001669501771956899,0.9937404543351505
100,3,0.15,1,1.3049799406482483,3.7252093918343916,-0.002530792425436159,0.9958780844050618
100,3,0.15,2,1.3666579470752394,3.758779748789372,0.005021836197784523,0.9902299399328427
100,3,0.15,3,1.4458304177302967,3.7429915925352644,0.013387154097899319,0.9959827572400749
100,3,0.15,4,1.378504863463044,3.5298591848443257,0.00419037642010793,0.997430456513792
100,3,0.15,5,1.3315903433098182,3.6672799284812525,-0.006533630536276867,0.996851569944042
100,3,0.15,6,1.30046935918379,3.7251521542296286,0.005270137180367215,0.9920043459036957
100,3,0.15,7,1.4245396594467314,3.6746345348859455,-0.004435229349670898,0.997638302637379
100,3,0.15,8,1.3737664463035963,3.7694306230143515,0.020726109170712544,0.9893237384642289
100,3,0.15,9,1.3787817897340011,3.703290670740524,-0.0075881032290204264,0.9977704498302644
100,4,0.0,0,2.0462973402706357,4.658023004858627,0.06678149601807117,0.04999999999999999
100,4,0.0,1,2.112324032898277,4.716264499447463,0.09439392062389998,0.04999999999999999
100,4,0.0,2,2.27144540221536,4.737304740840826,0.060796135890473814,0.04999999999999999
100,4,0.0,3,2.3101908039909596,4.805722189481393,0.06420910529278123,0.04999999999999999
100,4,0.0,4,2.1208191359598527,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,4,0.0,5,2.2689039091100587,4.74880125573908,0.10211465012307908,0.04999999999999999
100,4,0.0,6,2.1425678020912433,4.760576231988139,0.11418373341163122,0.04999999999999999
100,4,0.0,7,2.2328095343841152,4.803816366785168,0.06554056586034622,0.04999999999999999
100,4,0.0,8,2.211351464540807,4.64888893658463,0.08290128164234074,0.04999999999999999
100,4,0.0,9,2.247056118946484,4.781351500786502,0.057473450489209085,0.04999999999999999
100,4,0.15,0,2.0462973402706357,3.5238791079429004,-0.0056217036392109615,0.9988908305654038
100,4,0.15,1,2.112324032898277,3.359849624988994,-0.0045164551656347,0.9987999689794737
100,4,0.15,2,2.27144540221536,3.5060390626628206,-1.8023998976518508e-05,0.9990445570248982
100,4,0.15,3,2.3101908039909596,3.517061700358867,-0.007206239935675388,0.9988301718528138
100,4,0.15,4,2.1208191359598527,3.331588329203377,0.009540454062630032,0.9991147921844322
100,4,0.15,5,2.2689039091100587,3.3493157973193592,-0.00403271905389225,0.9989477910063721
