metric,value,ci_lo,ci_hi
acc_vote,0.6840,0.6545,0.7121
acc_mix,0.5000,0.4691,0.5309
acc_int,0.5250,0.4940,0.5558
acc_mult,0.5180,0.4870,0.5488
acc_multhop,0.3810,0.3514,0.4115
diff_int-mix,0.0250,-0.0230,0.0720
diff_mult-int,-0.0070,-0.0460,0.0330
diff_mult-mix,0.0180,-0.0260,0.0620
diff_mult-vote,-0.1660,-0.2090,-0.1240
diff_multhop-mult,-0.1370,-0.1820,-0.0910
diff_multhop-vote,-0.3030,-0.3460,-0.2610
diff_g_int-vote,0.0550,0.0350,0.0750
diff_g_int-l_int,0.2140,0.1740,0.2540
diff_g_int-g_mult,0.2440,0.2030,0.2830
