cond,t,acc,ci_lo,ci_hi
mix,0,1.0000,0.9962,1.0000
mix,5,0.4960,0.4651,0.5269
mix,10,0.5210,0.4900,0.5518
mix,20,0.4960,0.4651,0.5269
mix,40,0.5120,0.4810,0.5429
mix,80,0.4530,0.4224,0.4840
mix,150,0.4830,0.4522,0.5140
int,0,1.0000,0.9962,1.0000
int,5,0.9490,0.9336,0.9610
int,10,0.7660,0.7388,0.7912
int,20,0.7390,0.7109,0.7653
int,40,0.7390,0.7109,0.7653
int,80,0.7390,0.7109,0.7653
int,150,0.7390,0.7109,0.7653
mult,0,1.0000,0.9962,1.0000
mult,5,0.6000,0.5693,0.6299
mult,10,0.7330,0.7047,0.7595
mult,20,0.5160,0.4850,0.5469
mult,40,0.5020,0.4711,0.5329
mult,80,0.5140,0.4830,0.5449
mult,150,0.4950,0.4641,0.5259
multhop,0,1.0000,0.9962,1.0000
multhop,5,0.5760,0.5451,0.6063
multhop,10,0.7090,0.6801,0.7363
multhop,20,0.5410,0.5100,0.5717
multhop,40,0.5130,0.4820,0.5439
multhop,80,0.4800,0.4492,0.5110
multhop,150,0.5080,0.4770,0.5389
