m,lambda2,uniform_sync_mean,uniform_sync_std,uniform_lz_mean,uniform_lz_std,uniform_h_cont_mean,uniform_h_cont_std,uniform_h_cog_mean,uniform_h_cog_std,deg_linear_sync_mean,deg_linear_sync_std,deg_linear_lz_mean,deg_linear_lz_std,deg_linear_h_cont_mean,deg_linear_h_cont_std,deg_linear_h_cog_mean,deg_linear_h_cog_std
1,0.02346433946685327,0.010698130639791864,0.014311112233678577,1.2433568147652911,0.14186062216189904,3.662539321622173,0.2771926765416465,0.6695198125630121,0.06261842526056875,-0.001953335753493564,0.007256356112891097,1.474341667988936,0.3241658262114446,3.088052683311639,0.08086467055706154,0.7992493010049717,0.036538269144815415
2,0.6262449291041443,0.014202042897411685,0.023218226898391866,1.255886767162151,0.03257944457683696,4.006520556464501,0.10413870714504676,0.26750979250712936,0.07449868985960868,0.0006254651726078072,0.005063399838282902,1.3469216905377956,0.20101482828617248,3.141025112090259,0.2083133680875583,0.7099649711959931,0.03584701342351188
3,1.3977273040121956,-0.001646072332590633,0.006218343068732236,1.2167547619842665,0.014392915063243073,3.2954780799175625,0.07405168111858614,0.010061162088797867,0.018886316640974662,0.009660223379582365,0.017404020208406958,1.4142942807332173,0.15887329687121116,3.139704122215533,0.33987461299921384,0.6798696205715405,0.04221557907914873
4,2.228366159853332,-0.0014427476418857274,0.007898460799684407,1.2320316654835144,0.028949190159645886,3.039642995489308,0.05348681710523952,0.0,0.0,0.0262799091762354,0.03448481534786316,1.3737647039418373,0.04721706873473219,3.199866584287369,0.2724302777280266,0.6233368824763702,0.1514069820581892
5,3.077491263869793,-0.008492895815250704,0.005885617354513896,1.2193089445882417,0.021706205849548722,2.90932589819628,0.05254941202273918,0.0,0.0,0.12654274145054917,0.1105833744019779,1.3274520721980598,0.11381634167248432,3.325511475782117,0.24160280906638318,0.31935416360160274,0.2700595445956206
6,4.014615120289851,-0.005841901614673482,0.005174191674719378,1.2390195235509942,0.04116295842472137,2.7660320590027583,0.0507253548799616,0.0,0.0,0.1038079544662184,0.114337379362225,1.2501037122097538,0.08719046188744446,2.8544896632762624,0.2295066329729045,0.03187174022840948,0.05393774512577161
7,4.9055958274081615,-0.000966172841766778,0.004573090866704849,1.2499109437113411,0.02666919257701765,2.6708228805503262,0.04905002340757726,0.0,0.0,0.0010334768448748883,0.005416585079076838,1.2984404131868696,0.02195366833601657,2.6036840192117774,0.032886384681416844,0.0,0.0
8,5.806546581823726,-0.0026641937774225595,0.004049766238832395,1.266151689702655,0.044995059170678725,2.5767731565666265,0.05733401390027064,0.0,0.0,0.00032908540311286287,0.005056980636123952,1.2856695001669936,0.017531338480350656,2.464447600970543,0.021523517938626373,0.0,0.0
10,7.783604195770367,-0.0005871870106043318,0.003938579164332919,1.3506324841322503,0.0305039018355841,2.382421953449233,0.05351446672696363,0.0,0.0,-8.663140694133639e-05,0.004045979799946985,1.263404738600266,0.022031972052987667,2.307591681214335,0.05300659365052191,0.0,0.0
15,12.584941144003297,-0.0017098776621437544,0.003200320941897092,1.4170412318356054,0.025066576661285,2.099549030194543,0.04008996170586497,0.0,0.0,-0.0007125219302326631,0.003553981888500487,1.1952128822865884,0.044185871317229404,2.0941511955813676,0.03410764196505413,0.0,0.0
