condition,depth,acc_group_test,acc_ident_test
ATTRACTIVE,0,0.6412,0.8503
ATTRACTIVE,1,0.6526,0.8284
ATTRACTIVE,2,0.6598,0.7677
ATTRACTIVE,3,0.6453,0.6790
ATTRACTIVE,5,0.5985,0.5684
ATTRACTIVE,8,0.5779,0.5252
ATTRACTIVE,12,0.5746,0.5184
ATTRACTIVE,20,0.5747,0.5179
ATTRACTIVE,30,0.5747,0.5179
ATTRACTIVE,40,0.5747,0.5179
DOUBT,0,0.6412,0.8503
DOUBT,1,0.6481,0.8408
DOUBT,2,0.6511,0.8330
DOUBT,3,0.6514,0.8332
DOUBT,5,0.6461,0.8437
DOUBT,8,0.6360,0.8544
DOUBT,12,0.6288,0.8544
DOUBT,20,0.6231,0.8540
DOUBT,30,0.6214,0.8546
DOUBT,40,0.6204,0.8552
NO_UPDATE,0,0.6412,0.8503
NO_UPDATE,1,0.6412,0.8503
NO_UPDATE,2,0.6412,0.8503
NO_UPDATE,3,0.6412,0.8503
NO_UPDATE,5,0.6412,0.8503
NO_UPDATE,8,0.6412,0.8503
NO_UPDATE,12,0.6412,0.8503
NO_UPDATE,20,0.6412,0.8503
NO_UPDATE,30,0.6412,0.8503
NO_UPDATE,40,0.6412,0.8503
