layer,attractive_rank,doubt_rank,attractive_cos,doubt_cos
0,38.3141,38.3141,0.0022,0.0022
1,38.2177,38.2650,0.0510,0.0247
2,38.0649,38.2425,0.2027,0.0413
3,37.8099,38.2427,0.5089,0.0411
4,37.5234,38.2555,0.8046,0.0302
5,37.3279,38.2735,0.9425,0.0169
6,37.2260,38.2928,0.9849,0.0057
7,37.1769,38.3121,0.9962,-0.0024
8,37.1533,38.3309,0.9990,-0.0077
9,37.1418,38.3493,0.9998,-0.0110
10,37.1362,38.3675,0.9999,-0.0130
11,37.1334,38.3856,1.0000,-0.0142
12,37.1320,38.4036,1.0000,-0.0149
13,37.1313,38.4215,1.0000,-0.0153
14,37.1309,38.4395,1.0000,-0.0156
15,37.1308,38.4574,1.0000,-0.0157
16,37.1307,38.4752,1.0000,-0.0158
17,37.1306,38.4931,1.0000,-0.0158
18,37.1306,38.5109,1.0000,-0.0158
19,37.1306,38.5287,1.0000,-0.0159
20,37.1306,38.5464,1.0000,-0.0159
21,37.1306,38.5641,1.0000,-0.0159
22,37.1306,38.5818,1.0000,-0.0159
23,37.1306,38.5994,1.0000,-0.0159
24,37.1306,38.6170,1.0000,-0.0159
25,37.1306,38.6345,1.0000,-0.0159
26,37.1306,38.6520,1.0000,-0.0159
27,37.1306,38.6694,1.0000,-0.0159
28,37.1306,38.6868,1.0000,-0.0159
29,37.1306,38.7041,1.0000,-0.0159
30,37.1306,38.7214,1.0000,-0.0159
31,37.1306,38.7387,1.0000,-0.0159
32,37.1306,38.7559,1.0000,-0.0159
33,37.1306,38.7731,1.0000,-0.0159
34,11.8603,38.7902,1.0000,-0.0159
35,1.0000,38.8073,1.0000,-0.0159
36,1.0000,38.8243,1.0000,-0.0159
37,1.0000,38.8413,1.0000,-0.0159
38,1.0000,38.8582,1.0000,-0.0159
39,1.0000,38.8751,1.0000,-0.0159
40,1.0000,38.8919,1.0000,-0.0159
