config,topo,m,i_stim,seed,node,degree,lz_full,lz_tail
FULL,ba_m3_functional,3,0.0,0,0,17,1.014887638494492,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,1,22,0.9874582428595058,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,2,14,0.8503112646845744,1.4949164857190111
FULL,ba_m3_functional,3,0.0,0,3,26,0.8777406603195607,1.1627128222258978
FULL,ba_m3_functional,3,0.0,0,4,21,0.8228818690495882,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,5,20,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,6,17,1.0423170341294783,1.4949164857190111
FULL,ba_m3_functional,3,0.0,0,7,14,0.8777406603195607,1.1627128222258978
FULL,ba_m3_functional,3,0.0,0,8,14,0.8503112646845744,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,9,4,0.9051700559545469,1.4949164857190111
FULL,ba_m3_functional,3,0.0,0,10,10,0.9600288472245195,1.5779674015922898
FULL,ba_m3_functional,3,0.0,0,11,7,0.9600288472245195,1.5779674015922898
FULL,ba_m3_functional,3,0.0,0,12,15,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,13,4,0.8228818690495882,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,14,5,0.9051700559545469,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,15,10,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,0,16,4,1.0697464297644645,1.6610183174655682
FULL,ba_m3_functional,3,0.0,0,17,6,0.9325994515895332,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,18,11,0.8503112646845744,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,19,2,1.097175825399451,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,20,8,0.9874582428595058,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,21,8,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,0,22,11,0.8503112646845744,1.5779674015922898
FULL,ba_m3_functional,3,0.0,0,23,5,0.9325994515895332,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,24,7,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,0,25,6,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,26,5,0.8777406603195607,1.0796619063526194
FULL,ba_m3_functional,3,0.0,0,27,5,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,0,28,6,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,29,5,0.8503112646845744,1.1627128222258978
FULL,ba_m3_functional,3,0.0,0,30,11,0.9325994515895332,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,31,4,0.9600288472245195,1.6610183174655682
FULL,ba_m3_functional,3,0.0,0,32,5,0.8228818690495882,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,33,5,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,34,1,0.9874582428595058,1.4949164857190111
FULL,ba_m3_functional,3,0.0,0,35,3,0.9325994515895332,1.0796619063526194
FULL,ba_m3_functional,3,0.0,0,36,12,0.8777406603195607,1.1627128222258978
FULL,ba_m3_functional,3,0.0,0,37,4,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,38,6,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,39,5,0.8503112646845744,1.5779674015922898
FULL,ba_m3_functional,3,0.0,0,40,9,0.8777406603195607,1.0796619063526194
FULL,ba_m3_functional,3,0.0,0,41,2,0.9051700559545469,1.8271201492121252
FULL,ba_m3_functional,3,0.0,0,42,2,1.1246052210344373,1.5779674015922898
FULL,ba_m3_functional,3,0.0,0,43,7,0.9600288472245195,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,44,3,0.9600288472245195,1.3288146539724546
FULL,ba_m3_functional,3,0.0,0,45,3,1.097175825399451,1.0796619063526194
FULL,ba_m3_functional,3,0.0,0,46,7,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,0,47,6,0.9600288472245195,0.9966109904793409
FULL,ba_m3_functional,3,0.0,0,48,3,0.9874582428595058,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,49,4,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,0,50,8,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,0,51,3,0.8503112646845744,1.1627128222258978
FULL,ba_m3_functional,3,0.0,0,52,4,0.8228818690495882,1.4949164857190111
FULL,ba_m3_functional,3,0.0,0,53,4,0.8228818690495882,1.3288146539724546
