noise_type,noise_kind,ell,eta,seed,H_cont
uncorrelated,uncorr,N/A,0.1,0,3.7820070135843147
uncorrelated,uncorr,N/A,0.1,1,3.719927033287401
uncorrelated,uncorr,N/A,0.1,2,3.4506547355176664
uncorrelated,uncorr,N/A,0.1,3,3.805633172124832
uncorrelated,uncorr,N/A,0.1,4,3.6343808451229944
uncorrelated,uncorr,N/A,0.2,0,3.388820182604757
uncorrelated,uncorr,N/A,0.2,1,3.3568634465237466
uncorrelated,uncorr,N/A,0.2,2,3.2689799362822916
uncorrelated,uncorr,N/A,0.2,3,3.2058322552299323
uncorrelated,uncorr,N/A,0.2,4,3.1628509571262944
uncorrelated,uncorr,N/A,0.3,0,3.4009281576630306
uncorrelated,uncorr,N/A,0.3,1,3.2609381262764785
uncorrelated,uncorr,N/A,0.3,2,3.3052327582286227
uncorrelated,uncorr,N/A,0.3,3,3.4304107654984075
uncorrelated,uncorr,N/A,0.3,4,3.204552418345215
uncorrelated,uncorr,N/A,0.5,0,3.6477862443432674
uncorrelated,uncorr,N/A,0.5,1,3.396502968968088
uncorrelated,uncorr,N/A,0.5,2,3.422089124810359
uncorrelated,uncorr,N/A,0.5,3,3.488935191805179
uncorrelated,uncorr,N/A,0.5,4,3.5092138780703976
matern_exp_l1,exp,1.0,0.1,0,3.4758598318559106
matern_exp_l1,exp,1.0,0.1,1,3.372280629189592
matern_exp_l1,exp,1.0,0.1,2,3.123242239564489
matern_exp_l1,exp,1.0,0.1,3,3.007610051763862
matern_exp_l1,exp,1.0,0.1,4,3.5617501583784694
matern_exp_l1,exp,1.0,0.2,0,3.165653175614707
matern_exp_l1,exp,1.0,0.2,1,3.403656557612185
matern_exp_l1,exp,1.0,0.2,2,2.949492870482695
matern_exp_l1,exp,1.0,0.2,3,3.1487544594638446
matern_exp_l1,exp,1.0,0.2,4,3.3476738916720086
matern_exp_l1,exp,1.0,0.3,0,3.2441151360079568
matern_exp_l1,exp,1.0,0.3,1,3.43427426738471
matern_exp_l1,exp,1.0,0.3,2,3.208949958888179
matern_exp_l1,exp,1.0,0.3,3,3.4570845512225574
matern_exp_l1,exp,1.0,0.3,4,3.3958979259510693
matern_exp_l1,exp,1.0,0.5,0,3.57693029885409
matern_exp_l1,exp,1.0,0.5,1,3.5390626300480426
matern_exp_l1,exp,1.0,0.5,2,3.6490724162544446
matern_exp_l1,exp,1.0,0.5,3,3.652191526443452
matern_exp_l1,exp,1.0,0.5,4,3.428871620837251
matern_exp_l3,exp,3.0,0.1,0,3.353844496062602
matern_exp_l3,exp,3.0,0.1,1,3.253323129290927
matern_exp_l3,exp,3.0,0.1,2,3.143801352819628
matern_exp_l3,exp,3.0,0.1,3,3.1888002760744802
matern_exp_l3,exp,3.0,0.1,4,3.4168370751161494
matern_exp_l3,exp,3.0,0.2,0,3.2791846105463462
matern_exp_l3,exp,3.0,0.2,1,3.491814491984832
matern_exp_l3,exp,3.0,0.2,2,3.259740291003862
matern_exp_l3,exp,3.0,0.2,3,3.1842689905055455
matern_exp_l3,exp,3.0,0.2,4,3.290311450883287
matern_exp_l3,exp,3.0,0.3,0,3.295827051310764
matern_exp_l3,exp,3.0,0.3,1,3.3795873829834626
matern_exp_l3,exp,3.0,0.3,2,3.304305028363361
matern_exp_l3,exp,3.0,0.3,3,3.3884701923610256
matern_exp_l3,exp,3.0,0.3,4,3.473643888059421
matern_exp_l3,exp,3.0,0.5,0,3.7296020853234553
matern_exp_l3,exp,3.0,0.5,1,3.596351508950823
matern_exp_l3,exp,3.0,0.5,2,3.4180334696566255
matern_exp_l3,exp,3.0,0.5,3,3.5556090011046138
matern_exp_l3,exp,3.0,0.5,4,3.753345059588544
matern_gauss_l3,gauss,3.0,0.1,0,3.276922467751353
matern_gauss_l3,gauss,3.0,0.1,1,3.3449878099594086
matern_gauss_l3,gauss,3.0,0.1,2,3.556456822716389
matern_gauss_l3,gauss,3.0,0.1,3,3.56344530448541
matern_gauss_l3,gauss,3.0,0.1,4,3.1953546870053158
matern_gauss_l3,gauss,3.0,0.2,0,3.328225197824449
matern_gauss_l3,gauss,3.0,0.2,1,3.408775057785698
matern_gauss_l3,gauss,3.0,0.2,2,3.098652287993665
matern_gauss_l3,gauss,3.0,0.2,3,3.6162674445034426
matern_gauss_l3,gauss,3.0,0.2,4,3.4867622254644677
matern_gauss_l3,gauss,3.0,0.3,0,3.622383172069545
matern_gauss_l3,gauss,3.0,0.3,1,3.3278621349333113
matern_gauss_l3,gauss,3.0,0.3,2,3.1595340576107804
matern_gauss_l3,gauss,3.0,0.3,3,3.3877283867188273
matern_gauss_l3,gauss,3.0,0.3,4,3.622561559008502
matern_gauss_l3,gauss,3.0,0.5,0,3.522718225227791
matern_gauss_l3,gauss,3.0,0.5,1,3.5646227245331747
matern_gauss_l3,gauss,3.0,0.5,2,3.4350453667103515
matern_gauss_l3,gauss,3.0,0.5,3,3.6283451528160895
matern_gauss_l3,gauss,3.0,0.5,4,3.581914906732634
