part,seed,b,delay,readout,correct
B,0,-1,100,PHASE_UC,1
B,0,-1,100,V_STATE,0
B,0,-1,100,U_SCALAR,1
B,0,-1,200,PHASE_UC,1
B,0,-1,200,V_STATE,0
B,0,-1,200,U_SCALAR,1
B,0,-1,400,PHASE_UC,0
B,0,-1,400,V_STATE,0
B,0,-1,400,U_SCALAR,0
B,0,-1,600,PHASE_UC,0
B,0,-1,600,V_STATE,1
B,0,-1,600,U_SCALAR,0
B,0,-1,900,PHASE_UC,1
B,0,-1,900,V_STATE,0
B,0,-1,900,U_SCALAR,0
B,0,-1,1200,PHASE_UC,1
B,0,-1,1200,V_STATE,0
B,0,-1,1200,U_SCALAR,0
B,0,-1,1800,PHASE_UC,1
B,0,-1,1800,V_STATE,1
B,0,-1,1800,U_SCALAR,0
B,0,-1,2400,PHASE_UC,1
B,0,-1,2400,V_STATE,1
B,0,-1,2400,U_SCALAR,0
B,0,1,100,PHASE_UC,1
B,0,1,100,V_STATE,0
B,0,1,100,U_SCALAR,1
B,0,1,200,PHASE_UC,1
B,0,1,200,V_STATE,0
B,0,1,200,U_SCALAR,1
B,0,1,400,PHASE_UC,1
B,0,1,400,V_STATE,0
B,0,1,400,U_SCALAR,1
B,0,1,600,PHASE_UC,1
B,0,1,600,V_STATE,0
B,0,1,600,U_SCALAR,1
B,0,1,900,PHASE_UC,1
B,0,1,900,V_STATE,1
B,0,1,900,U_SCALAR,1
B,0,1,1200,PHASE_UC,1
B,0,1,1200,V_STATE,1
B,0,1,1200,U_SCALAR,1
B,0,1,1800,PHASE_UC,1
B,0,1,1800,V_STATE,1
B,0,1,1800,U_SCALAR,1
B,0,1,2400,PHASE_UC,1
B,0,1,2400,V_STATE,1
B,0,1,2400,U_SCALAR,1
B,1,-1,100,PHASE_UC,1
B,1,-1,100,V_STATE,0
B,1,-1,100,U_SCALAR,0
B,1,-1,200,PHASE_UC,1
B,1,-1,200,V_STATE,0
B,1,-1,200,U_SCALAR,0
B,1,-1,400,PHASE_UC,0
B,1,-1,400,V_STATE,1
B,1,-1,400,U_SCALAR,0
B,1,-1,600,PHASE_UC,1
B,1,-1,600,V_STATE,1
B,1,-1,600,U_SCALAR,0
B,1,-1,900,PHASE_UC,1
B,1,-1,900,V_STATE,1
B,1,-1,900,U_SCALAR,0
B,1,-1,1200,PHASE_UC,1
B,1,-1,1200,V_STATE,0
B,1,-1,1200,U_SCALAR,0
B,1,-1,1800,PHASE_UC,1
B,1,-1,1800,V_STATE,1
B,1,-1,1800,U_SCALAR,0
B,1,-1,2400,PHASE_UC,1
B,1,-1,2400,V_STATE,1
B,1,-1,2400,U_SCALAR,0
B,1,1,100,PHASE_UC,1
B,1,1,100,V_STATE,0
B,1,1,100,U_SCALAR,1
B,1,1,200,PHASE_UC,1
B,1,1,200,V_STATE,0
B,1,1,200,U_SCALAR,1
B,1,1,400,PHASE_UC,1
B,1,1,400,V_STATE,0
B,1,1,400,U_SCALAR,1
B,1,1,600,PHASE_UC,1
B,1,1,600,V_STATE,0
B,1,1,600,U_SCALAR,1
B,1,1,900,PHASE_UC,1
B,1,1,900,V_STATE,1
B,1,1,900,U_SCALAR,1
B,1,1,1200,PHASE_UC,1
B,1,1,1200,V_STATE,1
B,1,1,1200,U_SCALAR,1
B,1,1,1800,PHASE_UC,1
B,1,1,1800,V_STATE,1
B,1,1,1800,U_SCALAR,1
B,1,1,2400,PHASE_UC,1
B,1,1,2400,V_STATE,1
B,1,1,2400,U_SCALAR,1
B,2,-1,100,PHASE_UC,1
B,2,-1,100,V_STATE,0
B,2,-1,100,U_SCALAR,1
B,2,-1,200,PHASE_UC,1
B,2,-1,200,V_STATE,0
B,2,-1,200,U_SCALAR,0
B,2,-1,400,PHASE_UC,0
B,2,-1,400,V_STATE,0
B,2,-1,400,U_SCALAR,0
B,2,-1,600,PHASE_UC,0
B,2,-1,600,V_STATE,1
B,2,-1,600,U_SCALAR,0
B,2,-1,900,PHASE_UC,1
B,2,-1,900,V_STATE,1
B,2,-1,900,U_SCALAR,0
B,2,-1,1200,PHASE_UC,1
B,2,-1,1200,V_STATE,1
B,2,-1,1200,U_SCALAR,0
B,2,-1,1800,PHASE_UC,0
B,2,-1,1800,V_STATE,1
B,2,-1,1800,U_SCALAR,0
