part,condition_or_readout,delay,metric,value
A,SCALAR_FULL,,sync_mean,0.250521
A,SCALAR_FULL,,h_cont_mean,3.818240
A,COMPLEX_FULL,,sync_mean,0.349625
A,COMPLEX_FULL,,h_cont_mean,5.130106
A,COMPLEX_NOINT,,sync_mean,0.319844
A,COMPLEX_NOINT,,h_cont_mean,4.939800
A,FROZEN_U,,sync_mean,0.552069
A,FROZEN_U,,h_cont_mean,4.904954
B,PHASE_UC,100,accuracy,1.0000
B,PHASE_UC,200,accuracy,1.0000
B,PHASE_UC,400,accuracy,0.5250
B,PHASE_UC,600,accuracy,0.5750
B,PHASE_UC,900,accuracy,0.9500
B,PHASE_UC,1200,accuracy,0.9000
B,PHASE_UC,1800,accuracy,0.8500
B,PHASE_UC,2400,accuracy,0.8750
B,V_STATE,100,accuracy,0.0000
B,V_STATE,200,accuracy,0.0000
B,V_STATE,400,accuracy,0.0500
B,V_STATE,600,accuracy,0.5750
B,V_STATE,900,accuracy,0.9500
B,V_STATE,1200,accuracy,0.6000
B,V_STATE,1800,accuracy,0.7000
B,V_STATE,2400,accuracy,0.7250
B,U_SCALAR,100,accuracy,0.9000
B,U_SCALAR,200,accuracy,0.7000
B,U_SCALAR,400,accuracy,0.5000
B,U_SCALAR,600,accuracy,0.5000
B,U_SCALAR,900,accuracy,0.5500
B,U_SCALAR,1200,accuracy,0.5500
B,U_SCALAR,1800,accuracy,0.5250
B,U_SCALAR,2400,accuracy,0.5250
