t,v_diff,uc_diff
0,0.078689,0.000122
1,0.119076,0.000330
2,0.162226,0.000622
3,0.206001,0.001004
4,0.250283,0.001475
5,0.293859,0.002037
6,0.339337,0.002687
7,0.383557,0.003430
8,0.427599,0.004261
9,0.471164,0.005182
10,0.515708,0.006189
11,0.560151,0.007285
12,0.601969,0.008470
13,0.645353,0.009737
14,0.687322,0.011088
15,0.728063,0.012522
16,0.770018,0.014036
17,0.810046,0.015631
18,0.849692,0.017306
19,0.888900,0.019057
20,0.927120,0.020884
21,0.964777,0.022784
22,1.001024,0.024756
23,1.035425,0.026795
24,1.069546,0.028900
25,1.102941,0.031071
26,1.134115,0.033304
27,1.165580,0.035596
28,1.195504,0.037947
29,1.225842,0.040355
30,1.254391,0.042821
31,1.282571,0.045343
32,1.308596,0.047917
33,1.335643,0.050540
34,1.360487,0.053214
35,1.384505,0.055932
36,1.407622,0.058694
37,1.430295,0.061498
38,1.452576,0.064343
39,1.474050,0.067227
40,1.495252,0.070147
41,1.515899,0.073104
42,1.535566,0.076094
43,1.553714,0.079117
44,1.572458,0.082170
45,1.590150,0.085253
46,1.607837,0.088364
47,1.625125,0.091503
48,1.641953,0.094669
49,1.658615,0.097863
50,1.675384,0.101085
51,1.691160,0.104332
52,1.706402,0.107605
53,1.720304,0.110901
54,1.735500,0.114218
55,1.748154,0.117557
56,1.762297,0.120915
57,1.774328,0.124295
58,1.786008,0.127693
59,1.798587,0.131107
60,1.809975,0.134539
61,1.822897,0.137987
62,1.834415,0.141454
63,1.845287,0.144935
64,1.857037,0.148430
65,1.867678,0.151942
66,1.877808,0.155467
67,1.888269,0.159005
68,1.898545,0.162557
69,1.909302,0.166125
70,1.918956,0.169711
71,1.928721,0.173311
72,1.938162,0.176928
73,1.947664,0.180559
74,1.956414,0.184206
75,1.965550,0.187864
76,1.973707,0.191534
77,1.981273,0.195214
78,1.989095,0.198903
79,1.997474,0.202602
80,2.005556,0.206312
81,2.012881,0.210034
82,2.020354,0.213765
83,2.027074,0.217504
84,2.035423,0.221252
85,2.042398,0.225009
86,2.049618,0.228774
87,2.055385,0.232550
88,2.063557,0.236333
89,2.069325,0.240128
90,2.076334,0.243931
91,2.082018,0.247743
92,2.087631,0.251563
93,2.094215,0.255389
94,2.101021,0.259222
95,2.106640,0.263064
96,2.112815,0.266913
97,2.118462,0.270769
98,2.126181,0.274631
99,2.132111,0.278503
100,2.138273,0.282380
101,2.142861,0.286264
102,2.147262,0.290153
103,2.153326,0.294046
104,2.158993,0.297947
105,2.164316,0.301855
106,2.171597,0.305770
107,2.176315,0.309695
108,2.180670,0.313625
109,2.184566,0.317557
110,2.191006,0.321492
111,2.195623,0.325436
112,2.201392,0.329384
113,2.204900,0.333339
114,2.207596,0.337295
115,2.213603,0.341251
116,2.220005,0.345214
117,2.224609,0.349184
118,2.228708,0.353160
119,2.233152,0.357138
120,2.237273,0.361119
121,2.242452,0.365103
122,2.246910,0.369092
123,2.250790,0.373085
124,2.254575,0.377079
125,2.257827,0.381060
126,2.260986,0.385041
127,2.265012,0.389025
128,2.269490,0.393011
129,2.273416,0.397010
130,2.277405,0.401027
131,2.281302,0.405059
132,2.284985,0.409096
133,2.288474,0.413134
134,2.290995,0.417174
135,2.294820,0.421230
136,2.297170,0.425297
137,2.300350,0.429364
138,2.304850,0.433430
139,2.307793,0.437500
140,2.310699,0.441568
141,2.314934,0.445639
142,2.319711,0.449698
143,2.324285,0.453761
144,2.330450,0.457832
145,2.333290,0.461909
146,2.337141,0.465987
147,2.341301,0.470068
148,2.345244,0.474154
149,2.348622,0.478241
150,2.351966,0.482329
151,2.356550,0.486426
152,2.361613,0.490522
153,2.364848,0.494617
154,2.369928,0.498730
155,2.374067,0.502837
156,2.378446,0.506926
157,2.383437,0.511019
158,2.386085,0.515118
159,2.390270,0.519214
160,2.393985,0.523310
161,2.398676,0.527407
162,2.403696,0.531484
163,2.407382,0.535542
164,2.413186,0.539573
165,2.415597,0.543572
166,2.419447,0.547593
167,2.425240,0.551615
168,2.429061,0.555632
169,2.433151,0.559652
170,2.437030,0.563669
171,2.439658,0.567679
172,2.442124,0.571701
173,2.445245,0.575699
