seed,correct_guess,blind,warm,coupled
0,1,1369,45,45
1,1,1673,45,45
2,1,981,45,45
3,1,1893,45,45
4,1,2196,45,45
5,1,1929,45,45
6,1,1558,45,45
7,0,1654,1665,95
8,1,1842,45,45
9,1,1589,45,45
10,1,1692,45,45
11,1,1133,45,45
12,1,2121,45,45
13,1,1717,45,45
14,1,1273,45,45
15,1,1304,45,45
16,1,1287,45,45
17,1,1009,45,45
18,1,2473,45,45
19,1,833,45,45
20,0,1704,1714,95
21,0,1168,1126,95
22,1,1481,45,45
23,1,1481,45,45
24,1,1541,45,45
25,1,789,45,45
26,1,1632,45,45
27,1,1165,45,45
28,1,1455,45,45
29,1,1163,45,45
30,1,1618,45,45
31,1,1437,45,45
32,0,2126,2137,95
33,1,1213,45,45
34,1,1179,45,45
35,1,1446,45,45
36,1,990,45,45
37,1,1372,45,45
38,1,1015,45,45
39,0,2374,2385,95
40,1,825,45,45
41,1,1524,45,45
42,1,941,45,45
43,0,2445,2456,95
44,0,778,810,95
45,1,1244,45,45
46,1,1340,45,45
47,0,2100,2111,95
48,1,851,45,45
49,1,1264,45,45
50,1,1164,45,45
51,1,1691,45,45
52,0,1153,1164,95
53,1,2008,45,45
54,1,2281,45,45
55,1,1313,45,45
56,0,1553,1564,95
57,1,1430,45,45
58,1,1924,45,45
59,0,799,810,95
