seed,correct_guess,blind_iters,warm_iters,coupled_iters,blind_time_s,warm_time_s,coupled_time_s
0,1,1369,45,45,0.000325,0.015070,0.015070
1,1,1673,45,45,0.000397,0.015070,0.015070
2,1,981,45,45,0.000233,0.015070,0.015070
3,1,1893,45,45,0.000449,0.015070,0.015070
4,1,2196,45,45,0.000521,0.015070,0.015070
5,1,1929,45,45,0.000458,0.015070,0.015070
6,1,1558,45,45,0.000370,0.015070,0.015070
7,0,1654,1665,95,0.000393,0.015454,0.015082
8,1,1842,45,45,0.000437,0.015070,0.015070
9,1,1589,45,45,0.000377,0.015070,0.015070
10,1,1692,45,45,0.000402,0.015070,0.015070
11,1,1133,45,45,0.000269,0.015070,0.015070
12,1,2121,45,45,0.000503,0.015070,0.015070
13,1,1717,45,45,0.000408,0.015070,0.015070
14,1,1273,45,45,0.000302,0.015070,0.015070
15,1,1304,45,45,0.000309,0.015070,0.015070
16,1,1287,45,45,0.000305,0.015070,0.015070
17,1,1009,45,45,0.000239,0.015070,0.015070
18,1,2473,45,45,0.000587,0.015070,0.015070
19,1,833,45,45,0.000198,0.015070,0.015070
20,0,1704,1714,95,0.000404,0.015466,0.015082
21,0,1168,1126,95,0.000277,0.015326,0.015082
22,1,1481,45,45,0.000352,0.015070,0.015070
23,1,1481,45,45,0.000352,0.015070,0.015070
24,1,1541,45,45,0.000366,0.015070,0.015070
25,1,789,45,45,0.000187,0.015070,0.015070
26,1,1632,45,45,0.000387,0.015070,0.015070
27,1,1165,45,45,0.000277,0.015070,0.015070
28,1,1455,45,45,0.000345,0.015070,0.015070
29,1,1163,45,45,0.000276,0.015070,0.015070
30,1,1618,45,45,0.000384,0.015070,0.015070
31,1,1437,45,45,0.000341,0.015070,0.015070
32,0,2126,2137,95,0.000505,0.015566,0.015082
33,1,1213,45,45,0.000288,0.015070,0.015070
34,1,1179,45,45,0.000280,0.015070,0.015070
35,1,1446,45,45,0.000343,0.015070,0.015070
36,1,990,45,45,0.000235,0.015070,0.015070
37,1,1372,45,45,0.000326,0.015070,0.015070
38,1,1015,45,45,0.000241,0.015070,0.015070
39,0,2374,2385,95,0.000563,0.015625,0.015082
40,1,825,45,45,0.000196,0.015070,0.015070
41,1,1524,45,45,0.000362,0.015070,0.015070
42,1,941,45,45,0.000223,0.015070,0.015070
43,0,2445,2456,95,0.000580,0.015642,0.015082
44,0,778,810,95,0.000185,0.015251,0.015082
45,1,1244,45,45,0.000295,0.015070,0.015070
46,1,1340,45,45,0.000318,0.015070,0.015070
47,0,2100,2111,95,0.000498,0.015560,0.015082
48,1,851,45,45,0.000202,0.015070,0.015070
49,1,1264,45,45,0.000300,0.015070,0.015070
50,1,1164,45,45,0.000276,0.015070,0.015070
51,1,1691,45,45,0.000401,0.015070,0.015070
52,0,1153,1164,95,0.000274,0.015335,0.015082
53,1,2008,45,45,0.000477,0.015070,0.015070
54,1,2281,45,45,0.000541,0.015070,0.015070
55,1,1313,45,45,0.000312,0.015070,0.015070
56,0,1553,1564,95,0.000369,0.015430,0.015082
57,1,1430,45,45,0.000339,0.015070,0.015070
58,1,1924,45,45,0.000457,0.015070,0.015070
59,0,799,810,95,0.000190,0.015251,0.015082
