condition,chain_seed,blind_iters,warm_iters,coupled_iters
fresh,0,5916,1819,230
fresh,1,7758,1284,230
fresh,2,6176,1295,230
fresh,3,4317,2074,280
fresh,4,6123,1077,230
fresh,5,5864,1609,230
fresh,6,5757,2271,280
fresh,7,5475,3154,280
fresh,8,6451,1272,230
fresh,9,5224,1723,230
fresh,10,4695,1826,230
fresh,11,4982,1642,280
fresh,12,5916,1459,230
fresh,13,6693,2083,230
fresh,14,4655,2021,280
fresh,15,7427,180,180
fresh,16,5927,1414,230
fresh,17,5187,180,180
fresh,18,5729,4857,330
fresh,19,4513,1061,230
fresh,20,7645,180,180
fresh,21,5453,4019,330
fresh,22,4536,3709,330
fresh,23,4938,180,180
fresh,24,6152,3833,280
fresh,25,6960,180,180
fresh,26,6643,180,180
fresh,27,8001,1700,230
fresh,28,5223,1520,230
fresh,29,6495,180,180
fresh,30,4877,1368,230
fresh,31,5784,1412,230
fresh,32,4709,1067,230
fresh,33,7772,4113,280
fresh,34,5698,1451,230
fresh,35,4787,1505,230
fresh,36,6064,2232,230
fresh,37,6348,2808,280
fresh,38,6215,180,180
fresh,39,5364,1071,230
persistent,0,5916,3677,280
persistent,1,7758,3654,280
persistent,2,6176,3057,280
persistent,3,4317,2171,280
persistent,4,6123,180,180
persistent,5,5864,2838,280
persistent,6,5757,1141,230
persistent,7,5475,2626,280
persistent,8,6451,3308,280
persistent,9,5224,180,180
persistent,10,4695,3293,330
persistent,11,4982,2504,230
persistent,12,5916,1335,230
persistent,13,6693,180,180
persistent,14,4655,1042,230
persistent,15,7427,180,180
persistent,16,5927,1274,230
persistent,17,5187,1362,230
persistent,18,5729,3397,280
persistent,19,4513,2123,280
persistent,20,7645,180,180
persistent,21,5453,180,180
persistent,22,4536,1415,230
persistent,23,4938,2833,280
persistent,24,6152,3833,280
persistent,25,6960,3567,280
persistent,26,6643,180,180
persistent,27,8001,2372,230
persistent,28,5223,1520,230
persistent,29,6495,180,180
persistent,30,4877,2468,280
persistent,31,5784,3959,330
persistent,32,4709,1067,230
persistent,33,7772,1925,230
persistent,34,5698,2369,280
persistent,35,4787,2245,280
persistent,36,6064,3318,280
persistent,37,6348,3362,280
persistent,38,6215,2758,280
persistent,39,5364,3661,330
