tau_ema,t2,accuracy
5.000000,10,0.000000
5.000000,30,1.000000
5.000000,50,1.000000
5.000000,100,1.000000
5.000000,150,1.000000
5.000000,300,1.000000
5.000000,600,1.000000
10.000000,10,0.000000
10.000000,30,0.000000
10.000000,50,1.000000
10.000000,100,1.000000
10.000000,150,1.000000
10.000000,300,1.000000
10.000000,600,1.000000
20.000000,10,0.000000
20.000000,30,0.000000
20.000000,50,0.000000
20.000000,100,1.000000
20.000000,150,1.000000
20.000000,300,1.000000
20.000000,600,1.000000
50.000000,10,0.000000
50.000000,30,0.000000
50.000000,50,0.000000
50.000000,100,1.000000
50.000000,150,1.000000
50.000000,300,1.000000
50.000000,600,1.000000
