kind,seed,rule,param,stop_iter,success,network_node_steps
easy,0,TOL,0.02,90,1,0
easy,0,TOL,0.01,104,1,0
easy,0,TOL,0.005,117,1,0
easy,0,TOL,0.002,135,1,0
easy,0,PATIENCE,50,2000,1,0
easy,0,PATIENCE,100,2000,1,0
easy,0,PATIENCE,200,2000,1,0
easy,0,PATIENCE,400,2000,1,0
easy,0,PATIENCE,800,2000,1,0
easy,0,PATIENCE,1600,2000,1,0
easy,0,FIXED,200,200,1,0
easy,0,FIXED,400,400,1,0
easy,0,FIXED,600,600,1,0
easy,0,FIXED,800,800,1,0
easy,0,FIXED,1000,1000,1,0
easy,0,FIXED,1200,1200,1,0
easy,0,FIXED,1400,1400,1,0
easy,0,FIXED,1600,1600,1,0
easy,0,FIXED,1800,1800,1,0
easy,0,FIXED,2000,2000,1,0
easy,0,M4R_U,(2; 0.3),2000,1,400000
easy,0,M4R_SIG,(2; 0.3),108,1,21600
easy,0,M4R_U,(2; 0.5),2000,1,400000
easy,0,M4R_SIG,(2; 0.5),96,1,19200
easy,0,M4R_U,(2; 0.7),2000,1,400000
easy,0,M4R_SIG,(2; 0.7),35,0,7000
easy,0,M4R_U,(5; 0.3),2000,1,1000000
easy,0,M4R_SIG,(5; 0.3),51,0,25500
easy,0,M4R_U,(5; 0.5),2000,1,1000000
easy,0,M4R_SIG,(5; 0.5),47,0,23500
easy,0,M4R_U,(5; 0.7),2000,1,1000000
easy,0,M4R_SIG,(5; 0.7),38,0,19000
easy,0,M4R_U,(10; 0.3),2000,1,2000000
easy,0,M4R_SIG,(10; 0.3),36,0,36000
easy,0,M4R_U,(10; 0.5),2000,1,2000000
easy,0,M4R_SIG,(10; 0.5),33,0,33000
easy,0,M4R_U,(10; 0.7),1038,1,1038000
easy,0,M4R_SIG,(10; 0.7),28,0,28000
easy,1,TOL,0.02,90,1,0
easy,1,TOL,0.01,104,1,0
easy,1,TOL,0.005,117,1,0
easy,1,TOL,0.002,135,1,0
easy,1,PATIENCE,50,2000,1,0
easy,1,PATIENCE,100,2000,1,0
easy,1,PATIENCE,200,2000,1,0
easy,1,PATIENCE,400,2000,1,0
easy,1,PATIENCE,800,2000,1,0
easy,1,PATIENCE,1600,2000,1,0
easy,1,FIXED,200,200,1,0
easy,1,FIXED,400,400,1,0
easy,1,FIXED,600,600,1,0
easy,1,FIXED,800,800,1,0
easy,1,FIXED,1000,1000,1,0
easy,1,FIXED,1200,1200,1,0
easy,1,FIXED,1400,1400,1,0
easy,1,FIXED,1600,1600,1,0
easy,1,FIXED,1800,1800,1,0
easy,1,FIXED,2000,2000,1,0
easy,1,M4R_U,(2; 0.3),2000,1,400000
easy,1,M4R_SIG,(2; 0.3),90,1,18000
easy,1,M4R_U,(2; 0.5),2000,1,400000
easy,1,M4R_SIG,(2; 0.5),77,1,15400
easy,1,M4R_U,(2; 0.7),2000,1,400000
easy,1,M4R_SIG,(2; 0.7),60,0,12000
easy,1,M4R_U,(5; 0.3),2000,1,1000000
easy,1,M4R_SIG,(5; 0.3),51,0,25500
easy,1,M4R_U,(5; 0.5),2000,1,1000000
easy,1,M4R_SIG,(5; 0.5),46,0,23000
